-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"489,297,387.19","2,138,215,904.09","1,415,035,678.08","929,136,254.90","475,243,440.00","2,114,649,228.51","224,596,112.91","146,078,538.03","65,794,721.04"
营业收入(元),"489,297,387.19","2,138,215,904.09","1,415,035,678.08","929,136,254.90","475,243,440.00","2,114,649,228.51","224,596,112.91","146,078,538.03","65,794,721.04"
二、营业总成本(元),"412,619,471.93","1,821,172,846.33","1,200,576,054.54","784,624,325.67","426,306,943.29","1,839,931,536.38","237,521,650.51","157,902,610.85","70,869,362.86"
营业成本(元),"354,816,321.93","1,482,247,463.22","941,749,583.18","595,009,363.14","332,535,288.86","1,481,164,919.18","192,242,618.99","126,177,084.99","57,606,218.51"
研发费用(元),"4,386,456.22","33,079,585.29","23,513,263.42","17,107,356.17","3,822,838.50","16,580,628.06",-,-,-
营业税金及附加(元),"2,832,471.87","22,146,240.85","15,678,103.43","12,034,485.62","4,694,356.52","21,057,233.62","2,263,746.66","1,641,760.55","663,150.44"
销售费用(元),-,"8,533,547.40","8,533,547.40","8,533,547.40","3,191,687.15","13,856,269.25","10,319,069.29","7,836,211.93","2,443,514.71"
管理费用(元),"55,181,045.99","281,547,605.07","196,696,192.49","138,962,469.32","78,255,137.68","317,245,368.18","24,304,841.21","16,943,783.75","7,858,840.75"
财务费用(元),"-4,596,824.08","-6,381,595.50","-4,972,304.53","-2,445,752.69","-2,298,940.63","-3,149,708.61","7,978,775.45","4,891,170.72","2,297,638.45"
其中：利息费用(元),"107,894.98","11,754,600.72","9,249,454.25","8,188,460.49","3,241,986.18","11,420,740.49","5,684,148.81",-,-
其中：利息收入(元),"4,751,102.63","19,534,592.54","14,854,794.77","10,864,804.77","6,377,342.31","19,288,237.95","126,103.94",-,-
三、其他经营收益
加：投资收益(元),"600,689.76","65,068,198.66","63,441,299.68","62,728,085.40","653,284.49","12,712,423.70","1,861,685.00","460,314.71",-
其中：对联营企业和合营企业的投资收益(元),"600,689.76","4,434,289.49","1,941,668.63","1,228,454.35","653,284.49","8,454,859.72","1,861,685.00",-,-
资产处置收益(元),-,"-17,126.21","-237,027.96","-19,350.08",-,"-58,148.28",-,-,-
资产减值损失(元),-,-,-,-,"6,106,575.21","-6,823,173.30","412,598.91","412,598.91",-
信用减值损失(元),-,-,"19,377,669.15","15,422,856.71",-,-,-,-,-
其他收益(元),"1,770,170.46","17,609,144.93","8,958,372.22","6,998,453.61","5,778,968.09","14,815,089.52","812,030.19","529,203.80","250,208.00"
四、营业利润(元),"64,662,094.76","373,532,820.42","286,622,267.48","214,219,118.16","55,368,749.29","302,187,057.07","-10,251,822.41","-10,834,554.31","-4,824,433.82"
加：营业外收入(元),"397,211.90","5,826,400.34","8,149,943.76","7,640,929.81","9,093,357.74","16,692,555.06","5,374,210.89","5,374,210.89","5,374,200.00"
减：营业外支出(元),"239,068.16","14,334,973.47","13,137,821.34","9,931,094.01","69,008.25","10,479,748.82","2,357.75","2,357.75",-
五、利润总额(元),"64,820,238.50","365,024,247.29","281,634,389.90","211,928,953.96","64,393,098.78","308,399,863.31","-4,879,969.27","-5,462,701.17","549,766.18"
减：所得税费用(元),"8,454,014.07","62,399,942.46","39,933,763.75","28,339,442.87","9,297,176.24","69,689,895.66",-,-,-
六、净利润(元),"56,366,224.43","302,624,304.83","241,700,626.15","183,589,511.09","55,095,922.54","238,709,967.65","-4,879,969.27","-5,462,701.17","549,766.18"
(一)按经营持续性分类
持续经营净利润(元),"56,366,224.43","253,598,975.79","241,700,626.15","183,589,511.09","55,095,922.54","238,709,967.66","-4,879,969.27","-5,462,701.17","549,766.18"
终止经营净利润(元),-,"49,025,329.04",-,-,-,-,-,-,-
(二)按所有权归属分类
归属于母公司股东的净利润(元),"56,400,516.50","300,663,842.49","241,160,315.64","183,155,529.69","55,280,020.77","237,342,173.91","-4,879,969.27","-5,462,701.17","549,766.18"
少数股东损益(元),"-34,292.07","1,960,462.34","540,310.51","433,981.40","-184,098.23","1,367,793.74",-,-,-
扣除非经常性损益后的净利润(元),"56,172,468.41","258,245,054.51","179,387,918.56","116,792,552.48","42,112,607.57","-14,371,490.62","-11,063,852.60","-11,363,758.11","-5,074,641.82"
七、每股收益
一、基本每股收益(元),0.15,0.82,0.64,0.48,0.15,0.62,-0.03,-0.03,-
二、稀释每股收益(元),0.15,0.80,0.64,0.48,0.15,0.62,-0.03,-0.03,-
八、其他综合收益(元),-,"-416,500.00",-,-,-,"-9,812,900.00",-,-,-
归属于母公司股东的其他综合收益(元),-,"-416,500.00",-,-,-,"-9,812,900.00",-,-,-
九、综合收益总额(元),"56,366,224.43","302,207,804.83","241,700,626.15","183,589,511.09","55,095,922.54","228,897,067.65","-4,879,969.27","-5,462,701.17","549,766.18"
归属于母公司所有者的综合收益总额(元),"56,400,516.50","300,247,342.49","241,160,315.64","183,155,529.69","55,280,020.77","227,529,273.91","-4,879,969.27","-5,462,701.17","549,766.18"
归属于少数股东的综合收益总额(元),"-34,292.07","1,960,462.34","540,310.51","433,981.40","-184,098.23","1,367,793.74",-,-,-
公告日期,2020-04-30,2020-03-31,2019-10-16,2019-08-09,2019-04-16,2019-03-30,2018-10-31,2018-08-10,2018-04-17
审计意见(境内),标准无保留意见,标准无保留意见
