-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"305,264,919.80","2,047,359,419.52","1,170,341,212.30","763,750,982.40","363,095,230.93","2,043,182,892.57","177,127,705.03","121,482,431.42","65,476,249.99"
收到的税费返还(元),-,"3,578,980.78","3,075,495.08","3,084,139.01","781,771.70","2,314,618.84","2,314,618.84","430,440.87","68,588.57"
收到其他与经营活动有关的现金(元),"54,692,149.21","536,516,783.90","410,418,308.55","238,157,773.88","140,354,429.96","544,826,280.92","50,354,689.69","31,893,956.11","28,347,809.67"
经营活动现金流入小计(元),"359,957,069.01","2,587,455,184.20","1,583,835,015.93","1,004,992,895.29","504,231,432.59","2,590,323,792.33","229,797,013.56","153,806,828.40","93,892,648.23"
购买商品、接受劳务支付的现金(元),"195,136,621.64","655,154,657.18","388,767,861.99","253,188,915.94","141,033,309.90","615,305,240.90","135,528,788.06","95,369,638.08","37,616,073.35"
支付给职工以及为职工支付的现金(元),"368,544,031.69","969,140,949.71","765,128,238.15","604,674,771.21","414,975,372.18","841,195,061.61","50,015,870.36","33,208,471.36","17,084,501.52"
支付的各项税费(元),"57,173,078.28","230,846,022.61","217,720,923.60","177,970,060.01","86,136,474.45","296,426,736.72","4,760,743.55","3,832,238.83","589,688.97"
支付其他与经营活动有关的现金(元),"88,369,318.11","560,820,991.62","413,150,689.80","284,232,004.97","155,528,418.30","619,809,748.80","51,113,573.16","30,629,870.60","4,429,302.32"
经营活动现金流出小计(元),"709,223,049.72","2,415,962,621.12","1,784,767,713.54","1,320,065,752.13","797,673,574.83","2,372,736,788.03","241,418,975.13","163,040,218.87","59,719,566.16"
经营活动产生的现金流量净额(元),-,"171,492,563.08",-,"-315,072,856.84",-,"217,587,004.30",-,"-9,233,390.47",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"39,000,000.00","587,150,837.81","587,150,837.81",-,-,-,-,-
取得投资收益收到的现金(元),-,"67,671.23",-,-,-,"3,877,266.54",-,-,-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"2,450.00","4,545.73",-,-,-,"44,717.37",-,-,-
处置子公司及其他营业单位收到的现金净额(元),-,"589,976,335.92",-,-,-,-,-,-,-
收到其他与投资活动有关的现金(元),-,-,-,-,-,"36,000,000.00",-,-,-
投资活动现金流入小计(元),"2,450.00","629,048,552.88","587,150,837.81","587,150,837.81",-,"39,921,983.91",-,-,-
购建固定资产、无形资产和其他长期资产支付的现金(元),"11,764,296.24","58,688,308.21","39,541,911.56","34,070,953.33","4,340,824.72","143,584,860.10","4,022,723.19","3,651,311.29","1,252,887.36"
投资支付的现金(元),"10,778,813.95","39,000,000.00",-,-,-,"200,000.00",-,-,-
支付其他与投资活动有关的现金(元),-,-,-,-,-,"36,000,000.00",-,-,-
投资活动现金流出小计(元),"22,543,110.19","97,688,308.21","39,541,911.56","34,070,953.33","4,340,824.72","179,784,860.10","4,022,723.19","3,651,311.29","1,252,887.36"
投资活动产生的现金流量净额(元),"-22,540,660.19","531,360,244.67","547,608,926.25","553,079,884.48","-4,340,824.72","-139,862,876.19","-4,022,723.19","-3,651,311.29","-1,252,887.36"
三、筹资活动产生的现金流量
取得借款收到的现金(元),-,"230,000,000.00","230,000,000.00","230,000,000.00","30,000,000.00","205,928,570.77","195,928,570.77","50,000,000.00",-
收到其他与筹资活动有关的现金(元),-,"101,098,894.76",-,-,-,-,-,-,-
筹资活动现金流入小计(元),-,"331,098,894.76","230,000,000.00","230,000,000.00","30,000,000.00","205,928,570.77","195,928,570.77","50,000,000.00",-
偿还债务支付的现金(元),"273,000.00","492,011,326.17","491,738,326.17","191,465,326.17","55,273,000.00","118,048,992.26","116,956,901.26","20,000,000.00","20,000,000.00"
分配股利、利润或偿付利息支付的现金(元),"107,894.98","8,685,179.63","8,938,247.49","6,991,988.15","3,201,164.58","34,102,564.38","6,126,693.93","3,852,317.71","1,779,497.34"
支付其他与筹资活动有关的现金(元),-,"928,781,323.58","928,952,191.20","787,623,889.50","749,649,889.50","9,548,632.24","5,607,903.49",-,-
筹资活动现金流出小计(元),"380,894.98","1,429,477,829.38","1,429,628,764.86","986,081,203.82","808,124,054.08","161,700,188.88","128,691,498.68","23,852,317.71","21,779,497.34"
筹资活动产生的现金流量净额(元),"-380,894.98","-1,098,378,934.62","-1,199,628,764.86","-756,081,203.82","-778,124,054.08","44,228,381.89","67,237,072.09","26,147,682.29","-21,779,497.34"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"1,333,373,880.91","1,726,912,094.76","1,726,912,094.76","1,726,912,094.76","1,726,912,094.76","1,603,804,448.23","16,543,702.42","16,543,702.42","16,543,702.42"
期末现金及现金等价物余额(元),"961,186,345.03","1,331,734,753.83","873,974,183.95","1,208,852,543.99","650,921,888.89","1,726,912,094.76","68,136,089.75","29,806,682.95","27,684,399.79"
补充资料：
净利润(元),-,"302,624,304.83",-,"183,589,511.09",-,"238,709,967.65",-,"-5,462,701.17",-
资产减值准备(元),-,"26,170,454.72",-,"15,422,856.71",-,"-6,823,173.30",-,"412,598.91",-
固定资产和投资性房地产折旧(元),-,"66,797,419.82",-,"31,852,150.75",-,"93,972,936.46",-,"9,061,078.28",-
其中：固定资产折旧、油气资产折耗、生产性生物资产折旧(元),-,"66,797,419.82",-,"31,852,150.75",-,"93,972,936.46",-,"9,061,078.28",-
