-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"994,474,884.42","1,366,835,987.02","929,423,695.28","1,235,377,600.89","674,439,206.34","1,753,186,449.72","69,268,349.14","30,950,491.27","28,828,208.11"
应收票据及应收账款(元),"732,583,568.39","607,652,975.95","711,296,810.41","725,113,547.41","727,386,297.16","665,655,207.33","64,421,539.38","57,129,419.59","41,545,047.70"
其中：应收票据(元),"21,835,259.88","18,716,733.51","15,957,393.12","21,019,517.16","31,819,831.46","29,894,562.11","599,660.80",-,"1,650,000.00"
其中：应收账款(元),"710,748,308.51","588,936,242.44","695,339,417.29","704,094,030.25","695,564,975.68","635,760,645.22","63,821,878.58","57,129,419.59","39,895,047.70"
预付款项(元),"19,683,967.91","47,445,410.34","2,591,346.22","4,579,041.73","2,963,179.32","1,635,158.52","6,677,185.59","1,288,542.44","3,077,783.22"
应收利息(元),-,-,-,-,-,-,-
其他应收款(元),"90,503,196.55","95,935,380.64","119,433,474.79","83,262,433.62","76,157,431.69","73,792,701.63","12,746,958.32","10,064,232.71","7,580,735.43"
存货(元),"17,222,804.49","23,564,782.74","3,624,435.21","1,717,936.97","142,380,013.71","145,659,493.20","142,711,855.32","109,380,658.61","104,838,238.19"
其他流动资产(元),"15,302,992.96","16,018,330.18","33,156,634.54","31,889,339.40","41,098,476.51","21,706,525.42","5,137,808.66","2,804,764.11","4,023,141.91"
流动资产合计(元),"1,869,771,414.72","2,157,452,866.87","1,799,526,396.45","2,081,939,900.02","1,664,424,604.73","2,661,635,535.82","300,963,696.41","211,618,108.73","189,893,154.56"
非流动资产：
长期股权投资(元),"72,645,353.28","61,265,849.57","59,638,950.60","58,925,736.32","74,455,531.25","73,869,917.99","17,338,072.76","15,936,702.47","15,476,387.76"
投资性房地产(元),"175,622,787.73","177,038,460.13","175,944,899.57","178,346,727.06","180,874,609.05","176,975,849.73",-,-,-
固定资产(元),"654,269,354.73","665,302,674.08","662,721,421.82","669,171,727.32","1,055,102,222.23","1,077,802,043.55","378,067,524.00","382,226,281.82","386,739,815.32"
在建工程(元),"64,748,024.07","43,676,455.35","14,836,226.47","15,145,907.15","14,032,703.34","12,700,020.05",-,-,-
无形资产(元),"260,797,711.41","263,229,287.62","263,052,104.67","264,424,064.57","300,136,511.95","302,260,663.25","34,154,755.21","34,341,053.86","34,527,352.51"
长期待摊费用(元),"5,972,383.36","6,633,358.30","6,122,094.64","5,941,196.56","6,473,236.80","6,730,165.21","47,169.81",-,"49,999.63"
递延所得税资产(元),"33,848,505.55","31,894,066.45","30,314,098.79","30,142,886.07","28,953,139.41","28,028,775.71",-,-,-
其他非流动资产(元),"628,337.60","628,337.60","628,337.60","628,337.60","628,337.60","628,337.60",-,-,-
非流动资产合计(元),"1,268,532,457.73","1,249,668,489.10","1,213,258,134.16","1,222,726,582.65","1,660,656,291.63","1,678,995,773.09","429,607,521.78","432,504,038.15","436,793,555.22"
资产总计(元),"3,138,303,872.45","3,407,121,355.97","3,012,784,530.61","3,304,666,482.67","3,325,080,896.36","4,340,631,308.91","730,571,218.19","644,122,146.88","626,686,709.78"
流动负债：
短期借款(元),-,-,-,"300,000,000.00","235,919,326.17","205,919,326.17","195,919,326.18","126,956,992.26","76,956,992.26"
应付票据及应付账款(元),"123,791,917.53","191,529,022.06","92,933,796.53","73,205,450.39","136,854,205.38","168,976,279.78","78,969,408.18","44,429,890.17","47,670,074.32"
其中：应付账款(元),"123,791,917.53","191,529,022.06","92,933,796.53","73,205,450.39",-,-,-,"44,429,890.17","47,670,074.32"
预收款项(元),"196,153,811.18","278,116,724.01","213,630,376.20","327,532,467.51","331,197,826.90","379,099,148.07","15,249,451.40","10,170,956.56","11,826,741.62"
应付职工薪酬(元),"315,814,550.96","480,391,421.64","393,450,464.30","316,821,719.08","322,436,683.39","504,393,755.46","19,866,987.95","21,380,069.28","21,838,626.79"
应交税费(元),"40,539,022.73","60,653,901.89","45,547,050.29","33,388,271.71","59,325,411.33","101,795,819.62","455,537.85","735,663.61","1,034,813.57"
应付利息(元),-,-,-,-,-,"268,368.66","207,818.11"
应付股利(元),-,-,"42,681.60","42,681.60",-,-,-,-,-
其他应付款(元),"396,286,283.36","389,004,110.49","322,831,020.97","223,044,829.01","324,891,746.10","1,028,976,740.83","58,915,228.68","59,341,537.85","80,118,076.45"
一年内到期的非流动负债(元),"1,092,000.00","1,092,000.00","1,092,000.00","1,092,000.00","1,092,000.00","41,092,000.00","20,000,000.00",-,-
其他流动负债(元),-,-,-,-,"1,289,265.68","33,826,321.90","73,387.38","187,683.43","91,118.45"
流动负债合计(元),"1,073,677,585.76","1,400,787,180.09","1,069,527,389.89","1,275,510,460.95","1,413,006,464.95","2,464,079,391.83","389,449,327.62","263,471,161.82","239,744,261.57"
非流动负债：
长期借款(元),"6,643,000.00","6,916,000.00","7,189,000.00","7,462,000.00","7,735,000.00","28,008,000.00","40,000,000.00","80,000,000.00","80,000,000.00"
长期应付款(元),"166,672.16","166,672.16","239,441.16","229,756.14","243,782.14","252,582.14",-,-,-
长期应付职工薪酬(元),-,-,"86,000,580.56","87,393,811.94",-,-,-,-,-
递延收益(元),-,-,-,-,"10,805,069.01","7,787,037.10","7,917,311.40","8,029,137.79","8,308,133.59"
递延所得税负债(元),"86,185,164.18","86,824,840.42","88,044,412.33","89,069,560.33","100,065,628.84","91,184,915.62",-,-,-
