-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"173,087,606.63","1,441,766,735.02","1,055,869,379.49","670,710,878.94","288,094,199.99","1,659,426,136.73","1,190,798,262.16","749,976,355.89","386,113,295.26"
收取利息、手续费及佣金的现金(元),-,-,-,-,"371,052.26","6,092,848.72","6,311,198.08","6,236,896.46","4,661,395.77"
收到的税费返还(元),-,"93,056.42",-,-,-,"223,105.10","246,846.66",-,-
收到其他与经营活动有关的现金(元),"28,901,111.01","108,442,431.71","141,023,349.87","76,417,918.89","85,403,184.28","189,751,603.79","253,127,937.32","146,003,331.22","162,307,155.67"
经营活动现金流入小计(元),"201,988,717.64","1,550,302,223.15","1,196,892,729.36","747,128,797.83","373,868,436.53","1,855,493,694.34","1,450,484,244.22","902,216,583.57","553,081,846.70"
购买商品、接受劳务支付的现金(元),"92,237,926.73","484,776,508.07","376,476,832.61","238,244,086.51","104,282,449.76","852,688,929.57","565,344,689.47","371,287,979.71","244,997,988.68"
客户贷款及垫款净增加额(元),-,-,-,-,-,"-15,664,988.00","-15,664,988.00","-15,664,988.00","-16,784,988.00"
支付利息、手续费及佣金的现金(元),-,-,-,-,-,-,-,-,"15,359.20"
支付给职工以及为职工支付的现金(元),"73,032,200.56","281,369,570.84","205,963,444.75","139,363,114.75","74,373,921.08","285,897,951.80","195,861,678.08","135,574,283.48","78,163,795.83"
支付的各项税费(元),"35,113,020.81","195,728,968.89","139,323,829.77","97,761,812.73","37,114,103.27","323,053,408.68","264,954,200.49","206,191,760.69","70,845,921.44"
支付其他与经营活动有关的现金(元),"32,108,618.30","157,927,983.99","374,111,254.16","140,513,026.40","168,220,603.93","241,844,238.56","351,574,995.06","178,720,530.37","177,009,103.88"
经营活动现金流出小计(元),"232,491,766.40","1,119,803,031.79","1,095,875,361.29","615,882,040.39","383,991,078.04","1,687,819,540.61","1,362,070,575.10","876,109,566.25","554,247,181.03"
经营活动产生的现金流量净额(元),-,"430,499,191.36",-,"131,246,757.44",-,"167,674,153.73",-,"26,107,017.32",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"548,200,000.00","1,293,878,815.53","1,115,450,000.00","726,800,101.89","355,042,739.73","1,898,647,492.29","1,395,212,511.69","849,870,000.00","359,690,000.00"
取得投资收益收到的现金(元),"7,245,409.38","19,175,305.92","47,026,015.29","42,958,551.77","58,464,069.12","23,777,605.28","64,918,960.93","56,948,022.90","52,184,734.09"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"1,055.00","74,546.14","42,818.11","53,575.00",-,"7,170.00","1,220.00",420.00,-
处置子公司及其他营业单位收到的现金净额(元),-,"40,645,281.75","109,633,298.28",-,-,"126,025,986.74","126,699,000.00","126,699,000.00","-3,394,971.91"
收到其他与投资活动有关的现金(元),-,"2,443,743.40","568,202.77",-,-,"14,417,575.47",-,-,"79,263.84"
投资活动现金流入小计(元),"555,446,464.38","1,356,217,692.74","1,272,720,334.45","769,812,228.66","413,506,808.85","2,062,875,829.78","1,586,831,692.62","1,033,517,442.90","408,559,026.02"
购建固定资产、无形资产和其他长期资产支付的现金(元),"6,587,039.28","51,861,494.40","61,067,813.82","10,033,190.71","4,150,185.67","181,573,556.23","66,254,262.96","59,222,245.20","32,963,785.60"
投资支付的现金(元),"554,100,000.00","2,011,506,244.34","1,738,308,340.35","1,221,698,340.34","793,128,340.34","1,848,150,000.00","1,633,847,350.55","837,250,000.00","350,880,000.00"
取得子公司及其他营业单位支付的现金净额(元),-,"3,297,219.51",-,-,-,-,-,-,-
支付其他与投资活动有关的现金(元),"1,361,034.92","17,550,000.00","128,993,042.50","3,987,589.15",-,"22,495,762.00",-,-,"78,250.87"
投资活动现金流出小计(元),"562,048,074.20","2,084,214,958.25","1,928,369,196.67","1,235,719,120.20","797,278,526.01","2,052,219,318.23","1,700,101,613.51","896,472,245.20","383,922,036.47"
投资活动产生的现金流量净额(元),"-6,601,609.82","-727,997,265.51","-655,648,862.22","-465,906,891.54","-383,771,717.16","10,656,511.55","-113,269,920.89","137,045,197.70","24,636,989.55"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"15,546,600.00",-,-,-,"980,000.00","980,000.00","980,000.00","980,000.00"
其中：子公司吸收少数股东投资收到的现金(元),-,"15,546,600.00",-,-,-,"980,000.00","980,000.00","980,000.00",-
取得借款收到的现金(元),"100,000,000.00","510,000,000.00","513,500,000.00","310,000,000.00","250,000,000.00","1,289,000,000.00","979,000,000.00","429,000,000.00","152,000,000.00"
发行债券收到的现金(元),-,-,-,-,-,"794,400,000.00",-,-,-
收到其他与筹资活动有关的现金(元),-,"35,000,000.00","237,899,000.00",-,-,"23,450,000.00","196,900,800.36","36,667.00","15,000,000.00"
筹资活动现金流入小计(元),"100,000,000.00","560,546,600.00","751,399,000.00","310,000,000.00","250,000,000.00","2,107,830,000.00","1,176,880,800.36","430,016,667.00","167,980,000.00"
偿还债务支付的现金(元),"141,750,000.00","982,721,913.36","944,565,815.94","866,029,703.42","375,632,579.00","1,292,792,000.00","924,664,813.71","604,471,148.74","281,320,347.76"
分配股利、利润或偿付利息支付的现金(元),"17,665,031.36","192,822,785.06","111,029,873.30","39,891,085.05","8,805,931.09","184,131,807.46","95,444,956.60","101,365,576.21","12,986,315.44"
