-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"6,424,800,124.06","20,980,407,846.17","17,963,357,712.71","9,454,244,646.56","4,120,360,127.81","21,299,634,891.96","17,613,917,020.63","11,708,646,644.86","4,868,544,569.03"
客户存款和同业存放款项净增加额(元),-,"-13,884,611.01","-13,884,611.01","-13,884,611.01","-13,884,611.01","-67,391,942.45","-72,037,600.56","-47,942,400.04","-46,256,902.59"
收取利息、手续费及佣金的现金(元),"8,452,779.41","36,016,201.19","25,304,885.20","17,437,870.77","21,859,808.24","45,534,137.47","24,677,389.75","20,292,148.87","11,561,303.36"
拆入资金净增加额(元),-,-,-,-,-,"-100,000,000.00",-,-,-
回购业务资金净增加额(元),"-29,680,345.76","178,523,067.53","126,364,941.02","84,302,416.57","47,004,271.18","71,728,287.47","118,110,400.65","38,211,250.00",-
收到的税费返还(元),"2,265,824.41","2,182,833.78","4,245,676.60","3,753,944.79","216,647.59","3,345,132.82","5,631,245.50","688,761.35","461,941.53"
收到其他与经营活动有关的现金(元),"58,642,494.99","302,419,439.11","161,209,595.30","102,421,038.61","86,815,595.22","228,588,310.69","150,008,920.16","110,230,483.65","162,727,258.13"
经营活动现金流入小计(元),"6,464,480,877.11","21,485,664,776.77","18,266,598,199.82","9,648,275,306.29","4,262,371,839.03","21,481,438,817.96","17,840,307,376.13","11,830,126,888.69","4,997,038,169.46"
购买商品、接受劳务支付的现金(元),"5,140,402,630.00","16,400,280,604.57","15,134,202,974.67","7,765,386,529.25","3,400,290,880.63","16,519,631,209.25","14,397,333,739.80","9,760,554,278.72","4,319,942,462.84"
存放中央银行和同业款项净增加额(元),"12,665,538.29","6,691,768.47","22,177,048.90","-11,861,799.44","677,821.61","29,771,041.05","18,974,554.43","25,113,793.69","8,748,245.63"
支付利息、手续费及佣金的现金(元),"3,787,376.15","10,271,151.90","6,042,094.78","3,638,838.59","3,142,090.02","7,028,280.12","8,870,631.77","6,405,886.11","5,031,768.88"
支付给职工以及为职工支付的现金(元),"408,928,617.80","1,699,288,708.04","1,269,851,750.68","848,574,583.64","425,881,184.98","1,623,797,405.49","1,157,076,999.72","742,613,075.04","369,001,582.56"
支付的各项税费(元),"116,306,749.28","856,560,013.72","541,112,299.54","418,825,788.83","211,994,283.30","1,001,676,724.21","781,867,009.39","474,980,398.84","301,546,142.11"
支付其他与经营活动有关的现金(元),"235,808,357.30","291,255,436.67","226,255,310.60","240,126,717.87","192,245,802.51","327,765,101.89","162,135,961.21","101,978,733.19","110,962,849.15"
经营活动现金流出小计(元),"5,917,899,268.82","19,264,347,683.37","17,199,641,479.17","9,264,690,658.74","4,234,232,063.05","19,509,669,762.01","16,526,258,896.32","11,111,646,165.59","5,115,233,051.17"
经营活动产生的现金流量净额(元),-,"2,221,317,093.40",-,"383,584,647.55",-,"1,971,769,055.95",-,"718,480,723.10",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"217,105,525.28","164,177,432.99","63,415,812.32","64,020,125.66","140,904,854.47","1,410,310,200.00","610,310,200.00","170,000,000.00"
取得投资收益收到的现金(元),"10,037,500.43","193,975,675.80","20,369,489.30","960,357.17","2,037,536.45","84,982,882.28","82,648,831.95","50,924,531.79","37,175,563.14"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"2,026,915.33","423,481.41","129,973.50","112,800.00","108,050.00","23,667,538.41","2,856,203.17","186,605.17",100.00
处置子公司及其他营业单位收到的现金净额(元),-,"1,616,216.66",-,-,-,"13,778,520.98",-,-,-
收到其他与投资活动有关的现金(元),"550,000,000.00","2,320,000,000.00","500,000,000.00",-,"18,709,170.30","1,486,279,178.09",-,-,-
投资活动现金流入小计(元),"562,064,415.76","2,733,120,899.15","684,676,895.79","64,488,969.49","84,874,882.41","1,749,612,974.23","1,495,815,235.12","661,421,336.96","207,175,663.14"
购建固定资产、无形资产和其他长期资产支付的现金(元),"514,543,433.02","2,024,281,466.41","1,324,162,050.03","629,150,916.55","287,592,520.99","1,462,999,801.08","952,017,267.85","586,779,261.67","250,508,619.16"
投资支付的现金(元),"147,337,382.61","409,975,737.22","53,886,155.52","166,052,377.44","12,729,056.00","550,495,526.82","152,896,677.81","285,857,591.86","59,282,541.31"
取得子公司及其他营业单位支付的现金净额(元),-,"22,317,136.37",-,-,-,-,-,-,-
支付其他与投资活动有关的现金(元),"830,000,000.00","1,770,000,000.00",-,"22,430,803.01","10,000,000.00","1,250,000,000.00","1,322,159,300.77","431,258,022.45","150,000,000.00"
投资活动现金流出小计(元),"1,491,880,815.63","4,226,574,340.00","1,378,048,205.55","817,634,097.00","310,321,576.99","3,263,495,327.90","2,427,073,246.43","1,303,894,875.98","459,791,160.47"
投资活动产生的现金流量净额(元),"-929,816,399.87","-1,493,453,440.85","-693,371,309.76","-753,145,127.51","-225,446,694.58","-1,513,882,353.67","-931,258,011.31","-642,473,539.02","-252,615,497.33"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,-,-,-,-,"4,200,000.00",-,-,-
其中：子公司吸收少数股东投资收到的现金(元),-,-,-,-,-,"4,200,000.00",-,-,-
取得借款收到的现金(元),"1,001,130,595.07","5,037,347,924.79","3,931,047,159.10","2,730,342,904.07","1,213,548,521.38","5,593,660,491.84","4,070,855,151.30","3,046,779,064.44","1,662,416,949.67"
