-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"3,372,926,705.93","13,916,214,458.03","9,784,378,999.19","6,129,131,974.96","3,044,973,444.06","11,703,583,810.44","8,191,862,490.60","4,758,869,251.87","2,331,898,977.65"
收到的税费返还(元),-,-,-,-,-,-,-,-,"18,524.15"
收到其他与经营活动有关的现金(元),"33,807,099.29","39,841,080.85","34,466,097.96","21,365,699.09","42,387,764.16","92,601,639.86","63,105,580.29","44,122,977.66","51,173,106.98"
经营活动现金流入小计(元),"3,406,733,805.22","13,956,055,538.88","9,818,845,097.15","6,150,497,674.05","3,087,361,208.22","11,796,185,450.30","8,254,968,070.89","4,802,992,229.53","2,383,090,608.78"
购买商品、接受劳务支付的现金(元),"2,774,791,208.03","12,368,213,850.17","8,611,238,941.49","5,131,844,220.78","2,202,734,652.87","10,692,304,984.56","7,637,150,010.85","4,261,315,997.87","1,792,556,053.20"
支付给职工以及为职工支付的现金(元),"156,918,402.80","408,314,947.43","328,495,136.54","229,381,063.90","146,723,514.96","495,532,859.27","322,668,148.73","231,602,087.73","114,909,341.64"
支付的各项税费(元),"103,201,947.85","253,796,355.27","198,480,035.57","156,285,920.95","75,825,838.26","429,167,888.23","291,187,611.61","144,424,455.69","76,421,591.63"
支付其他与经营活动有关的现金(元),"35,659,636.59","231,166,716.86","154,599,661.26","109,324,873.24","87,027,716.07","205,187,477.51","145,978,075.88","80,619,589.33","71,557,108.59"
经营活动现金流出小计(元),"3,070,571,195.27","13,261,491,869.73","9,292,813,774.86","5,626,836,078.87","2,512,311,722.16","11,822,193,209.57","8,396,983,847.07","4,717,962,130.62","2,055,444,095.06"
经营活动产生的现金流量净额(元),-,"694,563,669.15",-,"523,661,595.18",-,"-26,007,759.27",-,"85,030,098.91",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"24,837,872.10","50,000.00","50,000.00","50,000.00","10,116,029.44","10,116,029.44","10,016,029.44","10,016,029.44"
取得投资收益收到的现金(元),-,"1,819,174.57","1,312,974.57","259,488.77",88.77,"1,525,159.50","1,525,159.50","1,400,556.00","1,400,556.00"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"15,410.00","193,706.59","22,720.59","9,076.31",-,"5,811,031.98","123,209.00","18,069.00","3,469.00"
处置子公司及其他营业单位收到的现金净额(元),-,-,-,-,-,"1,360,041.29","1,158,247.27","1,158,247.27",-
收到其他与投资活动有关的现金(元),"1,768,302.35",-,-,-,-,"558,601,070.00",-,-,-
投资活动现金流入小计(元),"1,783,712.35","26,850,753.26","1,385,695.16","318,565.08","50,088.77","577,413,332.21","12,922,645.21","12,592,901.71","11,420,054.44"
购建固定资产、无形资产和其他长期资产支付的现金(元),"20,544,277.65","57,352,103.18","38,309,651.25","20,509,280.49","10,000,245.17","47,714,170.60","30,527,467.79","14,703,178.35","5,782,390.83"
投资支付的现金(元),"100,000,000.00","5,539,612.20",-,-,2.80,"50,000.00",-,-,-
取得子公司及其他营业单位支付的现金净额(元),-,"131,246,000.00","131,246,000.00","131,246,000.00",-,"233,451,766.16","235,183,641.91","235,183,641.91",-
支付其他与投资活动有关的现金(元),-,-,"3,600,000.00",-,"3,600,000.00","512,910,000.00",-,-,-
投资活动现金流出小计(元),"120,544,277.65","194,137,715.38","173,155,651.25","151,755,280.49","13,600,247.97","794,125,936.76","265,711,109.70","249,886,820.26","5,782,390.83"
投资活动产生的现金流量净额(元),"-118,760,565.30","-167,286,962.12","-171,769,956.09","-151,436,715.41","-13,550,159.20","-216,712,604.55","-252,788,464.49","-237,293,918.55","5,637,663.61"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"4,900,000.00","4,900,000.00",-,-,"35,756,499.06","4,185,000.00","285,000.00","285,000.00"
其中：子公司吸收少数股东投资收到的现金(元),-,"4,900,000.00","4,900,000.00",-,-,"35,756,499.06","4,185,000.00","285,000.00","285,000.00"
取得借款收到的现金(元),"1,613,566,578.27","7,615,293,626.69","5,360,815,654.72","3,189,642,953.80","1,117,688,754.93","7,216,583,195.09","5,144,035,050.18","3,078,041,229.37","1,145,661,384.79"
收到其他与筹资活动有关的现金(元),"20,000,000.00","2,759,370.75","2,741,638.84","2,712,306.98",-,"28,510,000.00","20,000,000.00","10,000,000.00",-
筹资活动现金流入小计(元),"1,633,566,578.27","7,622,952,997.44","5,368,457,293.56","3,192,355,260.78","1,117,688,754.93","7,280,849,694.15","5,168,220,050.18","3,088,326,229.37","1,145,946,384.79"
偿还债务支付的现金(元),"1,715,458,254.36","7,474,350,257.31","5,500,884,187.49","3,186,916,908.43","1,389,583,131.17","6,285,641,947.56","3,979,424,705.55","2,157,300,217.38","1,228,434,718.32"
分配股利、利润或偿付利息支付的现金(元),"29,700,877.17","335,641,863.66","308,136,276.48","275,966,860.78","40,490,257.31","399,838,729.34","356,253,618.93","320,009,132.71","23,098,817.78"
其中：子公司支付给少数股东的股利、利润(元),-,"17,781,651.36","24,360,833.91","24,301,710.10","5,463,613.01","15,552,883.19","15,552,883.19","9,000,000.00",-
支付其他与筹资活动有关的现金(元),"511,901.38","39,843,198.36","19,028,686.00","18,422,424.28","305,816.67","143,533,291.54","23,634,175.78","8,751,566.67",-
