-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"1,710,862,210.09","7,514,842,204.45","5,305,127,264.67","3,038,371,993.62","1,408,536,152.12","8,440,979,569.14","4,960,011,508.41","2,993,509,217.02","1,237,239,322.78"
收到的税费返还(元),"178,438,623.35","445,673,506.40","320,472,440.90","234,272,809.16","115,081,446.86","656,449,673.51","495,647,695.49","381,247,947.56","256,612,787.59"
收到其他与经营活动有关的现金(元),"63,773,249.01","1,383,530,460.97","662,545,987.28","568,841,366.09","29,967,039.47","1,192,251,206.81","649,201,802.69","618,309,365.15","58,026,104.70"
经营活动现金流入小计(元),"1,953,074,082.45","9,344,046,171.82","6,288,145,692.85","3,841,486,168.87","1,553,584,638.45","10,289,680,449.46","6,104,861,006.59","3,993,066,529.73","1,551,878,215.07"
购买商品、接受劳务支付的现金(元),"2,264,421,382.31","8,493,791,501.78","5,909,402,970.21","3,425,946,962.04","1,541,110,123.66","7,923,837,975.05","5,118,511,819.51","3,298,961,097.84","1,592,211,841.51"
支付给职工以及为职工支付的现金(元),"92,753,456.92","454,217,826.09","330,991,496.51","242,737,997.27","82,693,365.84","406,683,123.99","324,479,618.18","237,245,331.91","90,500,005.17"
支付的各项税费(元),"61,501,160.30","172,724,657.08","135,573,249.43","89,923,838.34","58,747,565.13","259,868,499.52","218,846,581.14","103,842,700.52","64,580,010.32"
支付其他与经营活动有关的现金(元),"59,784,216.19","1,801,820,166.17","984,559,924.67","932,814,287.39","99,831,917.95","1,516,908,435.52","790,940,064.74","695,400,102.95","112,331,115.06"
经营活动现金流出小计(元),"2,478,460,215.72","10,922,554,151.12","7,360,527,640.82","4,691,423,085.04","1,782,382,972.58","10,107,298,034.08","6,452,778,083.57","4,335,449,233.22","1,859,622,972.06"
经营活动产生的现金流量净额(元),-,"-1,578,507,979.30",-,"-849,936,916.17",-,"182,382,415.38",-,"-342,382,703.49",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"4,039,245.13",-,-,-,-,-,-,-
取得投资收益收到的现金(元),-,"5,861,753.36","2,005,045.30","1,144,065.85","1,144,065.85","3,890,166.67","546,000.00","546,000.00",-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"218,981.05","92,011.21","53,587.05","32,351.09","789,022.41","284,490.76","87,710.00",370.00
收到其他与投资活动有关的现金(元),-,-,-,"10,000,000.00","2,298.54","483,064,977.29","274,300,560.15","282,320,746.67","7,500,000.00"
投资活动现金流入小计(元),-,"10,119,979.54","2,097,056.51","11,197,652.90","1,178,715.48","487,744,166.37","275,131,050.91","282,954,456.67","7,500,370.00"
购建固定资产、无形资产和其他长期资产支付的现金(元),"90,369,240.49","420,460,275.38","302,870,393.49","284,533,128.81","245,983,118.67","266,036,858.20","57,178,334.55","43,948,351.48","17,839,399.79"
投资支付的现金(元),-,"15,436,950.00","8,410,750.00","8,410,750.00",-,-,-,-,-
取得子公司及其他营业单位支付的现金净额(元),-,-,-,-,-,"254,134,312.03","254,135,145.72",-,-
支付其他与投资活动有关的现金(元),-,"86,218.31","16,800.00",600.00,600.00,"39,205,220.63",-,-,-
投资活动现金流出小计(元),"90,369,240.49","435,983,443.69","311,297,943.49","292,944,478.81","245,983,718.67","559,376,390.86","311,313,480.27","43,948,351.48","17,839,399.79"
投资活动产生的现金流量净额(元),"-90,369,240.49","-425,863,464.15","-309,200,886.98","-281,746,825.91","-244,805,003.19","-71,632,224.49","-36,182,429.36","239,006,105.19","-10,339,029.79"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"1,125,802.94","1,129,624.11","1,129,643.90",-,"43,733,488.29",-,-,-
其中：子公司吸收少数股东投资收到的现金(元),-,"1,125,802.94",-,-,-,"43,733,488.29",-,-,-
取得借款收到的现金(元),"1,751,996,284.03","1,358,483,648.08","387,335,272.38","202,732,060.12","92,330,619.86","443,947,063.72","296,350,462.74","227,988,957.64","123,593,704.32"
收到其他与筹资活动有关的现金(元),-,-,"93,757,966.16","51,813,412.55","25,147,887.12","143,730,950.51","74,917,984.12","45,159,544.26","10,041,198.75"
筹资活动现金流入小计(元),"1,751,996,284.03","1,359,609,451.02","482,222,862.65","255,675,116.57","117,478,506.98","631,411,502.52","371,268,446.86","273,148,501.90","133,634,903.07"
偿还债务支付的现金(元),"392,857,032.80","493,317,562.30","359,580,899.00","212,518,433.85","100,499,801.40","474,107,368.92","316,323,753.62","168,653,276.62","77,759,730.16"
分配股利、利润或偿付利息支付的现金(元),"18,863,182.96","143,317,255.01","118,954,715.72","99,114,722.46","19,319,070.30","218,974,578.89","202,754,546.83","124,398,137.84","14,243,714.94"
其中：子公司支付给少数股东的股利、利润(元),-,"9,852,809.27",-,-,"28,550,746.60","88,337,706.23",-,-,-
支付其他与筹资活动有关的现金(元),-,"10,818,982.55","113,161,058.90","60,930,242.50","20,029,516.95","120,720,844.96","63,026,415.68","19,004,603.12","8,432,532.68"
筹资活动现金流出小计(元),"411,720,215.76","647,453,799.86","591,696,673.62","372,563,398.81","139,848,388.65","813,802,792.77","582,104,716.13","312,056,017.58","100,435,977.78"
筹资活动产生的现金流量净额(元),"1,340,276,068.27","712,155,651.16","-109,473,810.97","-116,888,282.24","-22,369,881.67","-182,391,290.25","-210,836,269.27","-38,907,515.68","33,198,925.29"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
