-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"21,257,466,605.15","70,578,207,834.29","52,195,863,813.18","37,501,789,702.13","20,101,009,864.13","76,764,633,238.29","64,290,961,489.90","47,598,885,985.36","24,813,884,558.55"
收到的税费返还(元),"45,969,851.95","603,916,897.39","370,518,656.33","305,232,064.00","130,977,526.05","464,242,119.33","728,229,441.60","196,358,525.83","155,823,063.63"
收到其他与经营活动有关的现金(元),"386,274,604.44","4,019,161,557.69","4,051,700,128.82","3,464,749,370.24","2,351,463,047.17","4,768,094,889.23","2,686,402,763.17","1,720,885,871.60","1,228,231,229.46"
经营活动现金流入小计(元),"21,689,711,061.54","75,201,286,289.37","56,618,082,598.33","41,271,771,136.37","22,583,450,437.35","81,996,970,246.85","67,705,593,694.67","49,516,130,382.79","26,197,938,851.64"
购买商品、接受劳务支付的现金(元),"13,417,907,129.60","55,704,810,280.08","41,039,472,205.53","29,029,097,098.22","14,906,195,196.51","70,504,737,377.42","54,305,861,406.86","36,479,347,621.36","18,818,161,279.64"
支付给职工以及为职工支付的现金(元),"1,565,688,589.42","5,633,184,648.81","4,256,843,195.40","2,984,764,831.32","1,732,748,414.84","6,114,219,565.04","4,782,070,413.71","3,423,077,482.78","2,032,314,303.62"
支付的各项税费(元),"1,078,573,272.46","2,955,141,047.76","2,275,961,263.72","1,743,016,544.47","1,046,776,024.48","2,496,007,225.13","2,212,209,891.97","1,795,067,722.02","966,403,211.09"
支付其他与经营活动有关的现金(元),"1,472,197,803.54","7,026,402,074.33","5,287,982,030.32","3,294,629,031.41","1,638,942,420.17","6,769,481,381.70","5,481,602,663.08","3,417,235,796.48","1,744,747,321.63"
经营活动现金流出小计(元),"17,534,366,795.02","71,319,538,050.98","52,860,258,694.97","37,051,507,505.42","19,324,662,056.00","85,884,445,549.29","66,781,744,375.62","45,114,728,622.64","23,561,626,115.98"
经营活动产生的现金流量净额其他项目(元),-,-,-,"9,529,733.66",-,-,-,-,-
经营活动产生的现金流量净额(元),-,"3,881,748,238.39",-,"4,220,263,630.95",-,"-3,887,475,302.44",-,"4,401,401,760.15",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"831,429,574.25",-,-,-,-,-,-,-
取得投资收益收到的现金(元),"3,628,625.00","1,386,844,687.60","1,382,556,705.95",-,-,"1,409,353,446.15","1,346,724,439.40","114,500,000.00",-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"170,091.83","72,899,243.69","9,246,980.58","5,214,056.34","20,000.00","42,904,511.29","23,899,810.00","18,444,059.30","811,738.47"
收到其他与投资活动有关的现金(元),-,-,"2,198,000.00","1,478,695.29","348,000.00","1,036,263,749.91","26,358,750.00","17,358,750.00",-
投资活动现金流入小计(元),"3,798,716.83","2,291,173,505.54","1,394,001,686.53","6,692,751.63","368,000.00","2,488,521,707.35","1,396,982,999.40","150,302,809.30","811,738.47"
购建固定资产、无形资产和其他长期资产支付的现金(元),"566,554,431.22","4,783,722,428.46","3,313,861,816.59","2,438,475,206.69","1,241,507,566.02","6,488,329,782.76","4,609,034,832.18","3,071,429,581.17","1,684,588,619.31"
投资支付的现金(元),"13,088,871.00","1,002,064,416.73","936,788,517.00","936,788,517.00",-,"2,034,743,750.00","2,541,431,126.88","52,243,750.00",-
取得子公司及其他营业单位支付的现金净额(元),-,-,-,-,-,"534,168,219.57",-,-,-
支付其他与投资活动有关的现金(元),"1,524,231,229.20","300,000,000.00","315,938,190.60","315,938,190.60",-,-,-,-,-
投资活动现金流出小计(元),"2,103,874,531.42","6,085,786,845.19","4,566,588,524.19","3,691,201,914.29","1,241,507,566.02","9,057,241,752.33","7,150,465,959.06","3,123,673,331.17","1,684,588,619.31"
投资活动产生的现金流量净额(元),"-2,100,075,814.59","-3,794,613,339.65","-3,172,586,837.66","-3,684,509,162.66","-1,241,139,566.02","-6,568,720,044.98","-5,753,482,959.66","-2,973,370,521.87","-1,683,776,880.84"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),"1,420,000,000.00",-,-,-,-,-,-,-,-
取得借款收到的现金(元),"150,000,000.00","304,880,000.00","85,580,000.00","41,000,000.00","35,000,000.00","340,000,000.00","176,000,000.00","166,000,000.00","150,000,000.00"
收到其他与筹资活动有关的现金(元),"264,541,204.27","32,839,805.56","6,166,032.98","37,159,887.74","28,195,180.76","855,280,377.20","782,530,058.59","880,129,667.40","782,908,132.54"
筹资活动现金流入小计(元),"1,834,541,204.27","337,719,805.56","91,746,032.98","78,159,887.74","63,195,180.76","1,195,280,377.20","958,530,058.59","1,046,129,667.40","932,908,132.54"
偿还债务支付的现金(元),"20,000,000.00","216,594,120.00","52,708,100.00","27,708,100.00","16,708,100.00","348,133,800.00","188,130,000.00","171,300,000.00","171,300,000.00"
分配股利、利润或偿付利息支付的现金(元),"9,459,181.50","126,540,808.63","119,340,285.40","23,367,744.44","9,358,472.79","2,169,490,293.91","2,171,816,595.62","5,326,893.20","3,061,370.98"
支付其他与筹资活动有关的现金(元),"498,552,580.58","395,159,204.54","333,635,591.15","92,571,987.62","529,028,452.47","30,344,195.00",-,-,-
筹资活动现金流出小计(元),"528,011,762.08","738,294,133.17","505,683,976.55","143,647,832.06","555,095,025.26","2,547,968,288.91","2,359,946,595.62","176,626,893.20","174,361,370.98"
