-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
公司类型,保险,保险,保险,保险,保险,保险,保险,保险,保险
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业收入(元),"17,613,172,533.85","50,192,084,322.32","42,457,533,045.68","33,153,522,693.13","22,674,839,056.08","30,950,844,349.05","24,199,852,946.35","20,158,867,067.00","15,793,772,924.15"
已赚保费(元),"14,403,682,065.62","37,576,054,201.54","33,189,477,195.56","26,590,117,147.64","19,011,335,603.36","19,903,702,502.96","17,051,317,817.81","14,865,673,124.20","12,962,722,371.81"
其中：保险业务收入(元),"14,433,297,599.86","37,695,972,551.35","33,287,486,007.67","26,689,288,347.63","19,083,919,807.21","34,524,948,891.05","31,466,991,906.58","29,079,307,589.46","27,158,894,201.22"
分出保费(元),"18,423,515.35","127,214,181.44","102,557,795.63","99,840,223.32","73,928,056.10","14,634,568,570.68","14,423,415,475.30","14,216,266,424.83","14,196,876,517.21"
提取未到期责任准备金(元),"11,192,018.89","-7,295,831.63","-4,548,983.52","-669,023.33","-1,343,852.25","-13,322,182.59","-7,741,386.53","-2,631,959.57","-704,687.80"
加：投资收益(元),"2,740,826,700.52","10,549,700,384.74","7,553,418,071.22","5,176,837,940.48","2,751,412,977.75","8,787,333,845.89","5,896,858,808.82","4,271,224,508.78","2,126,776,456.99"
其中：对联营企业和合营企业的投资收益损失(元),-,"148,890,819.74",-,-,-,"148,665,683.07","77,612,617.42",-,-
公允价值变动损益(元),"24,236,584.05","-894,954.08","14,580,616.23",-,-,"479,727,679.80","1,134,800.00","1,134,800.00","1,134,800.00"
汇兑损失(元),"19,512,997.69","-1,522,673.94","-1,419,524.74","77,566.70","-992,060.78","1,598,028.86","1,826,328.39","436,332.56","-1,302,325.28"
其他业务收入(元),"423,737,513.15","2,059,540,036.58","1,272,194,434.54","1,014,372,658.82","719,143,905.85","1,191,557,512.13","816,722,152.09","700,211,001.08","563,620,764.67"
资产处置收益(元),"-44,607.87","1,589,483.13","9,374,697.09","-99,891.76","-35,125.00","-2,896,531.55","-112,603.44","34,179.16","84,929.48"
其他收益(元),"1,221,280.69","7,617,844.35","6,986,060.91","4,869,347.40","2,563,947.85","14,982,319.67","960,142.37","864,049.52","160,494.85"
营业收入其他项目(元),-,-,"412,921,494.87","367,347,923.85","191,409,807.05","574,838,991.29","431,993,039.24","320,187,300.38","140,820,855.96"
营业收入平衡项目(元),-,-,-,-,-,-,"-847,538.93","-898,228.68","-245,424.33"
二、营业支出(元),"17,271,159,047.73","46,761,215,317.50","40,253,404,953.12","31,474,203,115.85","21,846,483,556.33","28,297,271,128.44","22,276,750,238.11","18,558,038,467.89","15,033,859,922.59"
