-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
公司类型,保险,保险,保险,保险,保险,保险,保险,保险,保险
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
收到原保险合同保费取得的现金(元),"13,988,382,180.82","37,644,025,974.85","33,291,363,172.75","26,724,217,643.97","19,092,210,581.97","34,460,560,180.82","31,395,787,904.49","29,061,603,723.36","27,209,062,163.90"
收到再保险业务现金净额(元),-,-,-,-,-,"38,665.08","7,941,461.14","14,978,841.33","12,306,236.04"
保户储金及投资款净增加额(元),"-6,816,650,502.84","5,943,786,950.88","6,290,126,842.14","6,403,487,094.03","5,731,358,024.24","8,770,234,780.31","2,962,124,679.76","6,307,161,920.47","8,689,921,079.52"
收到的税收返还(元),-,"4,348,555.41","4,348,555.40","4,179,049.77","2,428,857.67","3,759,067.23","3,841,418.74","3,668,271.41","2,878,259.98"
收到其他与经营活动有关的现金(元),"229,507,760.60","1,593,011,821.62","1,384,747,536.85","895,454,160.54","606,205,521.98","1,511,374,322.08","652,777,358.71","551,868,890.03","8,700,060.33"
经营活动现金流入的其他项目(元),-,"367,597,220.94","390,239,858.04","334,705,132.60","153,819,218.52","630,319,316.86","465,484,938.38","333,677,653.98","620,986,001.75"
经营活动现金流入小计(元),"7,401,239,438.58","45,552,770,523.70","41,360,825,965.18","34,362,043,080.91","25,586,022,204.38","45,376,286,332.38","35,487,957,761.22","36,272,959,300.58","36,543,853,801.52"
支付原保险合同赔付等款项的现金(元),"346,867,498.78","1,489,106,795.67","972,937,391.14","624,780,361.60","326,326,775.38","1,350,906,713.22","1,090,766,339.53","815,458,913.52","514,529,064.14"
支付再保险业务现金净额(元),"3,019,206.97","56,351,200.72","55,646,916.88",-,-,-,-,-,-
支付利息、手续费及佣金的现金(元),"1,014,098,134.03","4,238,583,689.02","3,453,333,936.77","2,548,172,787.22","1,406,771,333.02","2,045,101,857.66","1,750,736,350.63","1,652,795,847.84","1,237,052,728.05"
支付保单红利的现金(元),"9,025,678.02","49,451,872.74","35,313,082.53","24,336,154.39","13,248,807.20","58,468,949.87","47,887,027.54","39,631,044.77","26,272,167.42"
支付给职工以及为职工支付的现金(元),"165,689,448.25","867,123,068.67","684,548,581.01","524,443,621.81","314,299,759.48","827,597,178.65","577,393,415.79","405,675,635.98","219,998,518.80"
支付的各项税费(元),"44,529,557.24","1,033,808,339.05","782,710,776.80","436,905,183.40","308,078,725.59","221,113,975.26","276,965,970.91","242,738,004.53","23,349,164.17"
支付其他与经营活动有关的现金(元),"715,404,813.04","9,029,407,308.82","8,824,803,421.26","7,339,937,637.51","6,685,446,092.84","25,529,273,012.41","22,702,725,137.28","21,370,678,509.62","19,380,157,155.67"
