-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"6,006,186,003.63","39,326,128,847.42","29,811,543,665.18","17,886,563,447.18","8,298,789,431.65","36,860,426,938.71","29,523,519,989.24","16,654,150,875.63","7,600,957,411.69"
营业收入(元),"5,997,343,472.29","39,289,930,631.97","29,767,077,306.89","17,858,060,776.92","8,285,323,009.12","36,800,079,676.44","29,475,633,223.53","16,622,131,887.73","7,583,054,235.57"
利息收入(元),"8,842,531.34","36,198,215.45","44,096,815.65","28,205,492.52","13,285,140.67","60,347,262.27","47,258,247.88","31,584,154.43","17,672,354.04"
手续费及佣金收入(元),-,-,"369,542.64","297,177.74","181,281.86",-,"628,517.83","434,833.47","230,822.08"
二、营业总成本(元),"5,769,873,199.74","37,696,823,022.24","28,420,275,824.94","17,078,520,012.30","7,986,159,464.19","35,409,390,851.53","28,514,245,576.46","16,246,232,060.88","7,568,029,742.13"
营业成本(元),"5,198,559,943.71","34,630,983,218.07","26,225,052,411.75","15,735,895,837.40","7,380,767,319.80","32,188,078,912.74","26,402,155,669.69","15,086,615,266.64","7,001,527,144.30"
利息支出(元),"15,693.22","50,752.92","855,724.57","412,882.38",-,"1,406,775.10","1,087,227.03","671,233.84","2,352,232.34"
手续费及佣金支出(元),"10,911.60","50,655.54","43,081.24","33,912.37","15,077.39","40,304.55","27,445.91","16,941.54","10,150.71"
研发费用(元),"17,883,108.14","70,811,434.94","52,318,728.57","29,479,808.78","15,010,336.10","52,304,020.98","36,293,488.15",-,-
营业税金及附加(元),"12,107,164.38","60,247,101.96","37,527,811.80","22,709,978.14","12,488,231.26","58,227,971.11","37,235,719.95","25,559,966.30","10,387,097.93"
销售费用(元),"349,983,272.05","2,001,936,331.73","1,390,408,987.29","811,879,696.66","381,888,902.38","1,902,565,995.04","1,249,426,506.33","692,483,524.46","332,778,270.90"
管理费用(元),"176,848,634.12","861,386,863.66","682,236,776.29","413,608,264.56","184,367,270.52","766,697,758.66","570,056,263.10","371,764,685.48","177,942,278.66"
财务费用(元),"14,464,472.52","71,356,663.42","9,391,881.32","41,449,572.73","36,724,881.91","291,201,069.19","126,799,974.65","-3,954,231.05","81,418,020.31"
其中：利息费用(元),"28,843,968.19","125,455,115.89","77,879,023.54","53,814,328.18","17,694,780.40","110,900,964.11","77,033,927.07",-,-
其中：利息收入(元),"7,428,088.65","35,130,037.08","20,466,528.68","16,583,767.53","7,087,590.61","22,695,083.85","23,197,441.08",-,-
三、其他经营收益
加：公允价值变动收益(元),"-11,977,517.74","7,180,734.15","16,190,861.79","21,414,928.38","64,678,344.98","-66,628,669.93",-,"-39,121,800.00","1,416,000.00"
加：投资收益(元),"43,275,474.87","220,575,321.16","143,878,932.99","84,685,467.41","28,199,006.91","779,386,705.82","667,330,789.49","657,891,910.68","595,029,453.82"
其中：对联营企业和合营企业的投资收益(元),"3,131,476.31","41,922,248.39","21,203,644.68","4,694,182.84","102,342,492.33","156,771,188.97","44,242,650.07","27,377,862.51","84,688,769.40"
资产处置收益(元),"69,194.46","-3,431,584.47","149,302.79","74,726.93","7,660.76","38,091,535.02","32,362,651.00","17,992,618.98","-1,500,415.43"
资产减值损失(元),-,-,"6,699,914.19","-109,530.23","-1,564,235.24","148,868,044.16","91,163,281.65","73,074,673.67","-38,385,453.02"
信用减值损失(元),-,-,"15,740,507.92","23,159,589.51","-23,538,319.93",-,-,-,-
其他收益(元),"14,027,278.75","59,829,071.01","28,762,954.64","14,375,601.53","5,621,318.89","39,451,382.52","19,957,136.31","19,779,087.88","748,778.23"
四、营业利润(元),"295,337,528.48","1,886,524,767.69","1,580,249,892.45","928,594,159.13","411,136,299.00","2,241,337,040.61","1,728,924,989.58","1,064,460,632.29","628,621,486.18"
加：营业外收入(元),"9,355,643.14","23,196,311.25","17,271,929.57","6,389,516.88","22,339,721.26","19,671,261.47","9,422,417.52","5,952,615.47","4,939,555.56"
减：营业外支出(元),"2,084,571.00","11,826,232.65","8,528,107.46","1,994,308.92","837,881.88","114,788,675.90","5,955,116.52","3,469,631.87","919,192.38"
五、利润总额(元),"302,608,600.62","1,897,894,846.29","1,588,993,714.56","932,989,367.09","432,638,138.38","2,146,219,626.18","1,732,392,290.58","1,066,943,615.89","632,641,849.36"
减：所得税费用(元),"67,207,795.07","451,801,412.99","403,569,839.48","221,422,565.10","103,108,824.97","478,509,625.80","425,022,137.10","267,391,669.49","175,753,382.07"
六、净利润(元),"235,400,805.55","1,446,093,433.30","1,185,423,875.08","711,566,801.99","329,529,313.41","1,667,710,000.38","1,307,370,153.48","799,551,946.40","456,888,467.29"
(一)按经营持续性分类
持续经营净利润(元),"235,400,805.55","1,446,093,433.30","1,185,423,875.08","711,566,801.99","329,529,313.41","1,667,710,000.38","1,307,370,153.48","799,551,946.40","456,888,467.29"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"163,477,750.33","945,056,350.94","767,684,997.22","460,115,423.46","218,463,401.27","1,015,745,423.42","736,186,394.56","432,500,087.92","227,934,444.36"
少数股东损益(元),"71,923,055.22","501,037,082.36","417,738,877.86","251,451,378.53","111,065,912.14","651,964,576.96","571,183,758.92","367,051,858.48","228,954,022.93"
扣除非经常性损益后的净利润(元),"154,499,319.51","839,778,564.49","668,576,463.56","393,780,024.22","176,247,089.16","712,954,931.93","532,475,728.32","183,666,905.45","10,261,750.97"
七、每股收益
