-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"7,467,565,869.27","41,110,622,489.37","32,521,524,992.53","20,123,582,318.17","10,697,435,731.83","41,284,840,036.94","34,174,729,667.42","20,164,415,244.21","9,100,876,316.10"
客户存款和同业存放款项净增加额(元),"-4,270,579.43","-91,914,522.18","84,254,037.42","32,387,302.68","-52,081,705.72","-180,560,175.11","-243,430,086.10","-10,594,088.46","-23,980,609.23"
收取利息、手续费及佣金的现金(元),"8,842,531.34","37,090,266.96","42,003,803.46","26,426,476.89","16,205,862.54","61,770,382.69","50,157,913.11","31,889,460.36","18,302,368.00"
收到的税费返还(元),"466,410,842.41","3,126,457,565.81","2,360,829,127.01","1,385,946,886.46","825,780,421.50","3,712,170,782.97","2,152,270,318.55","1,391,921,421.34","754,746,081.17"
收到其他与经营活动有关的现金(元),"92,456,166.61","161,362,521.63","119,699,504.65","210,550,265.24","57,331,434.40","133,852,849.59","95,084,621.14","147,334,989.93","404,311,248.96"
经营活动现金流入小计(元),"8,031,004,830.20","44,343,618,321.59","35,128,311,465.07","21,778,893,249.44","11,544,671,744.55","45,012,073,877.08","36,228,812,434.12","21,724,967,027.38","10,254,255,405.00"
购买商品、接受劳务支付的现金(元),"7,035,583,463.49","37,848,456,690.99","30,339,261,046.38","19,684,329,312.78","11,371,700,773.85","39,278,196,308.34","33,960,829,243.03","20,812,560,274.84","9,140,237,100.49"
存放中央银行和同业款项净增加额(元),"-18,188,788.56","-562,238.60","-11,445,792.07","-11,760,031.95","-23,606,068.66","-15,238,211.01","-29,909,940.87","-47,354,801.13","-7,467,713.69"
支付利息、手续费及佣金的现金(元),"26,604.82","136,121.80","5,083,835.51","4,698,854.60","56,394.22","8,534,696.63","2,296,451.85","415,554.69","459,702.09"
支付给职工以及为职工支付的现金(元),"621,410,666.18","2,583,660,159.63","1,933,777,210.01","1,371,475,946.31","617,928,652.63","2,360,797,279.06","1,584,984,877.56","1,073,721,790.16","519,737,086.11"
支付的各项税费(元),"141,004,050.29","853,927,398.02","786,713,838.98","655,313,412.12","160,123,440.54","576,116,560.82","363,453,581.16","278,043,631.75","126,766,554.30"
支付其他与经营活动有关的现金(元),"194,074,348.14","945,096,340.76","602,941,880.03","460,663,775.49","150,559,417.06","1,073,944,186.50","738,178,821.79","408,872,749.90","449,947,829.14"
经营活动现金流出小计(元),"7,973,910,344.36","42,230,714,472.60","33,656,332,018.84","22,164,721,269.35","12,276,762,609.64","43,282,350,820.34","36,619,833,034.52","22,526,259,200.21","10,229,680,558.44"
经营活动产生的现金流量净额(元),-,"2,112,903,848.99",-,"-385,828,019.91",-,"1,729,723,056.74",-,"-801,292,172.83",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"7,407,045,789.05","15,614,969,845.86","9,903,815,113.36","2,627,000,000.00","2,650,000,000.00","14,836,272,912.98","9,202,987,891.85","6,297,951,032.54","1,678,091,561.95"
取得投资收益收到的现金(元),"41,520,333.03","175,811,696.50","113,511,260.42","42,081,033.78","1,543,590.06","254,689,745.75","154,012,927.94","33,160,587.41","94,919,653.26"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"13,517,565.71","20,071,409.65","25,081,664.36","20,360,212.70","11,567,056.79","126,848,216.24","76,258,772.73","17,328,443.08","671,735.73"
处置子公司及其他营业单位收到的现金净额(元),"295,110.22","-988,499.93","2,910,500.00","266,818.95","7,660,500.00","684,145,407.39","-121,346.68",-,"11,728,000.00"
收到其他与投资活动有关的现金(元),-,-,-,-,-,"8,204,363.02",-,-,"64,534,341.06"
投资活动现金流入小计(元),"7,462,378,798.01","15,809,864,452.08","10,045,318,538.14","2,689,708,065.43","2,670,771,146.85","15,910,160,645.38","9,433,138,245.84","6,348,440,063.03","1,849,945,292.00"
购建固定资产、无形资产和其他长期资产支付的现金(元),"215,242,009.12","652,890,475.04","364,023,170.90","261,518,632.29","91,778,680.83","559,817,479.28","333,626,218.95",-,"67,216,425.56"
投资支付的现金(元),"6,623,407,623.21","17,618,215,192.80","10,964,568,139.12","3,247,316,148.59","2,648,334,166.92","16,708,778,979.42","9,410,808,868.91","450,202,478.19","2,235,515,615.01"
质押贷款净增加额(元),-,-,-,-,-,-,-,"6,716,000,000.00",-
取得子公司及其他营业单位支付的现金净额(元),-,"16,840,874.76",-,"4,673,730.67",-,"12,000,000.00",-,-,-
支付其他与投资活动有关的现金(元),-,-,"33,001,846.47","32,716,035.97","23,322,813.00","155,794,123.91","45,475,559.22","35,531,209.22","41,400.85"
投资活动现金流出小计(元),"6,838,649,632.33","18,287,946,542.60","11,361,593,156.49","3,546,224,547.52","2,763,435,660.75","17,436,390,582.61","9,789,910,647.08","7,201,733,687.41","2,302,773,441.42"
投资活动产生的现金流量净额(元),"623,729,165.68","-2,478,082,090.52","-1,316,274,618.35","-856,516,482.09","-92,664,513.90","-1,526,229,937.23","-356,772,401.24","-853,293,624.38","-452,828,149.42"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"26,800,000.00","26,800,000.00","33,407,816.00","24,000,000.00","4,871,195.25","5,915,852.94","5,915,852.94","445,650,485.35"
其中：子公司吸收少数股东投资收到的现金(元),-,"26,800,000.00","26,800,000.00","33,407,816.00","24,000,000.00","500,000.00",-,-,-
