-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"6,119,577,143.72","4,936,295,610.85","4,849,971,607.95","4,166,491,167.16","4,425,553,586.23","4,448,981,919.89","4,631,724,371.59","3,989,084,911.42","5,129,229,925.45"
以公允价值计量且其变动计入当期损益的金融资产(元),-,-,-,-,"172,319,113.61","69,297,991.23",-,-,"1,416,000.00"
其中：交易性金融资产(元),"4,666,237,271.70","5,404,385,502.10",-,-,-,-,-,-,-
应收票据及应收账款(元),"3,628,963,504.66","4,192,104,685.54","5,569,886,691.83","5,903,234,949.36","5,131,442,194.80","5,510,748,668.18","6,299,477,794.49","6,057,989,381.48","4,009,381,021.60"
其中：应收票据(元),-,-,"414,070,348.36","372,029,600.33",-,"327,061,401.41",-,"200,529,198.61","303,849,945.51"
其中：应收账款(元),"3,628,963,504.66","4,192,104,685.54","5,155,816,343.47","5,531,205,349.03",-,"5,183,687,266.77",-,"5,857,460,182.87","3,705,531,076.09"
预付款项(元),"678,017,935.49","582,364,613.95","691,466,810.74","931,008,170.48","651,630,971.74","679,574,817.58","951,014,552.83","899,413,775.76","816,960,734.80"
应收利息(元),-,-,-,-,-,"8,833,571.44","14,595,628.24"
应收股利(元),-,-,-,-,-,-,-,"51,729,545.45","72,000.00"
其他应收款(元),"50,460,979.16","29,135,729.59","44,065,971.84","30,733,985.72","24,179,020.40","51,259,062.48","120,095,640.57","66,197,450.75","110,263,129.23"
存货(元),"3,604,177,634.47","3,660,643,613.84","3,326,479,564.07","3,969,090,293.82","3,405,225,593.77","2,568,995,973.07","2,113,539,596.96","1,965,188,814.01","2,010,407,233.35"
其他流动资产(元),"544,214,956.70","516,905,417.38","5,041,505,881.44","4,480,281,078.01","4,517,023,639.99","4,007,327,091.60","3,908,535,815.80","4,048,573,299.40","3,450,322,289.38"
流动资产合计(元),"19,775,037,604.52","19,765,827,857.67","19,686,024,411.62","19,648,633,679.01","18,327,374,120.54","17,336,185,524.03","18,024,387,772.24","17,087,010,749.71","15,542,647,962.05"
非流动资产：
可供出售金融资产(元),-,-,-,-,-,"177,959,985.48","120,748,853.61","127,762,994.01","116,698,883.78"
长期股权投资(元),"343,176,986.08","331,146,681.01","308,376,842.48","300,123,030.58","290,362,530.33","296,463,380.93","180,805,820.11","153,141,032.55","216,613,412.57"
其他权益工具投资(元),"111,528,157.69","115,254,249.04","105,750,848.10","113,208,512.10","119,382,912.90",-,-,-,-
投资性房地产(元),"544,543,549.33","542,666,942.24","314,094,592.23","319,898,768.52","328,343,364.12","330,990,243.57","340,719,101.89","342,460,079.61","352,619,234.17"
固定资产(元),"1,874,925,679.58","1,882,571,354.45","1,850,057,159.17","1,850,894,058.51","1,835,397,564.50","1,847,449,987.58","1,887,731,773.82","1,717,804,590.57","1,708,015,960.01"
在建工程(元),"326,375,501.91","292,996,429.69","245,206,491.71","194,427,276.18","136,642,594.31","103,829,118.52","25,879,736.52","26,747,605.58","11,015,631.36"
工程物资(元),-,-,-,-,-,-,-,"457,306.77","668,870.89"
无形资产(元),"198,651,497.20","201,117,877.67","194,672,539.23","194,725,189.91","193,248,937.72","195,142,024.20","161,257,193.96","162,201,501.04","188,853,642.73"
商誉(元),"4,088,228.44","4,088,228.44","4,088,228.44","4,088,228.44","4,088,228.44","4,088,228.44","5,338,151.08","5,338,151.08","5,338,151.08"
长期待摊费用(元),"138,373,721.35","132,786,329.19","144,044,525.32","152,497,782.04","144,016,927.32","138,343,262.22","104,010,060.34","97,450,894.36","102,068,108.30"
递延所得税资产(元),"121,548,364.09","134,733,447.21","106,244,497.34","124,050,628.60","173,035,498.63","192,317,546.38","174,608,153.38","172,229,071.37","149,333,881.40"
其他非流动资产(元),"112,840,733.44","119,426,986.41","277,720,226.85","282,988,976.85","258,020,893.85","988,400,086.91","280,242,077.45","335,359,088.65","279,988,976.85"
非流动资产合计(元),"3,776,052,419.11","3,756,788,525.35","3,550,255,950.87","3,536,902,451.73","3,482,539,452.12","4,274,983,864.23","3,281,340,922.16","3,140,952,315.59","3,131,214,753.14"
资产总计(元),"23,551,090,023.63","23,522,616,383.02","23,236,280,362.49","23,185,536,130.74","21,809,913,572.66","21,611,169,388.26","21,305,728,694.40","20,227,963,065.30","18,673,862,715.19"
流动负债：
短期借款(元),"1,994,571,217.50","2,325,237,804.06","2,323,835,432.17","3,000,553,330.13","2,598,282,899.08","1,763,776,091.24","2,645,241,816.89","2,575,533,758.71","2,316,935,944.63"
吸收存款及同业存放(元),"6,821,333.47","11,091,912.90","187,260,472.50","135,393,737.76","50,924,729.36","103,006,435.08","40,136,524.09","272,972,521.73","259,586,000.96"
以公允价值计量且其变动计入当期损益的金融负债(元),-,-,-,-,-,"78,390,071.49",-,"39,121,800.00",-
应付票据及应付账款(元),"5,910,740,867.35","6,644,983,630.03","7,355,222,689.99","7,305,035,446.87","6,376,582,366.65","7,139,640,537.03","6,626,911,450.36","6,062,507,514.99","4,932,612,989.33"
其中：应付票据(元),"1,832,253,234.20","2,486,308,599.62","3,111,233,040.87","2,770,013,891.59",-,"2,886,740,746.84",-,"2,145,602,671.46","1,893,631,336.23"
其中：应付账款(元),"4,078,487,633.15","4,158,675,030.41","4,243,989,649.12","4,535,021,555.28",-,"4,252,899,790.19",-,"3,916,904,843.53","3,038,981,653.10"
