-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"255,287,248.21","4,517,995,996.30","2,355,979,840.70","1,382,338,908.04","427,446,229.07","4,034,046,570.12","2,173,309,569.56","1,181,607,164.06","404,287,609.24"
营业收入(元),"255,287,248.21","4,517,995,996.30","2,355,979,840.70","1,382,338,908.04","427,446,229.07","4,034,046,570.12","2,173,309,569.56","1,181,607,164.06","404,287,609.24"
二、营业总成本(元),"211,875,204.11","4,281,863,618.45","2,217,818,937.04","1,284,206,711.38","391,318,288.00","3,873,053,316.95","2,043,023,709.47","1,096,704,051.63","374,865,765.45"
营业成本(元),"154,684,390.46","3,967,195,935.56","2,072,051,344.40","1,172,554,080.05","351,569,279.67","3,575,622,790.30","1,898,901,650.34","991,269,458.45","326,311,700.05"
研发费用(元),"24,018,183.55","162,400,922.80","58,914,916.45","46,641,389.92","7,788,218.46","130,425,719.29","48,669,445.47",-,-
营业税金及附加(元),"2,408,264.51","14,265,660.88","8,759,139.44","4,063,605.81","1,169,291.82","15,334,756.04","8,204,165.61","2,927,363.03","1,730,666.55"
销售费用(元),"7,082,030.90","34,812,339.84","20,938,281.83","14,122,847.57","8,060,945.42","27,331,976.82","15,029,301.71","9,962,519.94","5,410,385.20"
管理费用(元),"24,475,919.48","110,902,601.74","83,661,888.43","55,356,461.84","27,119,758.36","106,304,966.43","91,654,847.39","94,702,029.84","49,009,438.10"
财务费用(元),"-793,584.79","-7,713,842.37","-7,559,151.99","1,782,730.72","656,770.79","-10,486,696.41","-8,284,688.82","-6,999,906.37","2,378,031.77"
其中：利息费用(元),"837,746.46","7,766,470.88","6,917,865.72","6,005,791.37","1,320,705.48","3,363,149.02","1,526,088.66",-,-
其中：利息收入(元),"1,872,402.81","13,900,922.53","8,318,711.24","5,337,540.72","1,712,954.88","10,316,649.66","7,635,385.14",-,-
三、其他经营收益
加：投资收益(元),"788,839.04","15,286,788.67","7,161,950.80","2,053,100.99","282,663.62","5,104,145.24","8,017,448.07","2,828,386.95","586,395.71"
其中：对联营企业和合营企业的投资收益(元),"788,839.04","15,286,788.67","7,161,950.80","2,053,100.99",-,"5,104,145.24","8,017,448.07","2,828,386.95","586,395.71"
资产处置收益(元),-,"58,339.11","58,339.11","5,057.20","5,057.20","241,480.94","-18,575.42","16,341.98",-
资产减值损失(元),-,-,-,-,-,"28,519,804.48","-11,151,012.23","4,842,586.74","-9,974,456.22"
信用减值损失(元),-,-,"-18,947,481.52","-10,314,404.53","-5,045,976.52",-,-,-,-
其他收益(元),"11,752.45","8,857,872.30","4,656,098.09","3,983,115.05",-,"5,148,869.40","1,203,505.49","449,116.37","372,173.16"
四、营业利润(元),"37,857,137.19","201,518,473.36","150,037,291.66","104,173,469.90","36,415,661.89","171,487,748.75","139,488,238.23","88,196,957.73","30,380,412.66"
加：营业外收入(元),"9,493.00","77,382.87","64,532.70","31,989.50","28,972.50","213,437.18","10,250.00","459,293.47","212,676.13"
减：营业外支出(元),"32,900.00","634,501.49","331,312.73","312,521.96","165,471.73","366,364.96","331,605.27","306,763.80","3,671.19"
五、利润总额(元),"37,833,730.19","200,961,354.74","149,770,511.63","103,892,937.44","36,279,162.66","171,334,820.97","139,166,882.96","88,349,487.40","30,589,417.60"
减：所得税费用(元),"6,023,914.81","21,302,782.30","21,286,666.09","15,646,375.25","5,497,780.24","22,171,536.03","19,921,311.38","14,398,945.82","4,564,716.89"
六、净利润(元),"31,809,815.38","179,658,572.44","128,483,845.54","88,246,562.19","30,781,382.42","149,163,284.94","119,245,571.58","73,950,541.58","26,024,700.71"
(一)按经营持续性分类
持续经营净利润(元),"31,809,815.38","179,658,572.44","128,483,845.54","88,246,562.19","30,781,382.42","149,163,284.94","119,245,571.58","73,950,541.58","26,024,700.71"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"31,664,722.35","176,947,648.35","127,957,964.46","87,884,767.19","30,682,358.04","148,269,862.29","118,982,785.28","73,799,471.24","26,072,177.96"
少数股东损益(元),"145,093.03","2,710,924.09","525,881.08","361,795.00","99,024.38","893,422.65","262,786.30","151,070.34","-47,477.25"
扣除非经常性损益后的净利润(元),"31,679,411.01","170,590,873.01","124,849,751.52","85,222,944.69","30,802,360.02","143,940,146.66","118,330,881.40","73,332,780.89","25,606,944.27"
七、每股收益
一、基本每股收益(元),0.06,0.33,0.24,0.16,0.07,0.33,0.27,0.17,0.06
二、稀释每股收益(元),0.06,0.33,0.24,0.16,0.07,0.33,0.27,0.17,0.06
八、其他综合收益(元),-,"-19,125,000.00",-,-,-,-,-,-,-
归属于母公司股东的其他综合收益(元),-,"-19,125,000.00",-,-,-,-,-,-,-
九、综合收益总额(元),"31,809,815.38","160,533,572.44","128,483,845.54","88,246,562.19","30,781,382.42","149,163,284.94","119,245,571.58","73,950,541.58","26,024,700.71"
归属于母公司所有者的综合收益总额(元),"31,664,722.35","157,822,648.35","127,957,964.46","87,884,767.19","30,682,358.04","148,269,862.29","118,982,785.28","73,799,471.24","26,072,177.96"
归属于少数股东的综合收益总额(元),"145,093.03","2,710,924.09","525,881.08","361,795.00","99,024.38","893,422.65","262,786.30","151,070.34","-47,477.25"
公告日期,2020-04-29,2020-03-31,2019-10-26,2019-08-29,2019-04-27,2019-03-30,2018-10-23,2018-08-30,2018-04-28
审计意见(境内),标准无保留意见,标准无保留意见
