-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"254,137,361.51","3,606,434,690.04","2,683,177,049.79","1,841,684,755.03","393,759,587.89","2,492,301,581.00","1,446,788,601.05","916,310,144.06","364,056,210.37"
收到的税费返还(元),"749,836.97","118,111,560.00","88,091,609.38","86,553,758.84","34,777,244.61","17,650,508.86","13,203,481.92","13,121,066.79","2,758,411.91"
收到其他与经营活动有关的现金(元),"43,937,770.72","302,710,126.58","242,697,624.97","216,010,344.47","22,585,228.54","155,947,064.93","124,298,567.91","108,119,902.72","75,112,006.62"
经营活动现金流入小计(元),"298,824,969.20","4,027,256,376.62","3,013,966,284.14","2,144,248,858.34","451,122,061.04","2,665,899,154.79","1,584,290,650.88","1,037,551,113.57","441,926,628.90"
购买商品、接受劳务支付的现金(元),"521,073,233.03","2,712,709,361.90","2,053,469,334.46","1,230,545,374.56","468,222,645.16","2,430,009,096.88","1,740,882,822.24","1,256,262,782.20","660,423,354.97"
支付给职工以及为职工支付的现金(元),"86,978,511.77","340,320,436.06","234,142,422.20","173,386,994.65","101,575,412.37","309,305,906.88","229,024,300.46","165,200,276.32","100,890,925.02"
支付的各项税费(元),"19,210,605.52","107,675,883.99","76,404,174.09","56,008,254.55","16,078,317.34","91,157,959.91","59,070,553.21","49,100,777.29","23,881,020.60"
支付其他与经营活动有关的现金(元),"45,369,781.17","536,292,800.23","427,364,022.24","367,864,742.54","76,094,180.80","267,758,539.74","168,866,905.65","142,093,361.49","86,337,113.45"
经营活动现金流出小计(元),"672,632,131.49","3,696,998,482.18","2,791,379,952.99","1,827,805,366.30","661,970,555.67","3,098,231,503.41","2,197,844,581.56","1,612,657,197.30","871,532,414.04"
经营活动产生的现金流量净额(元),-,"330,257,894.44",-,"316,443,492.04",-,"-432,332,348.62",-,"-575,106,083.73",-
二、投资活动产生的现金流量
取得投资收益收到的现金(元),"12,177,810.33",-,-,-,-,"11,441,956.80","11,441,956.80","11,441,956.80","11,441,956.80"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"61,200.00","61,200.00",-,-,"39,410.00","39,210.00","39,060.00",-
收到其他与投资活动有关的现金(元),"13,000,000.00",-,-,-,-,-,-,-,-
投资活动现金流入小计(元),"25,177,810.33","61,200.00","61,200.00",-,-,"11,481,366.80","11,481,166.80","11,481,016.80","11,441,956.80"
购建固定资产、无形资产和其他长期资产支付的现金(元),"11,337,697.22","78,748,432.06","16,814,583.95","19,263,725.20","13,655,991.03","132,791,256.67","37,024,576.22","25,902,668.23","44,115,695.80"
投资支付的现金(元),-,"52,500,000.00","24,500,000.00","24,500,000.00","24,500,000.00","67,375,000.00","67,375,000.00","67,375,000.00","66,525,000.00"
投资活动现金流出小计(元),"11,337,697.22","131,248,432.06","41,314,583.95","43,763,725.20","38,155,991.03","200,166,256.67","104,399,576.22","93,277,668.23","110,640,695.80"
投资活动产生的现金流量净额(元),"13,840,113.11","-131,187,232.06","-41,253,383.95","-43,763,725.20","-38,155,991.03","-188,684,889.87","-92,918,409.42","-81,796,651.43","-99,198,739.00"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),"38,373,750.00",-,-,-,-,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
其中：子公司吸收少数股东投资收到的现金(元),-,-,-,-,-,"1,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00"
取得借款收到的现金(元),"10,000,000.00",-,-,-,-,"189,000,000.00","108,000,000.00","108,000,000.00","28,000,000.00"
筹资活动现金流入小计(元),"48,373,750.00",-,-,-,-,"190,000,000.00","109,000,000.00","109,000,000.00","29,000,000.00"
偿还债务支付的现金(元),"34,500,000.00","3,000,000.00","3,000,000.00","1,500,000.00","1,500,000.00",-,-,-,-
分配股利、利润或偿付利息支付的现金(元),"653,084.40","80,315,544.93","71,428,881.79","54,466,546.35","1,320,065.84","29,873,877.63","21,699,756.16","13,779,281.82","6,773,474.17"
支付其他与筹资活动有关的现金(元),-,"107,428.80","107,428.80","107,428.80",-,"100,000.00","100,000.00",-,-
筹资活动现金流出小计(元),"35,153,084.40","83,422,973.73","74,536,310.59","56,073,975.15","2,820,065.84","29,973,877.63","21,799,756.16","13,779,281.82","6,773,474.17"
筹资活动产生的现金流量净额(元),"13,220,665.60","-83,422,973.73","-74,536,310.59","-56,073,975.15","-2,820,065.84","160,026,122.37","87,200,243.84","95,220,718.18","22,226,525.83"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"1,480,174,444.74","1,356,133,634.35","1,356,133,634.35","1,356,133,634.35","1,356,133,634.35","1,811,669,718.12","1,811,669,718.12","1,811,669,718.12","1,811,669,718.12"
期末现金及现金等价物余额(元),"1,134,353,523.98","1,480,174,444.74","1,474,376,133.50","1,574,066,166.90","1,100,590,224.05","1,356,133,634.35","1,198,591,106.39","1,251,721,670.70","1,301,651,316.93"
补充资料：
净利润(元),-,"179,658,572.44",-,"88,246,562.19",-,"149,163,284.94",-,"73,950,541.58",-
资产减值准备(元),-,"58,816,904.57",-,"-10,314,404.53",-,"28,519,804.48",-,"4,842,586.74",-
固定资产和投资性房地产折旧(元),-,"18,169,340.48",-,"57,536,307.70",-,"19,361,716.66",-,"9,867,004.42",-
