-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"1,138,496,105.46","1,484,316,357.45","1,478,517,377.94","1,578,306,736.25","1,104,832,128.63","1,360,272,869.70","1,202,797,760.06","1,255,927,651.33","1,305,856,625.03"
应收票据及应收账款(元),"936,451,064.99","956,986,710.29","848,319,845.26","771,673,822.03","777,705,060.76","840,548,392.03","584,957,139.23","677,387,687.47","810,625,726.47"
其中：应收票据(元),"50,000.00","50,000.00","105,292,272.13","152,774,222.13","129,762,115.48","189,639,274.73","163,853,371.25","121,967,788.63","176,331,562.04"
其中：应收账款(元),"936,401,064.99","956,936,710.29","743,027,573.13","618,899,599.90","647,942,945.28","650,909,117.30","421,103,767.98","555,419,898.84","634,294,164.43"
预付款项(元),"744,143,134.49","598,604,215.31","1,015,165,829.28","940,282,439.06","846,980,788.84","629,121,967.29","1,447,850,671.76","1,668,055,623.12","1,520,417,710.04"
应收利息(元),"7,650,817.19","6,031,819.41",-,-,-,"350,482.49","594,956.79"
其他应收款(元),"112,878,800.13","91,562,491.63","81,681,973.91","110,268,726.55","58,205,883.97","62,517,929.74","69,446,094.31","58,844,663.27","57,751,859.73"
存货(元),"126,858,062.89","1,750,966,924.92","1,622,429,043.50","1,610,820,390.15","1,760,824,009.43","1,470,966,004.80","1,484,717,542.65","1,310,619,169.56","1,108,136,231.22"
合同资产(元),"1,578,995,343.97",-,-,-,-,-,-,-,-
其他流动资产(元),"22,261,347.14","22,969,268.07","15,032,114.79","2,023,443.76","1,222,091.86","1,188,574.94","1,337,719.30","1,470,305.65","825,358.18"
流动资产合计(元),"4,844,046,138.11","4,979,828,661.48","5,066,685,951.74","5,016,457,289.08","4,549,769,963.49","4,364,615,738.50","4,791,106,927.31","4,972,655,582.89","4,804,208,467.46"
非流动资产：
可供出售金融资产(元),-,-,-,-,-,"130,700,000.00","153,200,000.00","153,200,000.00","153,200,000.00"
长期应收款(元),"853,852,489.98","858,636,830.15","815,480,513.79","795,277,741.40","781,988,205.42","773,999,647.14","609,936,445.04","559,196,502.55","482,718,185.04"
长期股权投资(元),"294,328,145.94","305,716,927.15","269,686,098.09","264,376,906.40","262,606,469.03","250,323,805.41","253,346,559.15","248,033,194.69","244,941,203.45"
其他权益工具投资(元),"120,700,000.00","120,700,000.00","143,200,000.00","143,200,000.00","143,200,000.00",-,-,-,-
固定资产(元),"174,308,349.67","174,074,121.29","176,730,310.25","178,437,980.34","181,734,873.72","184,913,331.95","187,591,338.74","191,120,177.05","194,889,882.95"
在建工程(元),"158,490.56",-,-,-,-,-,"29,131,438.33","28,780,816.11","28,430,193.89"
无形资产(元),"142,800,210.71","142,885,036.94","144,384,762.38","146,683,347.30","146,664,278.73","147,666,802.72","115,210,051.30","116,840,600.97","117,992,680.53"
长期待摊费用(元),"1,029,380.15","1,254,919.73","1,480,459.31","1,705,998.89","1,931,538.47","2,157,078.05","2,427,671.81","2,804,128.96","3,358,527.73"
递延所得税资产(元),"91,103,181.15","90,472,650.65","75,227,829.47","75,768,999.20","76,519,813.62","77,239,583.06","71,168,390.96","73,579,247.86","71,288,545.88"
非流动资产合计(元),"1,678,280,248.16","1,693,740,485.91","1,626,189,973.29","1,605,450,973.53","1,594,645,178.99","1,567,000,248.33","1,422,011,895.33","1,373,554,668.19","1,296,819,219.47"
资产总计(元),"6,522,326,386.27","6,673,569,147.39","6,692,875,925.03","6,621,908,262.61","6,144,415,142.48","5,931,615,986.83","6,213,118,822.64","6,346,210,251.08","6,101,027,686.93"
流动负债：
短期借款(元),"10,000,000.00",-,-,-,-,-,-,-,-
应付票据及应付账款(元),"2,444,445,626.03","2,733,613,262.89","1,995,316,465.45","2,057,200,737.47","2,205,090,835.38","2,175,570,075.13","2,087,799,077.18","2,034,483,999.90","1,740,277,837.99"
其中：应付票据(元),"102,840,891.30","36,457,971.00","14,072,986.26","5,065,865.00",-,"74,236,463.46",-,"122,670,431.33","85,216,546.50"
其中：应付账款(元),"2,341,604,734.73","2,697,155,291.89","1,981,243,479.19","2,052,134,872.47",-,"2,101,333,611.67",-,"1,911,813,568.57","1,655,061,291.49"
预收款项(元),-,"803,382,190.40","1,569,273,510.14","1,536,933,564.12","936,297,267.10","747,170,199.65","1,248,816,694.27","1,460,075,171.49","1,592,494,063.99"
合同负债(元),"911,940,868.89",-,-,-,-,-,-,-,-
应付职工薪酬(元),"35,379,682.94","72,245,206.08","52,270,430.33","40,486,252.35","31,827,523.13","84,675,897.12","32,206,163.38","33,395,686.54","38,553,834.35"
应交税费(元),"41,966,109.12","49,517,024.00","95,861,452.38","45,974,624.84","23,631,568.52","34,638,783.41","72,824,534.45","81,186,462.50","130,171,757.19"
应付利息(元),"447,778.59","1,068,839.71",-,-,-,-,-
其他应付款(元),"54,158,245.53","25,078,639.92","26,241,241.59","31,230,414.00","51,199,156.68","22,222,604.30","18,765,157.25","30,486,594.33","21,301,966.72"
一年内到期的非流动负债(元),"99,000,000.00","132,000,000.00",-,-,-,-,-,-,-
其他流动负债(元),"12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81","12,234,612.81"
流动负债合计(元),"3,609,572,923.91","3,829,139,775.81","3,751,289,278.73","3,724,148,504.96","3,260,280,963.62","3,076,512,172.42","3,472,646,239.34","3,651,862,527.57","3,535,034,073.05"
非流动负债：
