-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"158,936,440.83","989,540,672.00","711,562,526.22","458,808,281.90","200,094,700.65","1,004,073,717.18","733,897,654.72","498,016,082.36","230,858,988.13"
营业收入(元),"158,936,440.83","989,540,672.00","711,562,526.22","458,808,281.90","200,094,700.65","1,004,073,717.18","733,897,654.72","498,016,082.36","230,858,988.13"
二、营业总成本(元),"184,162,667.90","1,031,041,727.93","762,797,546.34","487,477,455.23","218,624,551.93","1,046,432,127.03","769,214,985.79","519,168,235.58","238,281,182.14"
营业成本(元),"150,349,792.28","866,467,684.99","622,376,483.55","397,383,951.59","178,034,855.59","873,169,058.05","651,093,385.41","440,458,376.17","201,000,334.33"
研发费用(元),"5,611,352.75","34,472,938.87","23,285,934.03","12,797,529.37","6,024,364.43","33,783,480.85","19,735,928.36",-,-
营业税金及附加(元),"502,905.40","5,330,631.31","3,144,483.94","1,898,602.63","517,738.77","4,608,706.74","3,067,893.07","1,754,820.80","430,231.18"
销售费用(元),"5,964,733.62","26,829,432.26","20,855,194.86","13,542,254.81","6,681,753.71","27,224,916.68","21,492,706.91","14,153,118.76","6,056,702.82"
管理费用(元),"18,016,897.43","72,478,838.81","74,069,132.07","50,733,482.10","23,096,576.84","96,556,228.77","69,941,027.19","58,081,602.51","27,392,329.15"
财务费用(元),"3,716,986.42","25,462,201.69","18,103,438.85","10,176,339.18","4,106,259.24","10,265,516.07","4,901,443.21","5,182,680.28","5,346,454.56"
其中：利息费用(元),"4,358,436.58","22,912,680.57","15,538,323.46","9,967,913.58","4,280,400.11","12,077,820.89","8,250,186.89",-,-
其中：利息收入(元),"20,281.26","191,729.34","593,175.41","-537,885.81","478,156.67","608,420.41","210,093.86",-,-
三、其他经营收益
加：公允价值变动收益(元),-,"242,497.84","227,211.00","227,211.00","270,784.60","-380,148.00","-111,990.88","-162,445.99","-457,620.43"
加：投资收益(元),"19,955,075.30","31,226,619.74","33,691,740.31","28,245,077.98","17,297,210.77","41,923,119.12","37,921,769.18","21,293,174.47","11,953,472.89"
其中：对联营企业和合营企业的投资收益(元),"19,955,075.30","29,480,403.35","33,212,972.05","27,804,564.98","17,236,173.64","39,780,272.90","35,950,478.30","20,072,209.84",-
净敞口套期收益(元),-,"43,605.07",-,-,-,-,-,-,-
资产处置收益(元),-,"-36,258.15","-37,603.28","16,796.46",-,"102,321.75","-13,463.48","-13,463.48",-
资产减值损失(元),-,-,"962,879.04","945,295.55","163,003.35","824,219.87","-1,017,398.36","-462,362.94","-1,944,869.90"
其他收益(元),"3,467,911.35","14,737,451.91","7,101,251.15","2,548,163.18","254,604.22","10,343,006.08","4,475,894.27","2,729,483.43","818,405.00"
四、营业利润(元),"-1,822,884.67","6,474,694.97","-10,252,420.94","2,368,075.29","-707,251.69","9,629,889.10","6,954,878.02","2,694,595.21","4,892,063.45"
加：营业外收入(元),"88,977.11","807,715.59","725,902.09","651,168.45","490,635.48","2,079,308.40","1,882,503.33","1,536,470.13","831,113.02"
减：营业外支出(元),"113,230.16","513,939.21","179,876.68","52,637.99","10,147.19","688,127.35","530,655.80","307,663.12","36,632.40"
五、利润总额(元),"-1,847,137.72","6,768,471.35","-9,706,395.53","2,966,605.75","-226,763.40","11,021,070.15","8,306,725.55","3,923,402.22","5,686,544.07"
减：所得税费用(元),"-908,111.83","399,249.66","112,357.05","71,855.36","346,625.00","5,510,251.34","953,254.94","1,368,756.09","2,294,112.90"
六、净利润(元),"-939,025.89","6,369,221.69","-9,818,752.58","2,894,750.39","-573,388.40","5,510,818.81","7,353,470.61","2,554,646.13","3,392,431.17"
(一)按经营持续性分类
持续经营净利润(元),"-939,025.89","6,369,221.69","-9,818,752.58","2,894,750.39","-573,388.40","5,510,818.81","7,353,470.61","2,554,646.13","3,392,431.17"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"648,343.31","8,007,426.71","-8,802,235.86","2,106,780.43","2,785,157.50","7,040,232.87","7,615,792.49","2,073,035.18","1,873,834.84"
少数股东损益(元),"-1,587,369.20","-1,638,205.02","-1,016,516.72","787,969.96","-3,358,545.90","-1,529,414.06","-262,321.88","481,610.95","1,518,596.33"
扣除非经常性损益后的净利润(元),"-1,952,686.46","-4,137,894.63","-14,772,128.53","-825,532.25","1,849,040.00","-6,760,764.30","2,231,495.33","-1,970,773.61","279,631.86"
七、每股收益
一、基本每股收益(元),-,0.01,-0.01,-,-,0.01,0.01,-,-
二、稀释每股收益(元),-,0.01,-0.01,-,-,0.01,0.01,-,-
八、其他综合收益(元),"-124,167.62","5,012,426.64","1,828,913.24","2,081,336.34","86,649.09","5,090,411.08","3,096,777.07","3,303,167.17","-94,973.53"
归属于母公司股东的其他综合收益(元),"-116,508.61","5,020,143.71","1,721,493.00","1,973,916.10","86,649.09","4,697,493.46","2,733,404.50","2,939,794.60","-94,973.53"
归属于少数股东的其他综合收益(元),"-7,659.01","-7,717.07","107,420.24","107,420.24",-,"392,917.62","363,372.57","363,372.57",-
九、综合收益总额(元),"-1,063,193.51","11,381,648.33","-7,989,839.34","4,976,086.73","-486,739.31","10,601,229.89","10,450,247.68","5,857,813.30","3,297,457.64"
归属于母公司所有者的综合收益总额(元),"531,834.70","13,027,570.42","-7,080,742.86","4,080,696.53","2,871,806.59","11,737,726.33","10,349,196.99","5,012,829.78","1,778,861.31"
