-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"167,675,982.75","835,415,570.97","601,074,433.27","364,402,446.14","175,404,657.17","915,505,969.21","728,882,522.40","506,027,994.11","274,497,444.27"
收到的税费返还(元),"4,165,954.61","37,485,291.03","20,045,079.27","16,114,373.85","6,388,242.88","33,947,464.31","29,220,376.26","15,532,836.04","6,599,462.71"
收到其他与经营活动有关的现金(元),"3,799,101.42","37,559,184.35","14,308,494.19","9,480,634.54","5,157,872.11","37,772,767.46","14,420,940.02","8,065,195.78","6,162,146.46"
经营活动现金流入小计(元),"175,641,038.78","910,460,046.35","635,428,006.73","389,997,454.53","186,950,772.16","987,226,200.98","772,523,838.68","529,626,025.93","287,259,053.44"
购买商品、接受劳务支付的现金(元),"148,416,695.64","653,234,188.58","549,647,256.66","357,691,976.09","153,900,139.83","779,929,191.07","643,862,489.38","450,209,031.15","210,610,884.93"
支付给职工以及为职工支付的现金(元),"22,098,826.11","101,791,422.57","69,178,502.70","51,975,603.27","25,548,055.53","91,010,869.48","68,137,560.78","46,757,858.61","23,400,566.69"
支付的各项税费(元),"2,875,449.26","22,302,230.30","8,819,474.29","5,592,471.85","2,851,717.76","17,656,791.04","11,292,701.90","10,700,319.75","5,903,092.45"
支付其他与经营活动有关的现金(元),"11,285,144.38","87,816,023.32","42,184,510.74","26,785,711.30","15,850,558.16","99,041,320.02","58,022,221.67","40,650,495.53","16,166,981.32"
经营活动现金流出小计(元),"184,676,115.39","865,143,864.77","669,829,744.39","442,045,762.51","198,150,471.28","987,638,171.61","781,314,973.73","548,317,705.04","256,081,525.39"
经营活动产生的现金流量净额(元),-,"45,316,181.58",-,"-52,048,307.98",-,"-411,970.63",-,"-18,691,679.11",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"24,683,500.00","132,978,365.03","56,428,600.00","56,428,600.00",-,-,-,-,-
取得投资收益收到的现金(元),-,"475,544.07","245,785.32","170,000.00",-,-,-,"250,046.75","146,937.77"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"243,980.00","18,980.00","18,980.00",-,"885,277.36","513,413.66","511,413.66","23,630.00"
处置子公司及其他营业单位收到的现金净额(元),-,"953,059.75",-,-,-,-,-,-,-
收到其他与投资活动有关的现金(元),"671,413.46","4,697,006.56","68,407,704.64","28,376,951.21","17,290,192.08","101,231,610.75","172,183,535.74","127,806,923.82","31,107,885.54"
投资活动现金流入小计(元),"25,354,913.46","139,347,955.41","125,101,069.96","84,994,531.21","17,290,192.08","102,116,888.11","172,696,949.40","128,568,384.23","31,278,453.31"
购建固定资产、无形资产和其他长期资产支付的现金(元),"2,829,011.50","109,209,116.14","67,761,831.95","65,627,583.98","3,716,940.69","152,853,114.44","105,256,293.71","52,646,076.91","29,414,552.80"
投资支付的现金(元),-,"64,000,000.00",-,-,-,"220,010,514.42","220,100,289.83","220,090,000.00","190,000,000.00"
支付其他与投资活动有关的现金(元),-,"2,192,377.07","61,000,000.00","21,000,000.00","6,000,000.00","7,090,000.00","73,000,000.00","30,000,000.00","22,000,000.00"
投资活动现金流出小计(元),"2,829,011.50","175,401,493.21","128,761,831.95","86,627,583.98","9,716,940.69","379,953,628.86","398,356,583.54","302,736,076.91","241,414,552.80"
投资活动产生的现金流量净额(元),"22,525,901.96","-36,053,537.80","-3,660,761.99","-1,633,052.77","7,573,251.39","-277,836,740.75","-225,659,634.14","-174,167,692.68","-210,136,099.49"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"36,462,000.00","36,462,000.00","36,462,000.00",-,"2,030,000.00","2,030,000.00","2,030,000.00","2,000,000.00"
其中：子公司吸收少数股东投资收到的现金(元),-,"36,462,000.00","36,462,000.00","36,462,000.00",-,"2,030,000.00","2,030,000.00","2,030,000.00",-
取得借款收到的现金(元),"31,533,292.94","235,648,151.07","227,133,343.52","183,916,073.52","89,650,155.40","499,655,429.15","324,469,869.67","267,735,000.00","171,000,000.00"
收到其他与筹资活动有关的现金(元),-,"20,000,000.00","33,000,000.00",-,-,-,"50,000,000.00",-,-
筹资活动现金流入小计(元),"31,533,292.94","292,110,151.07","296,595,343.52","220,378,073.52","89,650,155.40","501,685,429.15","376,499,869.67","269,765,000.00","173,000,000.00"
偿还债务支付的现金(元),"33,602,420.00","315,559,887.86","304,917,831.23","205,290,683.37","110,491,578.65","172,315,788.54","78,630,500.56","68,095,000.00",-
分配股利、利润或偿付利息支付的现金(元),"2,145,408.40","21,042,906.80","12,520,823.51","8,964,939.66","4,139,993.38","13,455,805.80","7,073,058.98","3,305,957.18","1,515,741.67"
其中：子公司支付给少数股东的股利、利润(元),-,"1,075,000.00",-,-,-,"340,000.00",-,-,-
支付其他与筹资活动有关的现金(元),-,"6,415,200.00","5,468,800.00","5,468,800.00",-,"20,000,000.00","23,654,200.00","20,000,000.00",-
筹资活动现金流出小计(元),"35,747,828.40","343,017,994.66","322,907,454.74","219,724,423.03","114,631,572.03","205,771,594.34","109,357,759.54","91,400,957.18","1,515,741.67"
筹资活动产生的现金流量净额(元),"-4,214,535.46","-50,907,843.59","-26,312,111.22","653,650.49","-24,981,416.63","295,913,834.81","267,142,110.13","178,364,042.82","171,484,258.33"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
