-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"48,836,110.88","39,027,114.12","16,527,295.33","29,557,354.22","53,379,803.91","104,509,808.41","119,598,888.02","73,255,556.15","59,300,782.02"
以公允价值计量且其变动计入当期损益的金融资产(元),-,-,-,-,"1,378,498.00","194,728.00","269,920.00","336,027.37","2,050,575.76"
其中：交易性金融资产(元),"10,405,286.84","10,405,286.84",-,-,"1,378,498.00",-,-,-,-
衍生金融资产(元),-,-,-,-,-,"34,900.00","107,600.00",-,"61,212.59"
应收票据及应收账款(元),"187,484,772.47","187,156,626.42","200,567,168.39","233,178,261.50","217,244,560.33","230,351,939.97","214,347,885.01","237,979,702.93","274,219,767.04"
其中：应收票据(元),-,-,"20,132,102.30","43,759,388.20","40,675,701.46","45,211,411.96","25,830,078.00","32,025,296.35","70,293,702.04"
其中：应收账款(元),"187,484,772.47","187,156,626.42","180,435,066.09","189,418,873.30","176,568,858.87","185,140,528.01","188,517,807.01","205,954,406.58","203,926,065.00"
预付款项(元),"26,677,364.06","25,941,041.89","19,839,448.89","31,785,877.21","25,564,289.27","29,042,331.14","36,220,424.32","36,871,625.82","36,177,715.87"
应收利息(元),-,-,-,-,-,-,"3,095.48"
其他应收款(元),"4,447,693.93","4,122,307.39","6,092,517.30","7,292,887.22","7,328,707.44","5,730,898.37","10,201,307.78","11,260,987.85","5,007,625.46"
存货(元),"140,607,008.28","114,599,337.49","137,654,405.22","137,023,388.06","121,541,282.23","122,001,854.04","132,534,796.37","119,896,202.30","117,612,605.22"
其他流动资产(元),"13,497,236.38","13,354,064.17","26,186,088.42","24,655,261.32","28,375,854.31","41,078,720.46","28,040,946.84","31,692,705.64","61,141,681.04"
流动资产合计(元),"462,439,881.97","400,315,037.14","406,866,923.55","463,493,029.53","454,812,995.49","532,945,180.39","541,321,768.34","511,292,808.06","555,575,060.48"
非流动资产：
长期股权投资(元),"930,116,659.70","982,558,181.23","985,274,135.34","979,909,997.71","930,639,284.45","913,445,352.72","953,023,286.51","934,535,638.68","888,617,674.50"
固定资产(元),"295,966,309.20","302,237,456.89","216,524,973.03","218,923,112.47","218,986,767.17","223,270,937.14","175,567,413.39","175,157,166.25","175,842,518.07"
在建工程(元),"21,322,079.41","17,737,542.34","98,406,967.68","93,597,699.73","81,345,630.89","75,629,001.02","78,922,218.08","46,116,727.77","30,551,424.32"
无形资产(元),"44,185,491.25","44,811,451.45","45,381,067.65","46,011,918.63","46,671,809.90","47,183,818.07","11,839,402.42","12,208,434.08","9,928,625.37"
开发支出(元),"6,260,805.55","5,518,858.02","5,279,182.98","3,788,111.53","1,999,629.27","760,898.75","668,492.64","396,381.47","2,986,575.60"
商誉(元),"557,462.16","557,462.16","691,627.94","691,627.94","691,627.94","691,627.94","2,224,344.07","2,224,344.07","2,224,344.07"
长期待摊费用(元),"9,443,454.39","10,342,996.47","15,624,339.24","16,530,678.21","14,865,721.87","11,570,008.47","10,105,571.15","9,181,923.50","7,890,690.45"
递延所得税资产(元),"4,375,376.68","4,060,055.43","8,077,757.97","8,105,741.95","7,526,426.62","7,524,394.86","5,979,713.69","5,465,467.04","4,372,685.68"
其他非流动资产(元),"78,068,189.00","76,518,189.00","73,939,814.00","73,939,814.00","29,743,914.00","28,026,914.00","102,678,071.97","89,772,074.50","86,385,149.72"
非流动资产合计(元),"1,390,295,827.34","1,444,342,192.99","1,449,199,865.83","1,441,498,702.17","1,332,470,812.11","1,308,102,952.97","1,341,008,513.92","1,275,058,157.36","1,208,799,687.78"
资产总计(元),"1,852,735,709.31","1,844,657,230.13","1,856,066,789.38","1,904,991,731.70","1,787,283,807.60","1,841,048,133.36","1,882,330,282.26","1,786,350,965.42","1,764,374,748.26"
流动负债：
短期借款(元),"169,328,468.00","172,493,182.45","197,222,660.00","214,594,720.00","242,391,004.61","281,321,809.48","240,364,793.22","199,620,000.00","171,000,000.00"
衍生金融负债(元),-,-,-,-,-,-,-,"70,350.00",-
应付票据及应付账款(元),"60,150,886.40","58,454,064.51","50,916,642.63","59,921,601.08","47,656,914.40","52,110,076.72","68,186,678.22","71,824,481.98","80,055,112.37"
其中：应付票据(元),-,-,-,-,-,-,-,"20,000,000.00",-
其中：应付账款(元),"60,150,886.40","58,454,064.51","50,916,642.63","59,921,601.08",-,"52,110,076.72",-,"51,824,481.98","80,055,112.37"
预收款项(元),"6,972,539.59","21,250,400.17","31,804,844.64","42,487,386.37","62,993,519.26","64,981,707.91","121,755,164.18","95,810,905.86","96,067,883.43"
合同负债(元),"19,680,000.00",-,-,-,-,-,-,-,-
应付职工薪酬(元),"5,838,126.83","5,984,596.36","5,848,828.23","3,101,427.19","2,795,282.68","4,969,947.85","2,374,763.16","1,699,517.11","1,710,332.09"
应交税费(元),"8,381,604.44","9,563,688.53","6,940,963.88","6,603,184.75","4,435,087.11","4,075,295.05","5,580,948.16","3,464,213.60","1,586,651.62"
应付利息(元),"914,818.16","2,801,612.61",-,-,-,"164,103.75",-
应付股利(元),-,"40,000.00",-,-,-,-,-,"1,134,656.52",-
其他应付款(元),"6,215,476.79","3,891,443.47","3,213,906.00","3,633,376.13","2,267,828.34","2,210,742.33","1,348,388.99","1,621,439.16","3,503,943.59"
一年内到期的非流动负债(元),"49,002,232.15","42,577,358.00","32,887,714.59","29,639,036.68","13,632,999.99","13,231,665.31",-,-,-
