-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"140,796,439.23","1,674,708,643.52","1,361,054,259.88","1,169,336,604.95","480,858,376.81","2,145,417,733.54","1,272,977,211.86","850,061,268.68","350,531,972.72"
营业收入(元),"140,796,439.23","1,674,708,643.52","1,361,054,259.88","1,169,336,604.95","480,858,376.81","2,145,417,733.54","1,272,977,211.86","850,061,268.68","350,531,972.72"
二、营业总成本(元),"138,858,852.51","1,758,954,664.73","1,468,755,457.01","1,277,925,733.60","574,289,010.81","2,937,976,132.17","1,598,094,927.38","1,087,209,573.11","406,199,311.57"
营业成本(元),"119,864,568.48","1,444,892,551.41","1,184,100,767.69","1,017,323,183.75","433,110,911.44","2,114,025,501.79","1,176,029,308.65","792,024,295.91","302,559,541.68"
研发费用(元),"5,687,694.03","100,066,120.77","89,664,714.25","82,449,824.60","48,676,992.21","193,231,738.77","153,545,407.74",-,-
营业税金及附加(元),"1,871,328.14","20,755,815.36","17,744,676.50","15,563,840.11","7,190,940.65","32,413,933.71","23,833,529.74","17,794,204.04","9,633,575.21"
销售费用(元),"2,602,048.71","46,946,461.42","35,677,233.81","32,792,935.98","16,862,629.48","128,410,660.26","53,177,037.96","36,072,140.05","16,277,507.30"
管理费用(元),"7,757,267.74","119,678,767.35","110,126,781.38","98,659,864.43","53,187,561.91","154,804,440.69","88,442,556.74","151,473,365.05","61,478,558.90"
财务费用(元),"1,075,945.41","26,614,948.42","25,781,006.58","24,666,115.36","15,038,854.12","60,183,483.72","43,423,617.87","31,140,546.50","16,998,951.31"
其中：利息费用(元),"1,165,655.11","34,403,572.64","37,254,921.06","36,158,572.50","18,636,994.74","90,156,484.49","65,968,962.25",-,-
其中：利息收入(元),"142,432.44","8,859,290.01","-10,852,858.70","-10,938,938.19","5,014,662.26","28,797,256.18","22,493,031.19",-,-
三、其他经营收益
加：公允价值变动收益(元),"-121,800.00",-,"-17,640.00","50,400.00","88,200.00",-,-,-,-
加：投资收益(元),"-9,409,615.50","776,023,459.84","771,066,718.41","751,255,152.58","-3,067,514.80","-1,594,993.13","-3,491,941.94","2,958,736.17","1,531,871.33"
其中：对联营企业和合营企业的投资收益(元),"-9,409,615.50","17,929,607.37","13,712,432.93","-7,316,589.93","-3,067,514.80","-1,594,993.13","-3,491,941.94","2,958,736.17",-
资产处置收益(元),906.39,"-1,758,724.13","-1,964,138.28","-1,964,138.28",-,-562.50,"-23,413,151.65","1,551.73",-
资产减值损失(元),-,-,"5,660,276.80","6,469,969.37","221,121.00","254,906,373.23","59,643,468.68","58,705,021.56","-748,822.83"
其他收益(元),"1,373,123.29","75,236,965.01","69,832,077.04","38,781,547.85","9,912,851.43","63,538,292.81","46,565,070.37","36,717,790.85","15,236,305.21"
四、营业利润(元),"-4,488,538.74","774,073,868.12","731,215,820.04","679,533,833.50","-86,497,097.37","-730,615,661.45","-305,457,738.74","-197,470,225.68","-38,899,162.31"
加：营业外收入(元),"23,452.42","524,721.21","387,074.35","322,509.25","88,664.31","5,208,598.97","1,124,327.97","835,852.10","305,301.74"
减：营业外支出(元),"15,684.46","463,871.43","192,781.10","192,781.10","140,234.10","25,947,682.80","2,481,041.48","811,282.66","10,580.00"
五、利润总额(元),"-4,480,770.78","774,134,717.90","731,410,113.29","679,663,561.65","-86,548,667.16","-751,354,745.28","-306,814,452.25","-197,445,656.24","-38,604,440.57"
减：所得税费用(元),"1,199,394.42","38,255,958.32","50,700,298.87","45,821,334.11","3,148,510.49","-105,464,207.90","-42,429,350.41","-45,554,988.76","6,005,822.00"
六、净利润(元),"-5,680,165.20","735,878,759.58","680,709,814.42","633,842,227.54","-89,697,177.65","-645,890,537.38","-264,385,101.84","-151,890,667.48","-44,610,262.57"
(一)按经营持续性分类
持续经营净利润(元),"-5,680,165.20","735,878,759.58","680,709,814.42","633,842,227.54","-89,697,177.65","-645,890,537.38","-264,385,101.84","-151,890,667.48","-44,610,262.57"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"-9,513,914.94","642,453,107.72","598,123,638.87","557,483,139.63","-28,969,900.13","-204,655,377.04","-99,617,212.74","-53,424,200.05","-24,662,689.27"
少数股东损益(元),"3,833,749.74","93,425,651.86","82,586,175.55","76,359,087.91","-60,727,277.52","-441,235,160.34","-164,767,889.10","-98,466,467.43","-19,947,573.30"
扣除非经常性损益后的净利润(元),"-10,412,371.58","30,953,052.38","10,372,558.43","-25,274,605.70","-33,577,414.96","-246,709,935.62","-109,591,225.07","-74,478,296.60","-31,195,810.48"
七、每股收益
一、基本每股收益(元),-0.03,1.79,1.67,1.55,-0.08,-0.57,-0.28,-0.15,-0.07
二、稀释每股收益(元),-0.03,1.79,1.67,1.55,-0.08,-0.57,-0.28,-0.15,-0.07
八、其他综合收益(元),"-2,058,422.22","14,563,248.26","89,100.00","-90,523.68",-,"468,547.17","688,346.79","574,820.79","-37,452.63"
归属于母公司股东的其他综合收益(元),"-2,058,422.22","14,560,710.34","89,100.00","-90,523.68",-,"338,611.08","481,547.93","368,027.52","-175,446.60"
归属于少数股东的其他综合收益(元),-,"2,537.92",-,-,-,"129,936.09","206,798.86","206,793.27","137,993.97"
九、综合收益总额(元),"-7,738,587.42","750,442,007.84","680,798,914.42","633,751,703.86","-89,697,177.65","-645,421,990.21","-263,696,755.05","-151,315,846.69","-44,647,715.20"
