-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"157,942,833.35","1,292,302,490.18","1,095,040,384.84","969,670,780.34","463,301,796.37","1,994,477,871.06","1,430,877,580.68","1,079,828,827.40","324,765,221.28"
收到的税费返还(元),-,"45,219,033.34","45,192,399.62","20,077,018.85","8,184,287.04","46,495,558.58","124,004,641.10","17,266,275.43","8,946,082.24"
收到其他与经营活动有关的现金(元),"1,034,740.90","124,372,203.47","94,718,060.45","87,558,354.40","85,290,926.42","213,010,192.68","256,613,368.95","53,129,818.52","29,798,569.19"
经营活动现金流入小计(元),"158,977,574.25","1,461,893,726.99","1,234,950,844.91","1,077,306,153.59","556,777,009.83","2,253,983,622.32","1,811,495,590.73","1,150,224,921.35","363,509,872.71"
购买商品、接受劳务支付的现金(元),"79,395,351.33","833,335,490.92","705,879,891.56","619,711,251.52","340,473,707.75","1,412,271,939.60","1,162,590,330.58","947,023,605.89","323,393,541.09"
支付给职工以及为职工支付的现金(元),"43,017,500.80","374,362,040.69","311,527,918.61","267,928,234.98","130,965,197.55","494,842,590.60","329,327,333.76","206,156,847.77","91,715,938.94"
支付的各项税费(元),"17,339,228.73","76,583,826.50","54,898,039.48","36,875,364.80","22,690,176.91","120,202,402.19","107,054,855.15","95,818,010.59","28,766,527.49"
支付其他与经营活动有关的现金(元),"5,260,045.67","240,030,531.49","238,284,394.51","236,743,599.89","93,615,358.86","413,655,770.60","342,065,520.30","137,658,890.15","123,947,854.19"
经营活动现金流出小计(元),"145,012,126.53","1,524,311,889.60","1,310,590,244.16","1,161,258,451.19","587,744,441.07","2,440,972,702.99","1,941,038,039.79","1,386,657,354.40","567,823,861.71"
经营活动产生的现金流量净额(元),-,"-62,418,162.61",-,"-83,952,297.60",-,"-186,989,080.67",-,"-236,432,433.05",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,-,-,-,-,"6,880,500.00",-,-,-
取得投资收益收到的现金(元),-,"89,100.00","89,100.00","89,100.00",-,-,-,-,-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"15,393.56","1,213,105.00","547,655.00","387,155.00",-,"1,850.00","1,850.00","1,800.00",-
投资活动现金流入小计(元),"15,393.56","1,302,205.00","636,755.00","476,255.00",-,"6,882,350.00","1,850.00","1,800.00",-
购建固定资产、无形资产和其他长期资产支付的现金(元),"7,805,100.03","663,794,274.26","658,430,791.89","653,162,236.81","194,323,621.70","590,176,925.04","495,683,265.64","329,184,332.10","116,287,690.66"
投资支付的现金(元),-,-,"79,502,174.33","79,502,174.33",-,-,-,-,-
支付其他与投资活动有关的现金(元),-,"193,533,216.43","268,144,175.47","268,144,175.47",-,-,-,-,-
投资活动现金流出小计(元),"7,805,100.03","857,327,490.69","1,006,077,141.69","1,000,808,586.61","194,323,621.70","590,176,925.04","495,683,265.64","329,184,332.10","116,287,690.66"
投资活动产生的现金流量净额(元),"-7,789,706.47","-856,025,285.69","-1,005,440,386.69","-1,000,332,331.61","-194,323,621.70","-583,294,575.04","-495,681,415.64","-329,182,532.10","-116,287,690.66"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,-,-,-,-,"1,343,999,987.94","1,343,779,987.94","1,343,779,987.94","1,343,779,987.94"
其中：子公司吸收少数股东投资收到的现金(元),-,-,-,-,-,"950,000,000.00",-,-,-
取得借款收到的现金(元),"5,000,000.00","214,798,670.34","80,798,670.34","59,298,670.34",-,"704,750,000.00","468,500,000.00","448,000,000.00","328,000,000.00"
收到其他与筹资活动有关的现金(元),-,-,-,-,-,-,"8,863,733.33","278,324,038.53","158,117.30"
筹资活动现金流入小计(元),"5,000,000.00","214,798,670.34","80,798,670.34","59,298,670.34",-,"2,048,749,987.94","1,821,143,721.27","2,070,104,026.47","1,671,938,105.24"
偿还债务支付的现金(元),"3,705,000.00","608,728,050.00","416,859,650.00","396,359,650.00","260,679,825.00","1,258,368,300.00","948,688,475.00","848,008,650.00","453,828,825.00"
分配股利、利润或偿付利息支付的现金(元),"1,170,580.29","45,710,787.09","44,574,010.17","29,914,700.92","15,179,893.40","104,301,107.00","79,579,383.35","45,273,661.78","21,676,751.99"
其中：子公司支付给少数股东的股利、利润(元),-,-,-,-,-,"13,500,000.00",-,-,-
支付其他与筹资活动有关的现金(元),-,-,-,-,-,"283,540.96","13,540.96","132,136,955.96","13,540.96"
筹资活动现金流出小计(元),"4,875,580.29","654,438,837.09","461,433,660.17","426,274,350.92","275,859,718.40","1,362,952,947.96","1,028,281,399.31","1,025,419,267.74","475,519,117.95"
筹资活动产生的现金流量净额(元),"124,419.71","-439,640,166.75","-380,634,989.83","-366,975,680.58","-275,859,718.40","685,797,039.98","792,862,321.96","1,044,684,758.73","1,196,418,987.29"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"157,608,397.93","1,515,913,309.11","1,515,913,309.11","1,515,913,309.11","1,515,913,309.11","1,600,067,339.53","1,612,911,562.45","1,600,067,339.53","1,605,872,877.54"
期末现金及现金等价物余额(元),"164,009,693.34","157,608,397.93","53,985,079.74","64,439,545.72","1,014,578,129.38","1,515,913,309.11","1,781,124,645.03","2,079,215,251.21","2,481,335,982.22"
补充资料：
净利润(元),-,"735,878,759.58",-,"633,842,227.54",-,"-645,890,537.38",-,"-151,890,667.48",-
