-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"167,824,649.56","161,423,354.15","65,934,396.84","82,084,669.41","1,428,999,894.44","1,934,170,109.92","2,110,248,593.44","2,402,281,684.14","2,867,610,334.14"
以公允价值计量且其变动计入当期损益的金融资产(元),-,-,-,-,"917,280.00",-,-,-,-
其中：交易性金融资产(元),"707,280.00","829,080.00",-,-,"917,280.00",-,-,-,-
应收票据及应收账款(元),"463,493,841.07","507,309,663.75","637,404,420.59","586,521,338.03","1,359,873,820.47","1,428,398,532.10","1,278,858,354.63","1,191,382,971.52","1,389,996,634.53"
其中：应收票据(元),"55,579,945.76","47,998,983.39","69,116,253.57","85,969,337.52","153,011,208.32","185,413,764.36","174,554,059.15","235,025,238.79","491,459,568.27"
其中：应收账款(元),"407,913,895.31","459,310,680.36","568,288,167.02","500,552,000.51","1,206,862,612.15","1,242,984,767.74","1,104,304,295.48","956,357,732.73","898,537,066.26"
预付款项(元),"11,060,594.56","4,938,327.73","7,452,599.17","3,123,180.39","28,337,315.20","29,083,753.50","32,146,798.76","51,706,826.26","28,792,737.99"
应收利息(元),-,-,-,-,-,"2,328,211.55","2,268,204.84"
其他应收款(元),"4,243,745.80","5,494,966.92","6,070,327.66","6,800,623.05","48,336,725.01","25,924,486.04","53,533,456.76","44,211,060.00","41,280,195.64"
存货(元),"343,567,298.68","303,934,966.84","359,189,841.86","343,425,293.41","1,021,503,950.58","800,105,373.08","1,233,536,941.02","917,596,062.82","913,233,792.68"
其他流动资产(元),"139,822.48",-,-,"1,172,765.12","215,790,874.49","192,184,503.56","218,999,343.16","251,295,582.14","226,947,872.44"
流动资产合计(元),"1,096,097,249.17","1,094,000,376.41","1,076,863,026.12","1,024,007,349.41","4,103,759,860.19","4,409,866,758.20","4,927,323,487.77","4,860,802,398.43","5,470,129,772.26"
非流动资产：
可供出售金融资产(元),-,-,-,-,-,"10,060,200.50","10,067,760.50","9,934,200.50","9,972,000.50"
长期股权投资(元),"1,662,616,094.55","1,603,310,775.90","1,553,729,944.04","1,511,787,615.75","85,390,083.99","88,457,598.79","87,099,420.89","93,224,701.71","91,606,823.45"
其他权益工具投资(元),"24,124,381.30","26,546,054.50","9,231,120.50","9,231,120.50","9,231,120.50",-,-,-,-
投资性房地产(元),-,-,-,-,"40,381,109.96","41,194,366.94","48,331,194.45",-,-
固定资产(元),"440,184,055.52","454,338,334.67","464,292,748.10","478,637,046.66","3,275,515,621.77","2,945,717,264.81","3,816,051,422.58","3,812,354,924.15","3,717,864,840.53"
在建工程(元),"24,525,363.81","19,403,008.46","17,963,567.32","13,310,636.31","699,969,097.06","1,032,918,131.75","116,314,404.72","124,308,419.95","70,322,987.10"
固定资产清理(元),-,-,-,-,-,-,-,"21,000.00","21,000.00"
无形资产(元),"75,218,551.27","75,811,786.38","76,553,665.69","76,494,173.34","282,991,629.74","283,741,994.34","280,680,031.01","299,680,276.64","297,777,604.27"
开发支出(元),"10,862,068.09","7,758,620.39","6,206,896.54","6,206,896.54","11,770,285.74","5,563,389.20","7,923,861.70","7,923,861.70","9,884,242.00"
长期待摊费用(元),"28,088,000.09","30,170,781.12","31,564,682.52","33,642,322.90","56,044,384.25","54,191,497.82","51,222,909.09","54,672,901.49","50,977,201.89"
递延所得税资产(元),"21,441,870.65","21,146,337.23","8,107,126.96","8,163,287.51","307,043,145.27","310,122,795.44","253,092,293.12","255,647,822.00","212,054,127.24"
其他非流动资产(元),"793,730.86","910,877.05","230,507.59","660,630.59","114,090,183.40","120,699,586.86","138,552,027.97","196,529,903.54","265,574,803.22"
非流动资产合计(元),"2,287,854,116.14","2,239,396,575.70","2,167,880,259.26","2,138,133,730.10","4,882,426,661.68","4,892,666,826.45","4,809,335,326.03","4,854,298,011.68","4,726,055,630.20"
资产总计(元),"3,383,951,365.31","3,333,396,952.11","3,244,743,285.38","3,162,141,079.51","8,986,186,521.87","9,302,533,584.65","9,736,658,813.80","9,715,100,410.11","10,196,185,402.46"
流动负债：
短期借款(元),"105,593,670.34","104,431,312.39","80,798,670.34","79,798,670.34","170,500,000.00","370,500,000.00","440,500,000.00","440,000,000.00","454,000,000.00"
应付票据及应付账款(元),"305,718,576.33","319,304,721.76","385,436,467.75","343,281,496.30","1,510,207,959.93","1,410,517,546.12","1,408,704,721.98","1,174,761,576.55","1,293,066,435.35"
其中：应付票据(元),"101,860,058.90","110,103,469.48","126,099,007.76","110,279,793.73",-,"579,831,075.26",-,"508,885,086.90","706,538,679.50"
其中：应付账款(元),"203,858,517.43","209,201,252.28","259,337,459.99","233,001,702.57",-,"830,686,470.86",-,"665,876,489.65","586,527,755.85"
预收款项(元),"69,763,849.38","61,821,336.18","77,290,859.85","78,388,011.97","157,044,122.84","145,316,826.22","169,221,465.45","121,790,289.72","140,313,623.66"
应付职工薪酬(元),"4,919,451.38","3,176,295.76","4,828,233.78","3,253,896.21","12,847,659.65","9,657,240.91","15,473,530.70","14,773,020.30","15,946,699.44"
应交税费(元),"36,957,359.64","42,416,228.51","8,101,326.45","10,161,505.17","8,088,966.19","18,221,194.81","7,618,301.33","11,179,347.78","37,548,814.26"
应付利息(元),-,-,-,-,-,"5,806,167.32","4,822,394.89"
应付股利(元),-,-,-,"13,500,000.00",-,-,-,-,-
其他应付款(元),"42,236,613.95","39,751,452.01","26,859,927.89","42,906,868.03","304,459,030.37","369,978,684.11","309,585,930.00","392,523,635.80","306,898,578.96"
