-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"907,343,238.10","3,988,697,267.95","2,884,262,254.54","1,864,621,021.97","1,009,539,352.72","3,374,004,791.26","2,376,846,188.39","1,608,801,579.77","813,621,455.55"
营业收入(元),"907,343,238.10","3,988,697,267.95","2,884,262,254.54","1,864,621,021.97","1,009,539,352.72","3,374,004,791.26","2,376,846,188.39","1,608,801,579.77","813,621,455.55"
二、营业总成本(元),"661,547,316.59","2,942,182,243.23","2,101,784,739.37","1,339,757,588.55","708,865,961.32","2,519,824,295.51","1,708,327,038.38","1,143,795,750.30","558,467,650.49"
营业成本(元),"527,810,889.66","2,315,456,903.02","1,647,174,271.03","1,061,821,952.69","567,250,828.98","1,901,038,137.74","1,333,909,203.39","900,210,239.60","430,101,766.59"
研发费用(元),"35,473,822.11","175,460,586.00","116,570,089.96","72,365,210.52","32,449,362.58","140,312,981.76","110,551,786.64",-,-
营业税金及附加(元),"10,478,872.16","47,204,155.88","36,794,103.49","25,591,247.22","16,771,528.00","45,736,893.17","30,998,921.76","23,014,915.60","11,210,823.45"
销售费用(元),"26,624,145.60","145,261,887.87","92,423,000.91","57,436,138.39","29,873,112.26","117,203,689.64","78,951,987.83","52,730,282.80","27,039,677.46"
管理费用(元),"63,475,279.27","261,825,199.61","202,912,313.66","116,148,509.18","61,704,762.79","287,256,965.56","177,990,268.99","187,715,813.78","97,421,393.43"
财务费用(元),"-2,315,692.21","-3,026,489.15","-5,568,755.32","-3,441,831.80","-4,324,249.63","-5,904,399.22","-25,725,111.60","-19,367,697.73","-8,722,461.41"
其中：利息费用(元),-,"989,625.00",-,-,-,"1,825,723.11","347,472.22",-,-
其中：利息收入(元),"1,705,886.73","7,469,714.70","5,972,488.39","3,993,346.61","4,400,991.96","7,401,095.50","25,666,712.01",-,-
三、其他经营收益
加：投资收益(元),"18,472,716.72","83,025,381.06","70,075,797.14","49,378,880.93","20,090,917.99","78,515,842.58","43,334,197.79","29,435,059.49","13,469,068.81"
其中：对联营企业和合营企业的投资收益(元),"14,166,658.31","74,244,489.11","64,688,909.63","44,149,135.86","20,090,917.99","53,498,126.90","43,334,197.79","29,435,059.49","13,469,068.81"
资产处置收益(元),"-6,581,323.12","-4,314,308.52","-987,032.84","-366,838.01","-460,850.44","-1,491,102.07","-309,105.70","-515,309.31","-304,033.54"
资产减值损失(元),-,-,"11,479,715.64","9,836,362.35","5,140,616.34","34,180,026.86","1,649,981.37","-507,803.75","1,416,450.97"
其他收益(元),"1,908,489.07","22,295,197.04","11,871,151.64","9,688,904.98","3,587,491.34","22,200,104.04","10,224,524.25","9,044,050.26","3,868,780.00"
四、营业利润(元),"259,430,412.32","1,133,052,447.02","863,437,431.11","583,564,381.32","323,890,950.29","953,405,340.30","721,768,766.35","502,969,629.91","272,187,620.33"
加：营业外收入(元),"2,650,653.05","3,448,079.68","4,948,895.53","3,225,516.58","676,826.46","2,010,134.10","5,864,674.09","167,405.97","1,183,195.60"
减：营业外支出(元),"11,360.87","3,366,189.74","1,488,782.81","368,034.43","37,500.00","1,089,849.12","362,971.26","344,218.63","36,162.90"
五、利润总额(元),"262,069,704.50","1,133,134,336.96","866,897,543.83","586,421,863.47","324,530,276.75","954,325,625.28","727,270,469.18","502,792,817.25","273,334,653.03"
减：所得税费用(元),"42,317,462.91","166,713,371.19","128,492,680.15","86,169,783.46","47,453,861.45","138,899,949.53","116,370,269.87","78,362,753.11","39,134,422.96"
六、净利润(元),"219,752,241.59","966,420,965.77","738,404,863.68","500,252,080.01","277,076,415.30","815,425,675.75","610,900,199.31","424,430,064.14","234,200,230.07"
(一)按经营持续性分类
持续经营净利润(元),"219,752,241.59","966,420,965.77","738,404,863.68","500,252,080.01","277,076,415.30","815,425,675.75","610,900,199.31","424,430,064.14","234,200,230.07"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"214,806,334.48","876,786,038.90","673,350,003.50","464,828,262.13","259,077,299.07","725,308,104.74","545,501,105.18","379,016,975.56","212,693,817.64"
少数股东损益(元),"4,945,907.11","89,634,926.87","65,054,860.18","35,423,817.88","17,999,116.23","90,117,571.01","65,399,094.13","45,413,088.58","21,506,412.43"
扣除非经常性损益后的净利润(元),"214,030,206.27","858,689,915.03","659,934,403.16","452,035,963.84","253,810,830.12","692,189,290.04","520,633,155.04","360,924,101.26","209,245,596.68"
七、每股收益
一、基本每股收益(元),0.15,0.60,0.46,0.31,0.17,0.49,0.36,0.25,0.14
二、稀释每股收益(元),0.15,0.60,0.46,0.31,0.17,0.49,0.36,0.25,0.14
八、其他综合收益(元),"800,714.71","2,316,998.00","319,002.33","-17,121.39","-265,008.71","-1,541,139.70","-2,200,700.42","-2,096,447.09","-520,703.05"
归属于母公司股东的其他综合收益(元),"800,714.71","2,316,998.00","319,002.33","-17,121.39","-265,008.71","-1,541,139.70","-2,200,700.42","-2,096,447.09","-520,703.05"
九、综合收益总额(元),"220,552,956.30","968,737,963.77","738,723,866.01","500,234,958.62","276,811,406.59","813,884,536.05","608,699,498.89","422,333,617.05","233,679,527.02"
归属于母公司所有者的综合收益总额(元),"215,607,049.19","879,103,036.90","673,669,005.83","464,811,140.74","258,812,290.36","723,766,965.04","543,300,404.76","376,920,528.47","212,173,114.59"
归属于少数股东的综合收益总额(元),"4,945,907.11","89,634,926.87","65,054,860.18","35,423,817.88","17,999,116.23","90,117,571.01","65,399,094.13","45,413,088.58","21,506,412.43"
