-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"770,941,274.71","4,145,201,401.09","2,813,381,982.06","2,023,411,415.69","956,780,601.61","3,340,900,423.99","2,460,487,148.06","1,647,733,268.60","798,984,372.72"
收到的税费返还(元),"7,004,773.06","11,879,060.17","6,068,762.16","3,309,726.03","1,243,542.19","6,410,573.67","4,907,229.96","3,725,863.86","1,846,300.05"
收到其他与经营活动有关的现金(元),"58,723,495.61","95,687,737.21","46,069,194.92","34,383,816.98","26,435,360.58","166,837,832.59","68,302,988.02","47,360,266.89","16,130,875.22"
经营活动现金流入小计(元),"836,669,543.38","4,252,768,198.47","2,865,519,939.14","2,061,104,958.70","984,459,504.38","3,514,148,830.25","2,533,697,366.04","1,698,819,399.35","816,961,547.99"
购买商品、接受劳务支付的现金(元),"450,424,041.16","1,688,967,326.25","1,265,862,830.21","974,829,540.98","500,952,580.95","1,465,094,513.34","1,084,627,496.08","688,780,871.69","275,250,104.04"
支付给职工以及为职工支付的现金(元),"174,206,292.62","556,693,138.34","402,945,502.05","266,990,944.85","154,011,689.62","465,277,016.93","326,962,863.04","232,254,020.19","129,026,042.59"
支付的各项税费(元),"89,890,093.52","495,327,655.41","395,959,534.56","322,232,022.13","168,137,161.98","384,017,115.93","293,056,053.64","222,791,687.26","104,882,912.78"
支付其他与经营活动有关的现金(元),"71,652,973.72","321,892,032.71","194,980,143.10","151,599,753.43","142,284,873.65","347,113,268.28","226,332,328.21","139,834,398.29","101,991,368.64"
经营活动现金流出小计(元),"786,173,401.02","3,062,880,152.71","2,259,748,009.92","1,715,652,261.39","965,386,306.20","2,661,501,914.48","1,930,978,740.97","1,283,660,977.43","611,150,428.05"
经营活动产生的现金流量净额其他项目(元),-,-,-,"5,016,377.84",-,-,-,-,-
经营活动产生的现金流量净额(元),-,"1,189,888,045.76",-,"345,452,697.31",-,"852,646,915.77",-,"415,158,421.92",-
二、投资活动产生的现金流量
取得投资收益收到的现金(元),"47,510,663.34","87,350,132.71","67,469,114.54","63,718,548.29",-,"46,785,321.70","23,264,683.87","13,718,242.01","1,455,056.39"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"120,000.00","10,290,060.35","2,364,968.54","1,887,273.14","21,800.00","4,533,372.81","6,054,782.60","4,803,907.00","762,107.00"
收到其他与投资活动有关的现金(元),"995,000,000.00","2,168,001,909.58","1,453,000,000.00","1,025,000,000.00","622,493,390.40","1,766,991,534.00","875,553,913.00","830,553,913.00","50,000,000.00"
投资活动现金流入小计(元),"1,042,630,663.34","2,265,642,102.64","1,522,834,083.08","1,090,605,821.43","622,515,190.40","1,818,310,228.51","904,873,379.47","849,076,062.01","52,217,163.39"
购建固定资产、无形资产和其他长期资产支付的现金(元),"34,088,943.74","345,394,961.02","256,661,163.75","188,145,686.28","74,129,010.12","334,617,939.45","251,309,356.01","143,358,194.64","75,897,436.65"
投资支付的现金(元),-,"197,720,000.00","197,720,000.00","158,100,000.00","133,100,000.00","265,141,000.00","235,601,000.00","223,541,000.00","147,120,000.00"
取得子公司及其他营业单位支付的现金净额(元),-,-,-,-,-,"44,990,627.83","44,990,627.83","44,990,627.83","44,990,627.83"
支付其他与投资活动有关的现金(元),"924,682,092.81","2,186,171,583.18","1,071,958,977.18","574,697,283.18","358,755,412.09","1,685,000,000.00","600,975,422.00","600,457,160.00","457,160.00"
投资活动现金流出小计(元),"958,771,036.55","2,729,286,544.20","1,526,340,140.93","920,942,969.46","565,984,422.21","2,329,749,567.28","1,132,876,405.84","1,012,346,982.47","268,465,224.48"
投资活动产生的现金流量净额(元),"83,859,626.79","-463,644,441.56","-3,506,057.85","169,662,851.97","56,530,768.19","-511,439,338.77","-228,003,026.37","-163,270,920.46","-216,248,061.09"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),"2,200,000.00","12,250,000.00","12,250,000.00","9,800,000.00",-,"18,250,000.00","6,000,000.00","6,000,000.00",-
其中：子公司吸收少数股东投资收到的现金(元),"2,200,000.00","12,250,000.00","12,250,000.00","9,800,000.00",-,"18,250,000.00","6,000,000.00","6,000,000.00",-
取得借款收到的现金(元),-,"150,000,000.00",-,-,-,"65,000,000.00","5,000,000.00","5,000,000.00",-
收到其他与筹资活动有关的现金(元),"99,208,621.72","155,518,698.19","137,057,573.71","97,969,539.72","64,598,550.51","72,151,256.31","71,006,497.59","19,746,024.31","49,542,065.08"
筹资活动现金流入小计(元),"101,408,621.72","317,768,698.19","149,307,573.71","107,769,539.72","64,598,550.51","155,401,256.31","82,006,497.59","30,746,024.31","49,542,065.08"
偿还债务支付的现金(元),-,"210,000,000.00",-,-,-,"15,000,000.00","15,000,000.00","15,000,000.00",-
分配股利、利润或偿付利息支付的现金(元),"6,540,599.78","460,543,009.02","459,553,384.02","451,195,600.14","2,576,102.75","546,527,012.07","477,536,011.42","19,257,472.22","19,173,375.00"
其中：子公司支付给少数股东的股利、利润(元),"6,540,599.78","20,092,249.02","20,092,249.02","11,734,465.14","2,576,102.75","98,949,809.02","29,949,809.02","19,000,000.00","19,000,000.00"
支付其他与筹资活动有关的现金(元),"124,663,262.66","146,825,765.08","140,615,911.18","101,818,924.67","89,109,270.48","359,924,618.77","286,229,143.86","226,517,921.32","167,183,658.05"
