-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"1,179,598,458.84","1,057,921,559.69","995,834,399.38","913,386,033.01","912,585,132.75","839,454,838.02","937,327,348.03","1,306,583,569.85","1,104,009,572.39"
其中：交易性金融资产(元),"569,900,000.00","643,900,000.00",-,-,-,-,-,-,-
应收票据及应收账款(元),"980,639,462.20","720,617,824.16","970,289,158.04","919,671,818.97","1,137,977,950.83","879,310,955.43","798,408,027.59","794,392,476.77","867,668,593.97"
其中：应收票据(元),"157,128,548.10","124,818,708.88","108,974,641.95","148,705,254.63","120,267,977.42","119,088,458.32","133,817,544.21","64,415,542.22","103,251,602.00"
其中：应收账款(元),"823,510,914.10","595,799,115.28","861,314,516.09","770,966,564.34","1,017,709,973.41","760,222,497.11","664,590,483.38","729,976,934.55","764,416,991.97"
预付款项(元),"56,362,795.25","48,667,067.42","58,373,184.26","54,855,695.54","139,934,047.62","14,347,036.39","13,114,414.80","24,769,299.46","8,632,441.81"
应收利息(元),-,-,-,-,-,"4,514,463.28","10,474,742.68"
应收股利(元),"35,849,884.59","79,074,261.21","15,146,815.30","15,146,815.30",-,-,-,"87,613,840.76","87,613,840.76"
其他应收款(元),"31,292,304.86","36,640,519.87","52,622,489.93","46,234,202.32","112,442,886.71","100,405,689.09","147,162,910.02","33,212,742.31","49,378,913.41"
存货(元),"850,622,397.94","901,055,443.67","772,264,361.76","645,870,507.62","620,724,975.78","782,454,900.19","769,787,712.66","699,738,448.15","706,322,859.68"
其他流动资产(元),"11,021,751.77","20,376,315.80","201,833,826.29","137,389,516.74","318,668,623.56","590,010,691.73","379,355,886.69","432,041,052.39","653,737,909.38"
流动资产合计(元),"3,715,287,055.45","3,508,252,991.82","3,066,555,026.72","2,733,253,983.52","3,242,333,617.25","3,205,984,110.85","3,045,156,299.79","3,382,865,892.97","3,487,838,874.08"
非流动资产：
长期股权投资(元),"1,303,368,882.25","1,289,202,223.94","1,356,043,433.26","1,338,003,659.49","1,313,945,441.62","1,293,854,523.63","1,242,079,194.52","1,236,327,756.22","1,159,441,658.92"
投资性房地产(元),"402,802,440.45","419,843,484.61","410,248,140.77","413,970,990.93","380,594,032.47","399,387,904.14","385,765,940.75","314,612,082.25","300,779,427.44"
固定资产(元),"1,684,968,027.16","1,764,864,450.13","1,692,596,380.01","1,554,537,349.38","1,600,725,963.19","1,606,007,156.56","1,602,018,961.93","1,691,865,137.16","1,700,775,880.11"
在建工程(元),"273,537,859.55","242,938,432.04","279,427,853.49","360,187,682.48","334,387,986.39","266,703,315.99","263,084,834.26","173,123,294.40","170,701,599.91"
无形资产(元),"305,604,089.89","308,123,834.69","296,103,703.04","298,159,687.66","300,547,702.81","302,581,784.75","289,801,379.61","291,846,880.62","299,750,971.83"
开发支出(元),"5,512,422.36","5,136,243.01",-,-,-,-,-,-,-
商誉(元),"988,758,840.80","988,758,840.80","988,758,840.80","988,758,840.80","988,758,840.80","988,758,840.80","988,758,840.80","988,758,840.80","1,008,078,947.42"
长期待摊费用(元),"35,679,991.57","37,972,030.74","30,502,380.45","31,834,302.77","26,610,308.07","25,247,269.24","25,735,785.92","26,711,095.10","27,841,839.70"
递延所得税资产(元),"44,155,559.08","40,906,964.64","42,940,030.87","39,377,910.95","40,086,648.59","39,658,153.27","39,248,594.75","38,258,208.01","30,011,045.05"
其他非流动资产(元),"60,347,577.14","66,685,279.95","96,943,375.15","97,693,100.99","74,320,651.80","75,397,840.03","65,629,798.31","75,464,518.55","77,815,487.59"
非流动资产合计(元),"5,104,735,690.25","5,164,431,784.55","5,193,564,137.84","5,122,523,525.45","5,059,977,575.74","4,997,596,788.41","4,902,123,330.85","4,836,967,813.11","4,775,196,857.97"
资产总计(元),"8,820,022,745.70","8,672,684,776.37","8,260,119,164.56","7,855,777,508.97","8,302,311,192.99","8,203,580,899.26","7,947,279,630.64","8,219,833,706.08","8,263,035,732.05"
流动负债：
短期借款(元),-,-,-,-,-,"60,000,000.00",-,-,"10,000,000.00"
应付票据及应付账款(元),"913,259,549.61","903,208,556.37","855,593,239.86","730,283,400.78","886,611,713.16","796,104,412.00","842,602,733.81","813,368,190.66","927,984,067.84"
其中：应付票据(元),"320,647,598.26","329,380,139.83","249,093,863.68","258,017,325.83",-,"192,122,563.06",-,"251,159,667.54","257,394,156.00"
其中：应付账款(元),"592,611,951.35","573,828,416.54","606,499,376.18","472,266,074.95",-,"603,981,848.94",-,"562,208,523.12","670,589,911.84"
预收款项(元),"10,723,298.20","41,528,897.02","15,052,352.69","13,340,110.80","16,609,897.82","10,188,583.89","12,357,896.04","9,444,313.04","9,789,359.67"
合同负债(元),"40,577,865.08",-,-,-,-,-,-,-,-
应付职工薪酬(元),"40,715,412.64","99,395,433.91","41,843,567.93","29,991,286.96","26,168,992.77","78,206,292.19","27,023,926.26","23,334,775.56","23,682,734.09"
应交税费(元),"88,999,858.91","71,860,967.07","78,926,142.86","58,217,505.17","125,117,238.05","138,573,336.90","77,846,100.87","60,198,357.05","66,214,208.12"
应付利息(元),-,-,-,-,-,-,-
应付股利(元),"10,808,337.19","17,348,936.97","4,100,307.39","11,545,128.94",-,-,-,"470,180,503.05","24,100,307.39"
其他应付款(元),"221,127,848.16","258,649,969.77","191,267,980.35","139,864,061.13","157,359,680.98","303,574,549.04","302,000,635.50","279,934,994.29","319,620,186.51"
其他流动负债(元),-,-,"221,967.55",-,-,-,-,-,-
