-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"29,938,325.71","269,797,293.27","193,565,608.36","137,739,776.76","30,895,712.69","382,866,740.21","261,537,263.82","189,706,187.38","31,857,701.87"
营业收入(元),"29,938,325.71","269,797,293.27","193,565,608.36","137,739,776.76","30,895,712.69","382,866,740.21","261,537,263.82","189,706,187.38","31,857,701.87"
二、营业总成本(元),"38,259,468.47","345,606,815.49","236,287,178.56","158,674,811.96","42,393,510.58","390,677,023.37","279,403,791.39","202,087,762.43","39,331,218.91"
营业成本(元),"25,362,290.50","221,192,924.72","165,420,518.13","115,512,712.27","24,813,199.61","303,710,834.43","216,564,207.96","158,660,758.29","17,034,808.93"
研发费用(元),"2,851,631.85","27,576,662.61","13,498,707.57","6,839,264.68","2,523,665.80","17,428,896.76","11,240,895.65",-,-
营业税金及附加(元),"153,401.55","3,860,461.16","870,954.59","742,505.16","283,965.69","3,268,342.72","1,576,831.90","1,045,629.31","684,083.80"
销售费用(元),"2,516,543.34","21,515,502.73","12,565,940.65","8,432,685.89","3,447,836.81","16,956,496.20","13,550,144.81","10,167,308.47","6,255,694.33"
管理费用(元),"6,116,438.47","63,988,858.02","33,524,303.55","21,485,750.47","9,608,799.92","48,483,317.63","35,063,021.76","29,998,081.16","15,014,662.07"
财务费用(元),"1,259,162.76","7,472,406.25","5,117,515.57","2,693,097.23","1,273,569.55","1,025,754.30","709,447.82","245,523.05","70,679.49"
其中：利息费用(元),"1,983,557.39","7,818,343.42","4,875,643.11","3,007,795.25","1,373,831.08","955,565.26","321,201.74",-,-
其中：利息收入(元),"-666,430.47","575,240.80","-480,557.66","-231,371.84","-217,490.81","259,277.27","-75,233.88",-,-
三、其他经营收益
加：投资收益(元),"-31,684.91","-86,138,306.17","-15,364,106.40","-11,188,264.07","-9,114,271.26","-3,245,813.09","3,481,225.49","3,465,925.06","1,829,746.72"
其中：对联营企业和合营企业的投资收益(元),"-31,684.91","-14,884,698.60","-15,377,092.70","-11,201,250.34",-,"-5,098,647.34",-,-,-
资产处置收益(元),-,-,-,-,-,"-1,644.93","-1,644.93","-1,644.93","-1,644.93"
资产减值损失(元),-,-,"5,289,238.50","2,968,796.26","442,473.20","-196,618.67","699,241.49","1,970,462.15","271,290.29"
其他收益(元),"971,550.93","1,852,135.80","645,941.12","644,074.25","229,664.88","1,427,082.49","698,621.37","524,354.33","262,238.70"
四、营业利润(元),"-7,204,633.49","-318,948,241.61","-57,439,735.48","-31,479,225.02","-20,382,404.27","-9,630,658.69","-13,688,325.64","-8,392,940.59","-5,383,176.55"
加：营业外收入(元),"730,752.00","1,523,453.04","937,652.66","930,850.59","934,219.56","3,823,643.70","1,556,757.35","891,587.88","346,837.46"
减：营业外支出(元),"104,000.00","487,434.59","66,350.36","16,350.36","16,350.36","1,638,847.35","16,979.43","14,278.50","11,278.50"
五、利润总额(元),"-6,577,881.49","-317,912,223.16","-56,568,433.18","-30,564,724.79","-19,464,535.07","-7,445,862.34","-12,148,547.72","-7,515,631.21","-5,047,617.59"
减：所得税费用(元),"-1,361,763.89","21,066,571.98","-8,095,870.39","-4,179,553.30","-2,143,277.18","-3,101,927.17","-4,362,533.13","-2,961,445.45","-1,251,540.61"
六、净利润(元),"-5,216,117.60","-338,978,795.14","-48,472,562.79","-26,385,171.49","-17,321,257.89","-4,343,935.17","-7,786,014.59","-4,554,185.76","-3,796,076.98"
(一)按经营持续性分类
持续经营净利润(元),"-5,216,117.60","-338,978,795.14","-48,472,562.79","-26,385,171.49","-17,321,257.89","-4,343,935.17","-7,786,014.59","-4,554,185.76","-3,796,076.98"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"-3,754,560.04","-326,132,395.72","-45,161,187.27","-26,005,849.35","-16,871,095.15","-7,036,332.95","-6,865,005.95","-3,138,320.28","-4,152,552.78"
少数股东损益(元),"-1,461,557.56","-12,846,399.42","-3,311,375.52","-379,322.14","-450,162.74","2,692,397.78","-921,008.64","-1,415,865.48","356,475.80"
扣除非经常性损益后的净利润(元),"-4,712,393.89","-256,641,595.07","-45,754,848.26","-26,636,716.19","-17,514,608.68","-9,718,486.98","-7,691,832.66","-3,601,094.00","-4,332,567.00"
七、每股收益
一、基本每股收益(元),-0.01,-1.26,-0.17,-0.10,-0.07,-0.03,-0.03,-0.01,-0.02
二、稀释每股收益(元),-0.01,-1.26,-0.17,-0.10,-0.07,-0.03,-0.03,-0.01,-0.02
八、其他综合收益(元),-,-,-,-,-,-,-,"8,841.67",-
归属于母公司股东的其他综合收益(元),-,-,-,-,-,-,-,"8,841.67",-
九、综合收益总额(元),"-5,216,117.60","-338,978,795.14","-48,472,562.79","-26,385,171.49","-17,321,257.89","-4,343,935.17","-7,786,014.59","-4,545,344.09","-3,796,076.98"
归属于母公司所有者的综合收益总额(元),"-3,754,560.04","-326,132,395.72","-45,161,187.27","-26,005,849.35","-16,871,095.15","-7,036,332.95","-6,865,005.95","-3,129,478.61","-4,152,552.78"
归属于少数股东的综合收益总额(元),"-1,461,557.56","-12,846,399.42","-3,311,375.52","-379,322.14","-450,162.74","2,692,397.78","-921,008.64","-1,415,865.48","356,475.80"
公告日期,2020-04-28,2020-04-21,2019-10-26,2019-08-27,2019-04-23,2019-04-23,2018-10-27,2018-08-25,2018-04-24
审计意见(境内),标准无保留意见,标准无保留意见
