-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"27,345,235.17","195,187,265.40","124,905,427.09","48,562,098.45","18,261,674.13","357,759,251.38","269,569,903.69","145,808,808.15","44,525,733.06"
收到的税费返还(元),"107,770.18","1,606,611.98","448,003.00","440,814.61","440,814.61","1,881,626.75","1,748,468.09","1,371,259.60","797,979.52"
收到其他与经营活动有关的现金(元),"2,825,995.31","8,351,318.87","7,715,722.19","6,945,990.32","4,718,041.89","7,001,937.09","9,113,439.87","3,800,032.57","2,083,900.17"
经营活动现金流入小计(元),"30,279,000.66","205,145,196.25","133,069,152.28","55,948,903.38","23,420,530.63","366,642,815.22","280,431,811.65","150,980,100.32","47,407,612.75"
购买商品、接受劳务支付的现金(元),"20,506,767.56","122,153,976.20","92,565,336.86","45,576,089.04","26,159,462.86","245,591,741.66","221,282,909.42","135,849,808.17","38,758,699.22"
支付给职工以及为职工支付的现金(元),"12,250,690.00","63,290,815.07","47,977,252.81","28,993,272.58","13,635,656.55","54,611,984.16","38,997,841.61","26,763,128.03","12,521,637.13"
支付的各项税费(元),"9,952,167.47","15,057,801.01","13,895,423.16","11,721,357.07","8,182,564.01","23,275,965.55","20,204,591.80","15,523,720.31","11,362,929.17"
支付其他与经营活动有关的现金(元),"8,460,802.04","33,468,073.06","31,670,142.13","15,584,356.11","7,289,262.71","26,693,294.38","23,266,619.31","15,466,525.63","9,868,792.60"
经营活动现金流出小计(元),"51,170,427.07","233,970,665.34","186,108,154.96","101,875,074.80","55,266,946.13","350,172,985.75","303,751,962.14","193,603,182.14","72,512,058.12"
经营活动产生的现金流量净额(元),-,"-28,825,469.09",-,"-45,926,171.42",-,"16,469,829.47",-,"-42,623,081.82",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"25,000,000.00","59,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","15,281,970.00","8,000,000.00","20,000,000.00","16,000,000.00"
取得投资收益收到的现金(元),-,"12,986.30","12,986.30","12,986.30","12,986.30","351,492.14","188,775.33","171,021.91","107,950.68"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,-,-,-,-,70.00,70.00,70.00,70.00
处置子公司及其他营业单位收到的现金净额(元),-,-,-,-,-,"12,843,978.75",-,-,-
收到其他与投资活动有关的现金(元),"1,316,173.17",-,-,-,-,-,-,-,-
投资活动现金流入小计(元),"26,316,173.17","59,012,986.30","5,012,986.30","5,012,986.30","5,012,986.30","28,477,510.89","8,188,845.33","20,171,091.91","16,108,020.68"
购建固定资产、无形资产和其他长期资产支付的现金(元),"11,415,196.69","27,043,445.13","22,533,007.89","16,654,733.89","6,785,256.17","22,010,414.48","14,901,332.95","8,890,345.05","4,523,099.01"
投资支付的现金(元),"50,000,000.00","20,000,000.00","20,000,000.00",-,-,"58,281,970.00",-,-,-
取得子公司及其他营业单位支付的现金净额(元),-,-,-,-,-,"18,675,000.00",-,-,-
支付其他与投资活动有关的现金(元),-,-,-,-,"620,000.00",-,-,-,-
投资活动现金流出小计(元),"61,415,196.69","47,043,445.13","42,533,007.89","16,654,733.89","7,405,256.17","98,967,384.48","14,901,332.95","8,890,345.05","4,523,099.01"
投资活动产生的现金流量净额(元),"-35,099,023.52","11,969,541.17","-37,520,021.59","-11,641,747.59","-2,392,269.87","-70,489,873.59","-6,712,487.62","11,280,746.86","11,584,921.67"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,-,-,-,"320,000.00","9,500,000.00",-,-,-
其中：子公司吸收少数股东投资收到的现金(元),-,-,-,-,-,"9,500,000.00",-,-,-
取得借款收到的现金(元),"70,000,000.00","62,620,000.00","62,620,000.00","52,620,000.00","52,620,000.00","68,000,000.00","18,000,000.00","18,000,000.00",-
收到其他与筹资活动有关的现金(元),-,"78,750,000.00","84,531,800.00","55,931,800.00","300,000.00","14,107,288.87","53,587,530.00","46,157,900.00","2,300,000.00"
筹资活动现金流入小计(元),"70,000,000.00","141,370,000.00","147,151,800.00","108,551,800.00","53,240,000.00","91,607,288.87","71,587,530.00","64,157,900.00","2,300,000.00"
偿还债务支付的现金(元),"26,620,000.00","76,000,000.00",-,-,-,"18,000,000.00",-,-,-
分配股利、利润或偿付利息支付的现金(元),"868,598.22","5,368,982.97","4,186,754.45","2,484,638.23","1,029,587.00","583,791.25","357,245.50","136,675.50",-
支付其他与筹资活动有关的现金(元),"19,439,777.34","68,259,958.34","27,800,000.00","27,800,000.00","27,800,000.00","9,000,000.00",-,-,-
筹资活动现金流出小计(元),"46,928,375.56","149,628,941.31","31,986,754.45","30,284,638.23","28,829,587.00","27,583,791.25","357,245.50","136,675.50",-
筹资活动产生的现金流量净额(元),"23,071,624.44","-8,258,941.31","115,165,045.55","78,267,161.77","24,410,413.00","64,023,497.62","71,230,284.50","64,021,224.50","2,300,000.00"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"44,422,256.41","41,743,132.51","41,743,132.51","41,743,132.51","41,743,132.51","31,739,679.01","31,739,679.01","31,739,679.01","31,739,679.01"
期末现金及现金等价物余额(元),"11,504,653.05","16,627,889.53","66,349,153.79","62,442,375.27","31,914,860.14","41,743,132.51","72,937,325.40","64,418,568.55","20,520,155.31"
补充资料：
净利润(元),-,"-338,978,795.14",-,"-26,385,171.49",-,"-4,343,935.17",-,"-4,554,185.76",-
