-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"11,519,876.32","44,443,101.26","94,164,342.35","90,548,563.83","59,730,025.69","43,854,298.06","72,937,325.40","64,418,568.55","20,520,155.31"
衍生金融资产(元),-,-,-,-,-,-,-,"9,137.15",-
应收票据及应收账款(元),"131,273,880.04","139,036,463.43","157,195,649.82","213,349,093.05","188,054,187.27","197,917,877.79","149,698,656.49","207,630,063.73","132,826,748.90"
其中：应收票据(元),"28,455,850.14","17,229,366.26","29,169,163.70","20,222,020.74","22,962,597.80","25,575,761.27","18,746,846.44","13,805,256.22","17,435,159.75"
其中：应收账款(元),"102,818,029.90","121,807,097.17","128,026,486.12","193,127,072.31","165,091,589.47","172,342,116.52","130,951,810.05","193,824,807.51","115,391,589.15"
预付款项(元),"5,564,739.77","3,233,410.11","9,861,859.71","7,689,952.57","12,865,147.01","6,300,682.13","6,305,898.05","7,928,989.98","30,470,109.28"
应收利息(元),-,-,-,-,-,-,-
其他应收款(元),"39,633,253.46","48,676,266.65","5,048,310.83","4,686,198.84","6,299,239.00","5,279,911.05","6,148,508.67","6,435,299.13","8,026,782.21"
存货(元),"80,597,792.36","75,426,449.42","81,937,693.34","74,340,946.50","71,475,994.28","54,127,700.66","89,447,662.43","98,263,389.97","101,180,157.03"
合同资产(元),"5,464,540.00",-,-,-,-,-,-,-,-
其他流动资产(元),"16,158,702.16","9,334,597.52","13,881,418.49","8,447,211.42","3,367,043.23","7,658,233.17","20,170,959.13","10,299,293.90","11,254,086.71"
流动资产合计(元),"290,212,784.11","320,150,288.39","362,089,274.54","399,061,966.21","341,791,636.48","315,138,702.86","344,709,010.17","394,984,742.41","304,278,039.44"
非流动资产：
长期股权投资(元),"2,589,773.21","2,621,458.12","151,595,657.92","155,771,500.25","157,918,679.29","166,972,750.59","127,573,529.72","127,577,820.26","126,004,147.02"
其他权益工具投资(元),"19,550,000.00","19,550,000.00",-,-,-,-,-,-,-
固定资产(元),"139,207,248.88","141,975,600.98","121,075,728.70","120,118,395.74","121,518,311.00","123,669,325.69","156,552,439.29","145,515,813.75","147,922,262.05"
在建工程(元),"2,032,639.84","17,244,801.63","25,512,238.35","37,358,769.44","30,740,254.74","30,552,539.32","38,534,095.61","46,523,033.63","33,099,484.55"
工程物资(元),-,-,-,-,-,-,-,"1,260,986.21",-
无形资产(元),"208,142,635.43","208,300,985.28","213,169,290.69","213,976,461.36","215,236,553.44","214,665,202.02","235,257,631.53","235,694,390.31","236,143,673.37"
开发支出(元),-,-,-,-,-,-,"688,299.59",-,-
商誉(元),"7,103,962.95","7,103,962.95","142,175,818.23","142,175,818.23","142,175,818.23","142,175,818.23","142,175,818.23","142,175,818.23","142,175,818.23"
长期待摊费用(元),"67,625,927.23","52,771,759.79","58,722,260.70","28,870,601.94","28,196,138.50","28,607,157.25","28,086,849.86","28,351,624.75","28,531,637.70"
递延所得税资产(元),"19,389,756.80","22,869,559.35","52,318,380.87","47,981,754.83","45,567,911.28","43,260,935.44","44,013,624.86","42,688,127.75","41,060,686.03"
其他非流动资产(元),"78,210,416.36","17,711,896.36","19,688,942.21","22,579,453.42","11,879,847.18","12,735,947.18","15,265,613.40","12,953,138.34","20,739,515.18"
非流动资产合计(元),"543,852,360.70","490,150,024.46","784,258,317.67","768,832,755.21","753,233,513.66","762,639,675.72","788,147,902.09","782,740,753.23","775,677,224.13"
资产总计(元),"834,065,144.81","810,300,312.85","1,146,347,592.21","1,167,894,721.42","1,095,025,150.14","1,077,778,378.58","1,132,856,912.26","1,177,725,495.64","1,079,955,263.57"
流动负债：
短期借款(元),"83,046,625.00","39,666,625.00","112,620,000.00","102,620,000.00","102,620,000.00","50,000,000.00","18,000,000.00","18,000,000.00",-
应付票据及应付账款(元),"58,451,274.30","71,506,373.40","62,626,857.62","78,259,918.51","58,585,523.94","57,641,709.34","32,593,513.02","84,624,904.34","44,722,015.72"
其中：应付账款(元),"58,451,274.30","71,506,373.40","62,626,857.62","78,259,918.51",-,"57,641,709.34",-,"84,624,904.34","44,722,015.72"
预收款项(元),-,"1,916,595.19","4,740,384.00","573,491.66","28,476.37","9,648,889.45","11,886,537.15","7,763,578.30","13,343,097.40"
合同负债(元),"9,467,591.42",-,-,-,-,-,-,-,-
应付职工薪酬(元),"5,750,368.49","6,214,889.13","3,579,421.55","5,773,554.19","3,880,633.26","5,482,085.84","2,515,995.03","3,206,894.68","4,303,158.71"
应交税费(元),"685,243.70","8,055,425.68","2,692,858.35","3,475,873.93","3,183,227.57","9,154,398.53","4,306,587.04","4,614,834.09","3,317,760.03"
应付利息(元),"434,364.57","692,332.52",-,-,-,-,-
其他应付款(元),"61,412,671.94","62,162,125.23","159,119,403.58","154,742,601.49","94,577,911.34","97,346,442.12","179,257,599.52","173,044,690.57","126,453,678.52"
其他流动负债(元),"839,839.93","1,096,463.77","72,710.85","72,547.80","50,195.20","63,931.46","69,615.20","86,686.34","404,539.31"
流动负债合计(元),"220,087,979.35","191,310,829.92","345,771,655.35","345,616,936.83","262,925,967.68","229,337,456.74","248,629,846.96","291,341,588.32","192,544,249.69"
非流动负债：
预计负债(元),"1,716,985.72","1,705,262.04","1,693,852.14","1,682,442.24","1,671,032.34","1,659,622.44","1,648,517.91","1,637,413.38","1,626,308.85"
