-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"2,292,324,793.56","14,354,010,106.79","9,832,592,822.70","6,204,038,810.90","3,141,996,049.85","13,878,229,147.69","10,230,215,719.73","7,026,384,337.01","3,047,638,544.98"
营业收入(元),"2,292,324,793.56","14,354,010,106.79","9,832,592,822.70","6,204,038,810.90","3,141,996,049.85","13,878,229,147.69","10,230,215,719.73","7,026,384,337.01","3,047,638,544.98"
二、营业总成本(元),"2,183,298,184.49","13,556,705,948.39","9,242,120,019.61","5,792,124,485.94","2,982,050,379.42","13,108,251,552.53","9,588,416,880.55","6,496,555,561.38","2,850,668,787.52"
营业成本(元),"1,872,014,911.23","11,757,072,868.69","7,931,273,272.22","5,002,263,495.30","2,558,632,250.26","11,219,747,261.64","8,263,848,603.62","5,615,115,736.87","2,444,992,735.77"
研发费用(元),"65,401,392.11","463,592,118.77","327,893,103.66","165,924,855.53","93,168,631.84","420,957,751.64","349,160,115.08",-,-
营业税金及附加(元),"11,504,984.81","78,069,126.40","52,970,937.29","34,246,871.91","18,230,540.97","87,848,850.90","65,671,018.05","44,135,973.97","22,801,979.82"
销售费用(元),"13,404,396.98","107,997,727.63","75,700,593.77","48,149,767.91","18,841,875.53","78,693,129.23","55,625,056.90","37,885,775.70","16,977,075.63"
管理费用(元),"99,761,293.33","511,189,118.55","346,504,020.05","202,960,821.82","110,744,385.85","444,751,577.90","352,012,802.06","466,427,487.03","200,970,433.15"
财务费用(元),"121,211,206.03","638,784,988.35","463,347,373.54","296,529,448.16","169,618,308.76","619,040,672.86","416,835,869.20","303,375,311.57","153,809,763.40"
其中：利息费用(元),"117,368,641.21","606,209,416.33","449,546,930.81","293,060,740.49","159,947,021.19","647,800,199.76","468,155,381.31",-,-
其中：利息收入(元),"9,466,171.81","37,648,450.78","31,635,700.67","21,683,786.46","11,979,742.97","41,034,842.61","27,227,336.64",-,-
三、其他经营收益
加：公允价值变动收益(元),-,"-447,978.01","-447,978.01","-447,978.01","-447,978.01","7,051,111.52","5,535,425.40","8,853,889.15","7,356,046.61"
加：投资收益(元),"2,472,126.52","28,382,729.63","48,593,759.52","36,554,259.47","8,502,220.80","8,085,752.20","-47,537,605.57","-48,417,023.04","-7,661,786.19"
资产处置收益(元),"-216,642.67","-58,163,561.85","-45,610,988.31","-36,009,066.42","-19,452.04","-11,466,216.37","-185,602.59","14,879.32","-5,110,488.47"
资产减值损失(元),-,-,"37,204,081.03","43,797,674.08","-1,171,188.77","237,212,308.36","85,263,415.64","29,615,276.24","11,116,799.75"
信用减值损失(元),-,-,"7,226,638.05","-1,748,448.77","13,985,574.98",-,-,-,-
其他收益(元),"36,116,823.51","167,326,665.58","168,283,121.49","112,605,165.57","56,754,468.51","133,688,585.40","73,399,512.79","44,771,823.26","23,460,092.05"
四、营业利润(元),"143,194,358.70","858,901,357.50","761,290,717.78","524,616,705.57","224,734,929.69","907,336,827.91","673,010,569.21","535,052,344.32","215,013,621.46"
加：营业外收入(元),"506,332.91","18,777,412.14","18,368,266.80","1,782,980.46","623,259.79","10,041,526.43","10,936,525.29","9,822,990.09","8,824,866.34"
减：营业外支出(元),"4,748,964.70","10,925,164.50","6,314,912.57","3,879,971.53","471,326.69","10,516,963.33","15,199,050.74","6,890,330.71","470,164.71"
五、利润总额(元),"138,951,726.91","866,753,605.14","773,344,072.01","522,519,714.50","224,886,862.79","906,861,391.01","668,748,043.76","537,985,003.70","223,368,323.09"
减：所得税费用(元),"25,036,900.23","117,254,815.67","138,563,891.08","91,613,680.16","41,808,150.35","128,157,410.62","103,743,309.56","91,925,400.50","38,508,618.73"
六、净利润(元),"113,914,826.68","749,498,789.47","634,780,180.93","430,906,034.34","183,078,712.44","778,703,980.39","565,004,734.20","446,059,603.20","184,859,704.36"
(一)按经营持续性分类
持续经营净利润(元),"113,914,826.68","749,498,789.47","634,780,180.93","430,906,034.34","183,078,712.44",-,"565,004,734.20","446,059,603.20",-
(二)按所有权归属分类
归属于母公司股东的净利润(元),"110,154,797.07","735,271,227.26","603,599,471.82","413,601,880.59","175,315,310.33","730,314,864.92","517,792,736.55","411,216,823.02","171,085,871.49"
少数股东损益(元),"3,760,029.61","14,227,562.21","31,180,709.11","17,304,153.75","7,763,402.11","48,389,115.47","47,211,997.65","34,842,780.18","13,773,832.87"
扣除非经常性损益后的净利润(元),"99,375,774.29","705,891,803.62","555,140,107.23","386,371,715.54","138,753,732.72","657,196,626.77","512,424,124.48","419,064,827.22","155,391,354.85"
七、每股收益
一、基本每股收益(元),0.03,0.18,0.15,0.10,0.04,0.19,0.13,0.11,0.04
二、稀释每股收益(元),0.03,0.18,0.15,0.10,0.04,0.19,0.13,0.11,0.04
八、其他综合收益(元),"-6,108,049.33","4,414,705.52","2,493,946.21","-3,470,109.05","-11,857,340.90","-26,677,555.48","-23,859,452.60","-23,056,915.48","-74,463,988.37"
归属于母公司股东的其他综合收益(元),"-2,473,853.33","4,304,930.36","2,360,615.90","-3,647,999.68","-10,907,409.43","-23,707,426.97","-21,248,369.43","-19,715,711.47","-67,844,207.69"
归属于少数股东的其他综合收益(元),"-3,634,196.00","109,775.16","133,330.31","177,890.63","-949,931.47","-2,970,128.51","-2,611,083.17","-3,341,204.01","-6,619,780.68"
九、综合收益总额(元),"107,806,777.35","753,913,494.99","637,274,127.14","427,435,925.29","171,221,371.54","752,026,424.91","541,145,281.60","423,002,687.72","110,395,715.99"
