-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"2,362,483,243.57","15,408,616,911.74","10,476,155,518.19","7,287,080,989.55","3,204,179,590.51","15,715,815,407.01","11,079,414,908.99","7,756,090,799.82","3,463,210,679.86"
收到的税费返还(元),"31,417,893.50","373,345,015.82","353,502,077.07","324,488,471.06","241,779,806.25","147,770,252.72","95,065,994.86","32,222,551.15","10,711,734.42"
收到其他与经营活动有关的现金(元),"37,588,324.69","277,698,792.37","223,634,126.34","137,416,001.09","66,941,653.26","198,238,162.08","127,897,708.60","73,442,651.05","41,130,603.13"
经营活动现金流入小计(元),"2,431,489,461.76","16,059,660,719.93","11,053,291,721.60","7,748,985,461.70","3,512,901,050.02","16,061,823,821.81","11,302,378,612.45","7,861,756,002.02","3,515,053,017.41"
购买商品、接受劳务支付的现金(元),"2,078,577,306.85","14,121,619,889.54","9,710,732,535.03","6,997,224,537.98","3,458,725,014.73","13,755,883,789.65","9,760,852,789.61","6,748,412,645.94","3,049,608,436.76"
支付给职工以及为职工支付的现金(元),"143,658,863.58","541,005,059.89","409,545,134.65","278,866,701.95","161,110,425.92","500,967,592.48","385,604,530.11","269,426,005.43","151,010,765.87"
支付的各项税费(元),"44,743,232.67","397,336,173.11","281,714,991.70","219,271,061.24","84,286,998.54","503,839,932.86","399,702,350.97","278,747,564.77","126,290,008.33"
支付其他与经营活动有关的现金(元),"77,644,099.25","262,579,135.78","193,077,129.35","136,808,477.24","93,831,123.31","316,035,237.70","228,841,379.54","142,859,718.39","82,282,955.37"
经营活动现金流出小计(元),"2,344,623,502.35","15,322,540,258.32","10,595,069,790.73","7,632,170,778.41","3,797,953,562.50","15,076,726,552.69","10,775,001,050.23","7,439,445,934.53","3,409,192,166.33"
经营活动产生的现金流量净额(元),-,"737,120,461.61",-,"116,814,683.29",-,"985,097,269.12",-,"422,310,067.49",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,"153,000,000.00","75,394,000.00",-,"101,000,000.00",-,-,-,-
取得投资收益收到的现金(元),-,"34,800,288.00","19,977,689.97","19,977,689.97","6,000,000.00","1,200,192.00","1,200,192.00",-,-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"117,600.00","877,351.33","77,851.33","29,400.00",-,"1,613,821.00","1,414,362.20","1,403,531.00","147,000.00"
处置子公司及其他营业单位收到的现金净额(元),-,"126,000,000.00","101,000,000.00","101,000,000.00",-,"59,796,858.21",-,-,-
投资活动现金流入小计(元),"117,600.00","314,677,639.33","196,449,541.30","121,007,089.97","107,000,000.00","62,610,871.21","2,614,554.20","1,403,531.00","147,000.00"
购建固定资产、无形资产和其他长期资产支付的现金(元),"140,372,366.88","1,354,278,317.94","926,960,887.42","560,892,417.62","342,299,112.90","1,662,520,142.85","1,344,899,378.90","291,980,147.07","165,307,475.62"
投资支付的现金(元),"24,329,987.00","113,930,067.98","107,930,067.98","54,203,577.98","52,469,210.97","153,204,043.84","151,925,732.60","126,079,393.82","9,733,275.04"
投资活动现金流出小计(元),"164,702,353.88","1,468,208,385.92","1,034,890,955.40","615,095,995.60","394,768,323.87","1,815,724,186.69","1,496,825,111.50","418,059,540.89","175,040,750.66"
投资活动产生的现金流量净额(元),"-164,584,753.88","-1,153,530,746.59","-838,441,414.10","-494,088,905.63","-287,768,323.87","-1,753,113,315.48","-1,494,210,557.30","-416,656,009.89","-174,893,750.66"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),-,"50,650,000.00","50,000,000.00","22,569,734.00",-,"1,958,935,687.82","1,909,635,687.82","39,440,500.00",-
其中：子公司吸收少数股东投资收到的现金(元),-,"50,650,000.00","50,000,000.00","22,569,734.00",-,"151,190,500.00","101,890,500.00","39,440,500.00",-
取得借款收到的现金(元),"3,324,400,478.48","10,114,617,982.34","7,490,263,699.95","5,331,154,961.88","3,370,618,170.73","9,747,076,812.01","8,009,965,040.34","5,139,895,267.14","2,304,663,229.04"
发行债券收到的现金(元),-,-,-,"149,662,500.00","149,662,500.00",-,-,-,-
收到其他与筹资活动有关的现金(元),"40,000,000.00","2,724,585,813.66","1,603,527,123.08","444,265,272.00","194,265,272.00","1,113,209,610.94","869,137,829.00","10,000,000.00","10,000,000.00"
筹资活动现金流入小计(元),"3,364,400,478.48","12,889,853,796.00","9,143,790,823.03","5,947,652,467.88","3,714,545,942.73","12,819,222,110.77","10,788,738,557.16","5,189,335,767.14","2,314,663,229.04"
偿还债务支付的现金(元),"2,233,042,943.52","11,620,321,104.83","8,350,194,809.02","5,287,851,007.90","2,700,291,800.97","9,953,313,315.24","7,732,925,837.36","4,304,588,667.96","1,996,008,332.86"
分配股利、利润或偿付利息支付的现金(元),"116,786,019.07","821,457,419.32","566,545,339.16","364,649,361.85","151,085,259.74","731,332,361.41","556,650,914.64","319,929,925.90","124,994,761.65"
其中：子公司支付给少数股东的股利、利润(元),-,"174,051.06",-,-,-,"8,800,000.00","800,000.00","800,000.00",-
支付其他与筹资活动有关的现金(元),"415,439,229.72","568,039,396.22","620,706,570.16","447,562,150.31","299,383,791.42","120,164,288.00","289,624,429.32","137,616,488.79","109,060,214.61"
筹资活动现金流出小计(元),"2,765,268,192.31","13,009,817,920.37","9,537,446,718.34","6,100,062,520.06","3,150,760,852.13","10,804,809,964.65","8,579,201,181.32","4,762,135,082.65","2,230,063,309.12"
