-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"4,153,002,648.50","3,308,804,095.61","3,125,097,812.50","3,126,559,353.55","3,714,729,560.24","3,493,709,645.22","3,679,276,528.52","2,733,677,173.65","2,287,044,966.16"
以公允价值计量且其变动计入当期损益的金融资产(元),-,-,-,-,-,"447,978.01",-,"2,250,755.64",-
应收票据及应收账款(元),"2,508,401,961.71","2,597,828,329.84","2,787,123,883.16","2,681,565,028.25","2,751,348,021.71","2,399,212,131.39","3,139,570,817.08","2,912,562,894.00","2,874,430,759.12"
其中：应收票据(元),"17,544,376.76","27,703,337.42","505,968,324.01","523,601,919.38","469,728,919.42","599,173,905.33","575,175,994.16","421,069,852.22","534,139,932.41"
其中：应收账款(元),"2,490,857,584.95","2,570,124,992.42","2,281,155,559.15","2,157,963,108.87","2,281,619,102.29","1,800,038,226.06","2,564,394,822.92","2,491,493,041.78","2,340,290,826.71"
预付款项(元),"1,237,830,425.05","1,199,950,444.85","1,428,240,087.77","1,347,032,834.25","1,259,152,667.81","1,290,550,774.65","705,661,983.79","495,875,189.57","864,205,869.36"
应收利息(元),-,-,-,-,-,"2,659,186.01",-
应收股利(元),-,-,"27,000,000.00","27,000,000.00",-,-,-,-,-
其他应收款(元),"110,042,297.98","84,880,706.34","147,681,450.69","183,166,198.36","476,983,147.34","571,465,785.99","315,001,791.45","359,614,627.33","434,198,949.51"
存货(元),"5,746,533,616.73","5,732,236,724.48","5,770,155,967.18","5,744,145,040.77","5,640,622,641.15","5,030,416,418.86","5,461,963,496.02","5,139,326,221.02","4,889,747,945.16"
一年内到期的非流动资产(元),-,-,-,-,-,-,-,-,"8,677,139.44"
其他流动资产(元),"341,939,303.39","346,629,145.26","385,487,490.55","420,883,890.68","322,491,861.94","334,018,070.71","660,764,661.80","617,038,403.90","482,470,172.14"
流动资产合计(元),"14,507,939,908.30","13,588,621,144.04","13,670,786,691.85","13,530,352,345.86","14,165,327,900.19","13,119,820,804.83","13,962,239,278.66","12,263,004,451.12","11,840,775,800.89"
非流动资产：
可供出售金融资产(元),-,-,-,-,-,"38,833,975.04","30,000,000.00","30,000,000.00","443,992,548.37"
长期股权投资(元),"875,887,704.42","859,681,513.44","1,034,815,860.15","968,114,405.08","1,034,893,876.03","1,010,233,480.03","752,777,489.10","736,633,690.16","321,884,750.89"
其他权益工具投资(元),"45,802,275.75","45,802,275.75","38,833,975.04","38,833,975.04","38,833,975.04",-,-,-,-
固定资产(元),"7,557,957,057.78","7,729,589,225.79","6,449,210,844.96","6,542,729,974.47","6,477,604,824.85","6,516,180,018.15","6,596,762,714.46","6,680,606,573.96","6,767,570,778.52"
在建工程(元),"2,014,802,047.58","1,834,798,248.34","2,763,419,504.28","2,632,320,035.67","2,041,590,581.56","1,888,165,451.62","1,746,853,682.04","1,303,751,964.50","1,154,441,697.21"
无形资产(元),"1,720,432,554.55","1,741,762,564.38","1,646,058,979.74","1,549,563,363.39","1,479,038,669.61","1,434,490,507.13","1,414,209,492.68","1,409,261,133.75","1,387,938,335.46"
开发支出(元),"128,565,463.60","110,032,219.83","145,178,588.49","135,375,511.20","57,744,062.27","88,963,943.03","81,187,523.08","44,155,244.40","39,462,313.89"
商誉(元),"190,703,315.86","190,703,315.86","190,703,315.86","190,703,315.86","190,703,315.86","190,703,315.86","405,825,514.39","405,825,514.39","405,825,514.39"
长期待摊费用(元),"15,716,982.82","15,912,719.52","23,454,237.25","23,846,524.25","25,078,572.76","23,105,688.55","24,186,527.43","26,286,594.00","17,639,267.76"
递延所得税资产(元),"96,013,473.77","107,542,235.50","70,217,437.63","77,946,459.13","79,042,931.66","103,159,027.84","84,261,852.91","81,853,245.23","78,530,250.08"
其他非流动资产(元),"702,807,458.37","616,586,362.81","479,471,673.68","679,143,761.39","624,899,158.02","546,170,206.20","569,849,280.02","447,591,333.31","340,859,133.99"
非流动资产合计(元),"13,348,688,334.50","13,252,410,681.22","12,841,364,417.08","12,838,577,325.48","12,049,429,967.66","11,840,005,613.45","11,705,914,076.11","11,165,965,293.70","10,958,144,590.56"
资产总计(元),"27,856,628,242.80","26,841,031,825.26","26,512,151,108.93","26,368,929,671.34","26,214,757,867.85","24,959,826,418.28","25,668,153,354.77","23,428,969,744.82","22,798,920,391.45"
流动负债：
短期借款(元),"7,156,494,247.28","6,218,136,712.32","7,022,144,950.02","7,398,681,142.22","7,898,937,365.91","7,148,059,824.27","7,512,479,643.27","6,670,847,779.78","5,904,647,488.98"
以公允价值计量且其变动计入当期损益的金融负债(元),-,-,-,-,-,-,"1,067,708.11",-,-
应付票据及应付账款(元),"3,186,736,219.03","3,299,311,693.27","2,527,507,562.70","2,331,780,108.76","1,890,631,209.55","1,710,539,316.71","1,830,289,619.36","1,095,062,250.13","1,017,964,787.40"
其中：应付票据(元),"2,700,602,156.59","2,715,022,007.05","1,875,363,433.70","1,640,904,365.20",-,"1,301,549,209.34",-,"314,079,774.38","382,501,469.30"
其中：应付账款(元),"486,134,062.44","584,289,686.22","652,144,129.00","690,875,743.56",-,"408,990,107.37",-,"780,982,475.75","635,463,318.10"
预收款项(元),-,"180,782,838.65","199,223,368.42","115,939,724.31","156,085,503.21","137,623,467.00","205,920,389.32","240,756,525.73","429,564,969.64"
合同负债(元),"230,940,989.91",-,-,-,-,-,-,-,-
