-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"425,340,894.75","3,321,969,616.50","2,441,690,184.38","1,447,621,047.59","633,343,984.21","3,213,703,263.21","2,529,024,517.54","1,501,799,640.23","508,595,947.47"
营业收入(元),"425,340,894.75","3,321,969,616.50","2,441,690,184.38","1,447,621,047.59","633,343,984.21","3,213,703,263.21","2,529,024,517.54","1,501,799,640.23","508,595,947.47"
二、营业总成本(元),"468,940,919.65","3,367,869,575.70","2,459,340,329.94","1,485,682,361.26","650,176,929.01","2,961,309,488.96","2,218,386,784.88","1,346,510,181.80","466,847,172.27"
营业成本(元),"332,598,008.45","2,713,067,066.77","1,964,235,489.55","1,174,474,307.93","499,543,547.97","2,368,548,102.52","1,798,785,909.95","1,089,363,495.83","359,092,053.12"
研发费用(元),"18,264,004.39","96,203,910.53","68,979,958.94","47,794,090.20","25,184,030.64","80,432,843.96","45,602,396.83",-,-
营业税金及附加(元),"4,914,689.67","28,976,237.01","20,744,473.54","11,695,113.42","5,874,153.92","26,893,616.70","18,415,607.04","13,086,541.02","3,796,334.92"
销售费用(元),"22,302,505.46","152,123,200.25","105,382,726.45","69,044,559.55","31,460,836.96","117,320,472.91","81,332,241.80","52,178,618.54","24,234,249.28"
管理费用(元),"44,814,507.77","184,510,177.47","134,715,921.70","87,661,971.74","39,968,772.77","186,106,289.32","132,106,759.40","111,692,975.57","51,549,596.98"
财务费用(元),"46,047,203.91","192,988,983.67","132,925,864.93","86,029,018.58","45,822,047.70","121,317,583.87","97,836,044.52","66,368,223.64","31,642,961.49"
其中：利息费用(元),"49,773,212.47","174,830,858.60","131,559,030.34","82,734,681.03","40,145,137.21","142,613,550.87","113,222,064.37",-,-
其中：利息收入(元),"1,915,712.32","5,682,319.52","-2,909,371.34","-1,670,296.69","1,381,033.24","25,229,559.36","-19,495,543.44",-,-
三、其他经营收益
加：投资收益(元),"3,447,598.94","12,266,898.81","1,016,652.36","735,186.04","-186,062.74","9,617,268.17","10,020,196.00","-840,710.03","-791,215.59"
其中：对联营企业和合营企业的投资收益(元),"133,804.39","-861,460.79","484,325.67","206,871.63","-423,153.13","-1,158,531.29","-1,071,142.00","-1,141,367.56","-791,215.59"
资产处置收益(元),"-17,202.38","1,495,685.12","7,104,067.91","7,204,852.28","8,081,406.30","46,390,423.73","8,006,614.21","4,272,691.77","-1,064,652.92"
资产减值损失(元),-,-,"-3,166,979.98","8,983,299.84","2,323,539.05","60,690,579.68","44,307,825.34","13,820,327.20","-3,468,023.52"
信用减值损失(元),-,-,"35,522,874.81",-,-,-,-,-,-
其他收益(元),"12,773,375.52","75,898,038.54","52,610,593.47","39,141,983.75","22,595,506.35","37,437,510.18","27,251,130.90","17,494,917.26","7,321,779.08"
四、营业利润(元),"-40,850,823.30","-10,106,980.69","43,081,168.18","9,020,708.40","13,657,905.11","345,838,976.33","355,915,673.77","176,216,357.43","47,214,685.77"
加：营业外收入(元),"201,115.32","7,063,482.88","3,090,628.36","2,906,015.44","285,374.50","12,353,939.47","1,642,010.36","883,718.14","8,398,069.37"
减：营业外支出(元),"746,874.76","4,045,715.81","2,786,149.36","1,355,769.90","1,348,814.63","4,152,543.41","627,453.08","317,500.54","8,434.33"
五、利润总额(元),"-41,396,582.74","-7,089,213.62","43,385,647.18","10,570,953.94","12,594,464.98","354,040,372.39","356,930,231.05","176,782,575.03","55,604,320.81"
减：所得税费用(元),"-621,029.62","-5,996,537.39","4,985,631.34","-186,270.88","4,009,859.85","69,003,646.77","56,924,579.88","23,381,873.26","5,617,290.69"
六、净利润(元),"-40,775,553.12","-1,092,676.23","38,400,015.84","10,757,224.82","8,584,605.13","285,036,725.62","300,005,651.17","153,400,701.77","49,987,030.12"
(一)按经营持续性分类
持续经营净利润(元),"-40,775,553.12","-5,652,005.31","38,364,311.80","10,721,520.78","8,584,605.13","287,447,170.35","300,005,651.17","153,400,701.77","49,987,030.12"
终止经营净利润(元),-,"4,559,329.08","35,704.04","35,704.04",-,"-2,410,444.73",-,-,-
(二)按所有权归属分类
归属于母公司股东的净利润(元),"-40,263,731.80","9,880,780.09","40,432,346.58","11,899,448.41","9,789,826.64","301,123,120.91","306,061,534.52","156,490,481.05","51,241,700.94"
少数股东损益(元),"-511,821.32","-10,973,456.32","-2,032,330.74","-1,142,223.59","-1,205,221.51","-16,086,395.29","-6,055,883.35","-3,089,779.28","-1,254,670.82"
扣除非经常性损益后的净利润(元),"-48,757,231.72","-33,442,681.77","11,830,905.59","-13,231,627.75","-2,094,289.83","234,644,796.28","275,526,844.15","137,727,284.63","38,894,534.22"
七、每股收益
一、基本每股收益(元),-0.03,0.01,0.04,0.01,0.01,0.27,0.28,0.15,0.10
二、稀释每股收益(元),-0.03,0.01,0.04,0.01,0.01,0.27,0.28,0.15,0.10
八、其他综合收益(元),"-823,780.30","-1,225,562.34","-1,685,365.32","-1,831,104.78","-218,291.08","-14,980,936.01","-654,781.88","-2,210,808.46","-80,452.80"
归属于母公司股东的其他综合收益(元),"-823,780.30","-1,225,562.34","-1,685,365.32","-1,831,104.78","-218,291.08","-14,980,936.01","-654,781.88","-2,210,808.46","-80,452.80"
九、综合收益总额(元),"-41,599,333.42","-2,318,238.57","36,714,650.52","8,926,120.04","8,366,314.05","270,055,789.61","299,350,869.29","151,189,893.31","49,906,577.32"
