-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"729,698,942.34","3,034,716,816.44","2,061,112,619.84","1,265,996,634.38","657,088,470.99","2,645,889,221.03","1,725,489,070.76","985,112,996.58","497,518,569.02"
收到的税费返还(元),"10,528,782.37","65,851,164.01","21,583,388.82","18,693,218.31","2,743,373.02","31,964,697.75","21,478,105.93","12,810,303.63","9,467,620.81"
收到其他与经营活动有关的现金(元),"47,375,900.69","57,286,136.18","421,660,448.43","363,377,622.43","269,910,932.82","336,022,270.49","33,724,982.41","33,531,425.38","22,780,001.03"
经营活动现金流入小计(元),"787,603,625.40","3,157,854,116.63","2,504,356,457.09","1,648,067,475.12","929,742,776.83","3,013,876,189.27","1,780,692,159.10","1,031,454,725.59","529,766,190.86"
购买商品、接受劳务支付的现金(元),"557,587,017.55","3,138,095,134.95","2,188,003,887.94","1,331,079,636.64","575,039,266.61","1,842,145,230.26","1,521,223,865.65","750,371,670.08","358,153,418.04"
支付给职工以及为职工支付的现金(元),"80,064,446.42","328,606,576.96","253,686,463.59","166,318,956.69","82,229,235.45","284,346,840.70","202,691,047.23","127,291,532.23","53,721,609.38"
支付的各项税费(元),"39,075,962.22","223,855,145.76","140,123,773.05","103,232,003.49","74,793,957.96","212,500,133.67","119,183,748.91","77,926,242.03","41,735,792.76"
支付其他与经营活动有关的现金(元),"80,792,544.91","200,990,096.71","510,691,183.08","353,699,617.80","169,680,478.85","405,291,677.74","128,854,922.94","80,898,719.62","59,648,076.86"
经营活动现金流出小计(元),"757,519,971.10","3,891,546,954.38","3,092,505,307.66","1,954,330,214.62","901,742,938.87","2,744,283,882.37","1,971,953,584.73","1,036,488,163.96","513,258,897.04"
经营活动产生的现金流量净额(元),-,"-733,692,837.75",-,"-306,262,739.50",-,"269,592,306.90",-,"-5,033,438.37",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"299,795,000.00","353,500,000.00","353,535,704.04","290,500,000.00","26,535,704.04","511,000,000.00",-,"105,000,000.00",-
取得投资收益收到的现金(元),"309,985.37","1,232,326.70","606,122.65","602,110.37","201,386.35","1,460,239.18","690,000.00","300,657.53",-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),"169,443.11","31,464,427.14","27,436,177.18","589,349.78","485,474.73","10,585,682.44","8,076,015.12","6,004,150.27","3,167,291.77"
处置子公司及其他营业单位收到的现金净额(元),-,"-2,918,164.82",-,"12,035,704.04",-,"50,415,880.90","53,123,632.39",-,-
收到其他与投资活动有关的现金(元),-,"7,052,692.78",-,-,-,"20,300,754.00","8,035,000.00",-,-
投资活动现金流入小计(元),"300,274,428.48","390,331,281.80","381,578,003.87","303,727,164.19","27,222,565.12","593,762,556.52","69,924,647.51","111,304,807.80","3,167,291.77"
购建固定资产、无形资产和其他长期资产支付的现金(元),"75,499,809.56","263,664,072.55","194,978,653.66","292,518,312.28","96,281,214.11","881,926,035.34","779,291,567.98","600,419,898.17","295,881,735.30"
投资支付的现金(元),"341,300,000.00","341,270,560.00","336,500,000.00","285,500,000.00","9,500,000.00","538,854,026.85","20,000,000.00","105,000,000.00",-
取得子公司及其他营业单位支付的现金净额(元),-,-,"6,894,560.76","6,887,881.16","6,891,353.34","298,373,904.79","298,373,904.79","298,373,904.79",-
支付其他与投资活动有关的现金(元),-,"5,000,000.00",-,-,-,"6,007,112.08","1,027,460.38",-,-
投资活动现金流出小计(元),"416,799,809.56","609,934,632.55","538,373,214.42","584,906,193.44","112,672,567.45","1,725,161,079.06","1,098,692,933.15","1,003,793,802.96","295,881,735.30"
投资活动产生的现金流量净额(元),"-116,525,381.08","-219,603,350.75","-156,795,210.55","-281,179,029.25","-85,450,002.33","-1,131,398,522.54","-1,028,768,285.64","-892,488,995.16","-292,714,443.53"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),"14,700,000.00","46,541,098.88","8,931,813.00","7,112,022.91","7,041,309.00","406,770,524.45","406,770,524.45","400,322,555.45",-
其中：子公司吸收少数股东投资收到的现金(元),"14,700,000.00",-,-,-,-,-,-,-,-
取得借款收到的现金(元),"684,874,997.13","2,871,730,780.39","2,716,047,652.03","1,666,332,761.72","1,156,008,670.00","3,634,203,858.89","2,886,212,600.00","1,715,646,200.00","551,252,800.00"
收到其他与筹资活动有关的现金(元),-,-,"16,179,289.71","16,179,289.71",-,"195,000,000.00","97,452,222.22","97,452,222.22",-
筹资活动现金流入小计(元),"699,574,997.13","2,918,271,879.27","2,741,158,754.74","1,689,624,074.34","1,163,049,979.00","4,235,974,383.34","3,390,435,346.67","2,213,420,977.67","551,252,800.00"
偿还债务支付的现金(元),"626,433,825.73","2,521,921,963.76","2,276,709,611.30","1,324,871,843.21","894,293,600.00","3,060,439,580.00","2,042,173,420.00","1,071,708,620.00","379,287,020.00"
分配股利、利润或偿付利息支付的现金(元),"50,417,920.80","200,026,949.97","143,069,382.12","76,003,130.68","45,357,108.32","123,293,590.12","117,857,288.01","89,106,054.85","35,754,371.10"
其中：子公司支付给少数股东的股利、利润(元),-,-,"1,000,000.00","500,000.00",-,-,-,-,-
支付其他与筹资活动有关的现金(元),"12,254,400.42","181,602,475.94","249,010,626.45","230,269,502.08","89,662,603.60","198,776,466.34","281,838,098.19","228,719,534.00","140,558,014.38"
