-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"354,656,699.35","451,148,287.67","783,691,438.56","963,465,547.23","1,480,710,624.27","1,609,924,727.30","1,283,810,236.20","1,621,585,067.05","1,188,535,060.77"
其中：交易性金融资产(元),"21,505,000.00",-,-,-,-,-,-,-,-
应收票据及应收账款(元),"988,948,002.95","1,218,726,463.23","1,761,679,591.33","1,626,648,114.49","1,569,595,460.78","1,661,479,754.61","1,887,673,729.64","1,622,187,342.69","1,073,959,174.99"
其中：应收票据(元),-,-,"28,568,241.07","53,035,494.91","51,982,851.43","121,693,531.97","32,794,255.64","49,449,332.50","31,302,944.58"
其中：应收账款(元),"988,948,002.95","1,218,726,463.23","1,733,111,350.26","1,573,612,619.58","1,517,612,609.35","1,539,786,222.64","1,854,879,474.00","1,572,738,010.19","1,042,656,230.41"
预付款项(元),"356,528,315.24","210,290,968.44","540,774,705.70","409,024,693.04","235,586,183.18","176,036,038.27","370,625,951.61","246,821,850.51","206,237,674.64"
应收利息(元),"1,200,088.06","1,263,164.38",-,-,-,"7,792,038.02","6,437,945.72"
其他应收款(元),"143,671,110.79","146,407,769.68","150,933,389.80","136,601,432.02","140,759,532.29","134,080,162.83","96,227,168.39","67,670,888.09","70,620,655.79"
存货(元),"460,426,831.54","661,519,420.27","753,317,416.95","693,226,665.39","673,737,941.39","652,686,626.79","653,404,376.25","671,517,648.70","530,899,435.26"
合同资产(元),"187,067,239.34",-,-,-,-,-,-,-,-
其他流动资产(元),"162,383,826.05","149,403,254.35","181,877,121.61","172,929,319.06","169,722,146.87","151,343,129.23","104,410,286.33","82,805,596.92","57,020,861.23"
流动资产合计(元),"2,734,248,345.67","2,927,692,529.56","4,173,259,044.77","4,002,283,782.19","4,270,111,888.78","4,385,550,439.03","4,396,151,748.42","4,320,380,431.98","3,133,710,808.40"
非流动资产：
可供出售金融资产(元),-,-,-,-,"23,500,000.00","23,500,000.00","3,500,000.00","3,500,000.00","3,500,000.00"
长期应收款(元),"34,913,807.00","35,850,284.25","73,600,629.51","75,139,776.68","76,743,608.67","68,916,762.81","32,506,997.50","23,894,719.77","24,437,654.06"
长期股权投资(元),"50,156,927.56","50,023,123.17","55,199,749.72","54,922,295.68","54,307,413.36","57,141,178.86","75,061,413.15","54,991,187.59","55,341,339.56"
其他权益工具投资(元),"1,222,023,672.32","1,222,023,672.32","24,000,000.00","24,000,000.00",-,-,-,-,-
投资性房地产(元),"360,994,596.52","346,947,404.40","237,133,679.08","239,199,894.61","241,945,487.98","255,812,678.00","248,259,385.89","250,343,781.39","251,511,702.54"
固定资产(元),"1,850,548,517.43","1,876,938,512.07","2,007,990,133.38","2,080,146,046.56","1,867,759,624.36","1,859,350,625.67","1,313,588,204.68","1,332,508,862.18","1,312,313,408.70"
在建工程(元),"562,627,671.68","545,443,546.40","497,578,266.98","438,997,343.17","601,863,054.87","535,540,498.81","659,274,356.66","619,620,057.75","490,830,069.14"
无形资产(元),"526,261,414.20","532,032,488.75","498,208,426.56","507,610,134.23","500,259,986.76","508,657,600.51","474,779,128.85","521,134,815.52","478,434,749.41"
开发支出(元),"111,071,554.04","96,428,088.65","110,542,170.88","85,444,683.32","59,276,877.44","56,703,164.42","63,701,787.27","61,601,426.48","49,676,641.71"
商誉(元),"1,722,275,941.25","1,722,275,941.25","1,753,313,182.13","1,753,313,182.13","1,752,465,278.11","1,740,776,109.61","1,742,880,857.76","1,742,880,857.76","489,378,385.59"
长期待摊费用(元),"16,735,783.32","16,952,732.17","17,692,502.29","18,651,554.79","17,662,912.46","17,951,168.88","18,837,283.86","19,446,088.32","15,181,420.08"
递延所得税资产(元),"117,198,636.50","112,883,953.33","99,210,041.96","83,582,628.50","70,570,577.26","68,578,729.73","88,265,161.84","80,012,622.72","77,207,074.63"
其他非流动资产(元),"125,901,756.21","78,245,173.63","140,417,571.55","228,789,283.06","223,331,130.54","155,782,899.87","542,153,856.37","238,746,466.24","213,724,313.51"
非流动资产合计(元),"6,700,710,278.03","6,636,044,920.39","5,514,886,354.04","5,589,796,822.73","5,489,685,951.81","5,348,711,417.17","5,262,808,433.83","4,948,680,885.72","3,461,536,758.93"
资产总计(元),"9,434,958,623.70","9,563,737,449.95","9,688,145,398.81","9,592,080,604.92","9,759,797,840.59","9,734,261,856.20","9,658,960,182.25","9,269,061,317.70","6,595,247,567.33"
流动负债：
短期借款(元),"2,289,704,995.80","2,260,036,608.86","2,265,225,173.73","2,164,416,695.37","2,066,458,754.33","1,882,550,786.72","2,120,179,000.00","1,890,077,400.00","1,398,105,600.00"
应付票据及应付账款(元),"790,358,811.40","961,815,236.75","765,815,058.78","850,287,723.50","1,006,004,620.48","1,195,501,112.33","850,443,042.68","858,221,604.30","397,137,460.16"
其中：应付票据(元),"44,369,519.52","40,755,761.20","142,990,935.57","213,646,811.40",-,-,-,"81,047,828.91","45,410,084.77"
其中：应付账款(元),"745,989,291.88","921,059,475.55","622,824,123.21","636,640,912.10",-,-,-,"777,173,775.39","351,727,375.39"
预收款项(元),-,"54,521,142.78","82,416,040.04","51,518,090.85","94,105,499.26","56,267,979.58","119,189,084.88","45,889,031.82","55,690,251.06"
合同负债(元),"179,484,735.16",-,-,-,-,-,-,-,-
应付职工薪酬(元),"23,774,493.21","29,378,576.11","26,808,359.76","24,082,069.77","24,543,104.56","25,009,111.39","23,416,904.63","21,581,934.45","16,399,319.26"
