-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"481,591,306.99","487,248,688.98","389,268,970.47","388,951,160.01","296,108,734.07","385,647,123.39","351,807,268.21","352,819,859.38","380,987,745.76"
应收票据及应收账款(元),"906,127,263.68","844,377,150.22","793,150,659.89","873,503,703.79","844,030,040.37","800,835,272.47","854,924,064.83","875,450,538.71","836,055,528.12"
其中：应收票据(元),"76,700,858.23","86,115,992.77","53,703,807.28","127,994,272.40","68,267,122.35","75,402,270.98","55,641,974.82","93,700,307.31","70,132,684.50"
其中：应收账款(元),"829,426,405.45","758,261,157.45","739,446,852.61","745,509,431.39","775,762,918.02","725,433,001.49","799,282,090.01","781,750,231.40","765,922,843.62"
预付款项(元),"163,587,202.69","109,997,472.94","182,810,737.44","153,954,348.93","212,205,991.64","149,533,754.74","201,037,277.01","163,176,889.34","249,204,057.87"
应收利息(元),-,-,-,-,-,-,-
其他应收款(元),"90,690,919.35","59,499,583.00","89,557,279.66","82,259,903.13","69,767,571.38","37,188,280.00","67,947,609.09","58,183,810.18","66,089,779.19"
存货(元),"702,854,049.96","759,720,388.26","834,066,395.61","799,954,814.22","773,045,735.94","855,647,598.11","856,840,756.26","789,979,771.07","735,448,614.78"
合同资产(元),"22,405,630.92",-,-,-,-,-,-,-,-
其他流动资产(元),"6,453,552.15","5,211,062.31","9,256,007.26","4,125,643.26","5,723,517.81","7,557,877.34","6,111,561.89","6,339,819.41","6,454,553.40"
流动资产合计(元),"2,373,709,925.74","2,266,054,345.71","2,298,110,050.33","2,302,749,573.34","2,200,881,591.21","2,236,409,906.05","2,338,668,537.29","2,245,950,688.09","2,274,240,279.12"
非流动资产：
长期股权投资(元),"94,952,434.83","95,686,891.61","94,960,874.11","95,286,180.35","95,223,067.95","95,179,513.21","94,597,610.11","94,756,009.77","94,689,582.39"
投资性房地产(元),"15,512,258.51","15,650,626.04","15,788,993.57","15,927,361.10","16,065,728.63","16,204,096.16",-,-,"1,289,989.55"
固定资产(元),"1,408,557,626.25","1,416,050,852.74","1,309,803,646.56","1,323,916,944.62","1,340,410,528.55","1,347,898,102.40","1,353,941,817.06","1,377,364,082.41","1,408,159,900.32"
在建工程(元),"10,333,651.74","25,388,703.43","134,945,984.10","126,463,642.79","107,008,876.51","106,491,595.63","99,498,408.62","88,363,576.90","45,013,886.48"
无形资产(元),"145,190,293.01","146,409,626.42","147,628,959.83","148,473,956.96","149,679,366.71","150,884,834.03","151,563,803.53","152,771,771.22","152,651,869.68"
长期待摊费用(元),"24,920,951.58","25,340,585.70","25,394,403.47","25,683,936.98","26,011,803.83","26,339,670.68","25,801,293.79","26,044,919.14","26,437,830.20"
递延所得税资产(元),"15,722,252.49","15,545,019.56","14,489,022.71","14,796,040.20","14,909,492.12","14,585,833.78","15,554,141.21","15,682,857.26","16,316,969.50"
其他非流动资产(元),"6,131,016.08","5,056,866.05","1,898,047.00","1,366,172.00","1,498,372.00","1,635,689.23","2,077,168.91","2,121,155.12","2,083,229.99"
非流动资产合计(元),"1,721,320,484.49","1,745,129,171.55","1,744,909,931.35","1,751,914,235.00","1,750,807,236.30","1,759,219,335.12","1,743,034,243.23","1,757,104,371.82","1,746,643,258.11"
资产总计(元),"4,095,030,410.23","4,011,183,517.26","4,043,019,981.68","4,054,663,808.34","3,951,688,827.51","3,995,629,241.17","4,081,702,780.52","4,003,055,059.91","4,020,883,537.23"
流动负债：
短期借款(元),"600,000,000.00","580,000,000.00","580,000,000.00","610,000,000.00","540,000,000.00","620,000,000.00","580,000,000.00","580,000,000.00","740,000,000.00"
应付票据及应付账款(元),"658,282,755.58","675,360,311.35","434,423,251.38","457,271,049.63","491,780,199.29","443,999,559.92","573,973,540.82","489,213,306.51","367,954,064.43"
其中：应付票据(元),"368,050,000.00","398,970,000.00","197,340,000.00","226,380,000.00",-,"199,450,000.00",-,"266,000,000.00","164,390,000.00"
其中：应付账款(元),"290,232,755.58","276,390,311.35","237,083,251.38","230,891,049.63",-,"244,549,559.92",-,"223,213,306.51","203,564,064.43"
预收款项(元),-,"95,756,179.24","141,175,638.43","139,806,711.87","103,467,383.33","110,216,211.55","116,530,496.05","110,327,169.28","82,765,658.10"
合同负债(元),"116,626,115.63",-,-,-,-,-,-,-,-
应付职工薪酬(元),"19,915,099.09","33,065,998.13","29,500,598.66","21,435,070.49","12,378,388.30","25,299,159.51","17,822,405.46","19,644,787.02","17,630,351.47"
应交税费(元),"4,404,825.50","14,673,131.90","2,558,231.95","3,785,866.34","11,997,298.75","2,646,256.96","1,430,255.09","1,881,118.93","6,448,879.70"
应付利息(元),"1,205,751.38","955,409.72",-,-,-,"1,402,584.72","300,277.78"
其他应付款(元),"12,075,149.78","14,669,875.06","15,201,356.57","14,715,191.20","16,889,867.05","16,697,234.12","6,627,152.15","6,174,502.81","4,561,741.10"
一年内到期的非流动负债(元),"76,457,168.95","46,125,101.53","275,798,139.61","269,073,429.05","270,000,000.00","270,000,000.00","40,000,000.00","40,000,000.00","30,000,000.00"
流动负债合计(元),"1,488,966,865.91","1,460,606,006.93","1,479,821,447.16","1,517,308,104.71","1,446,513,136.72","1,488,858,422.06","1,336,383,849.57","1,248,643,469.27","1,249,660,972.58"
非流动负债：
长期借款(元),-,-,-,-,-,-,"230,000,000.00","230,000,000.00","230,000,000.00"
