-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"181,055,705.71","1,118,792,694.55","847,436,556.86","523,364,489.21","269,270,483.65","1,629,387,699.11","1,087,152,302.64","731,380,169.93","322,426,326.02"
收到的税费返还(元),-,-,"787,242.92","61,891.39","61,891.39",-,-,-,-
收到其他与经营活动有关的现金(元),"908,486.82","142,406,628.08","46,799,377.87","55,173,479.28","17,199,981.51","16,503,895.16","17,729,699.74","12,293,993.39","2,085,129.51"
经营活动现金流入小计(元),"181,964,192.53","1,261,199,322.63","895,023,177.65","578,599,859.88","286,532,356.55","1,645,891,594.27","1,104,882,002.38","743,674,163.32","324,511,455.53"
购买商品、接受劳务支付的现金(元),"195,455,155.65","948,705,651.99","553,654,528.94","404,888,462.75","250,125,891.93","1,435,573,530.03","1,079,284,046.81","576,826,294.39","307,028,980.23"
支付给职工以及为职工支付的现金(元),"11,469,515.12","41,538,065.30","34,584,723.85","22,599,102.95","11,869,724.50","43,414,025.30","31,435,068.27","21,468,424.35","10,364,089.73"
支付的各项税费(元),"2,222,473.60","26,123,390.72","25,816,663.75","23,188,801.73","7,041,470.86","106,668,401.50","83,830,957.18","76,259,302.13","49,339,594.28"
支付其他与经营活动有关的现金(元),"17,887,370.47","21,406,940.65","63,535,844.73","47,436,524.37","14,697,093.11","161,935,616.01","97,505,863.19","76,923,701.05","8,452,201.50"
经营活动现金流出小计(元),"227,034,514.84","1,037,774,048.66","677,591,761.27","498,112,891.80","283,734,180.40","1,747,591,572.84","1,292,055,935.45","751,477,721.92","375,184,865.74"
经营活动产生的现金流量净额(元),-,"223,425,273.97",-,"80,486,968.08",-,"-101,699,978.57",-,"-7,803,558.60",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,-,-,-,-,"136,113.71","8,000,000.00","8,000,000.00","4,000,000.00"
取得投资收益收到的现金(元),-,-,-,-,-,-,"33,205.47","33,205.47","17,753.42"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"116,500.00","115,000.00","115,000.00","100,000.00","16,845.42","2,020.00","2,020.00",-
投资活动现金流入小计(元),-,"116,500.00","115,000.00","115,000.00","100,000.00","152,959.13","8,035,225.47","8,035,225.47","4,017,753.42"
购建固定资产、无形资产和其他长期资产支付的现金(元),"17,509.66","556,097.34","312,708.97","167,111.57",-,"4,639,761.76","4,205,285.14","4,154,023.69","453,742.31"
投资支付的现金(元),-,"130,000,000.00","116,125,000.00","102,500,000.00","82,000,000.00","320,942,288.83","328,942,288.83","208,000,000.00","8,000,000.00"
投资活动现金流出小计(元),"17,509.66","130,556,097.34","116,437,708.97","102,667,111.57","82,000,000.00","325,582,050.59","333,147,573.97","212,154,023.69","8,453,742.31"
投资活动产生的现金流量净额(元),"-17,509.66","-130,439,597.34","-116,322,708.97","-102,552,111.57","-81,900,000.00","-325,429,091.46","-325,112,348.50","-204,118,798.22","-4,435,988.89"
三、筹资活动产生的现金流量
取得借款收到的现金(元),"91,843,890.00","506,359,142.00","249,918,000.00","229,918,000.00","149,918,000.00","1,054,654,900.00","731,642,000.00","374,642,000.00","255,500,000.00"
筹资活动现金流入小计(元),"91,843,890.00","506,359,142.00","249,918,000.00","229,918,000.00","149,918,000.00","1,054,654,900.00","731,642,000.00","374,642,000.00","255,500,000.00"
偿还债务支付的现金(元),"112,742,050.00","805,426,050.00","548,742,000.00","396,142,000.00","182,600,000.00","1,431,382,000.00","1,173,142,000.00","752,000,000.00","436,500,000.00"
分配股利、利润或偿付利息支付的现金(元),"3,450,167.41","25,388,329.92","21,205,228.84","15,454,004.03","7,879,234.81","124,934,745.10","97,798,390.71","88,021,565.90","14,401,453.87"
支付其他与筹资活动有关的现金(元),-,-,-,-,-,"9,000,000.00",-,-,-
筹资活动现金流出小计(元),"116,192,217.41","830,814,379.92","569,947,228.84","411,596,004.03","190,479,234.81","1,565,316,745.10","1,270,940,390.71","840,021,565.90","450,901,453.87"
筹资活动产生的现金流量净额(元),"-24,348,327.41","-324,455,237.92","-320,029,228.84","-181,678,004.03","-40,561,234.81","-510,661,845.10","-539,298,390.71","-465,379,565.90","-195,401,453.87"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"322,732,807.03","554,014,644.05","554,014,644.05","554,014,644.05","554,014,644.05","1,491,321,884.56","1,491,321,884.56","1,491,321,884.56","1,491,321,884.56"
期末现金及现金等价物余额(元),"253,475,412.00","322,732,807.03","335,409,279.49","350,294,482.39","434,139,236.66","554,014,644.05","439,964,714.68","814,029,661.99","1,240,749,893.20"
补充资料：
净利润(元),-,"156,793,852.43",-,"80,206,155.17",-,"-1,100,266,392.69",-,"196,487,430.29",-
资产减值准备(元),-,"-52,010,515.47",-,"-19,515,492.46",-,"853,963,032.38",-,"-147,637,106.17",-
固定资产和投资性房地产折旧(元),-,"2,625,987.85",-,"1,327,441.15",-,"2,743,468.56",-,"1,374,939.98",-
其中：固定资产折旧、油气资产折耗、生产性生物资产折旧(元),-,"2,625,987.85",-,"1,327,441.15",-,"2,743,468.56",-,"1,374,939.98",-
无形资产摊销(元),-,"3,485,888.29",-,"1,730,808.18",-,"6,831,422.85",-,"2,995,794.12",-
长期待摊费用摊销(元),-,"2,064,976.90",-,"1,026,605.70",-,"2,437,651.75",-,"334,283.92",-
