-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"23,841,672,322.59","94,210,504,555.85","68,666,178,204.32","44,578,166,302.58","23,995,390,321.76","98,262,883,082.48","67,045,831,548.35","39,305,320,376.34","16,582,347,470.13"
收到的税费返还(元),"237,486,443.32","4,869,738,668.56","3,922,072,322.55","2,684,077,825.99","581,724,708.99","6,156,980,201.84","4,196,569,364.16","2,656,991,326.85","1,048,906,934.79"
收到其他与经营活动有关的现金(元),"1,741,875,018.02","3,448,256,858.64","1,808,365,494.72","1,654,498,099.75","1,538,615,800.07","1,607,624,614.92","1,716,458,705.90","985,476,129.74","4,196,000,592.56"
经营活动现金流入小计(元),"25,821,033,783.93","102,528,500,083.05","74,396,616,021.59","48,916,742,228.32","26,115,730,830.82","106,027,487,899.24","72,958,859,618.41","42,947,787,832.93","21,827,254,997.48"
购买商品、接受劳务支付的现金(元),"24,700,389,955.63","95,681,417,300.07","65,243,869,540.55","41,474,064,836.43","20,935,734,019.67","96,167,209,662.45","65,748,055,757.48","38,946,643,135.36","16,954,979,207.56"
支付给职工以及为职工支付的现金(元),"754,200,879.27","1,718,381,144.68","1,290,987,366.40","913,959,642.81","579,350,775.99","1,298,755,061.75","869,700,232.30","607,388,676.08","369,981,282.28"
支付的各项税费(元),"251,961,151.88","2,057,930,370.06","1,432,309,183.91","953,113,907.30","561,677,329.15","874,951,147.39","776,444,913.93","559,413,908.86","173,646,099.68"
支付其他与经营活动有关的现金(元),"2,243,368,470.99","5,122,649,915.39","2,408,196,308.80","2,287,337,193.97","2,193,706,486.00","2,851,885,926.38","2,863,856,526.59","1,844,191,249.82","4,186,343,804.14"
经营活动现金流出小计(元),"27,949,920,457.77","104,580,378,730.20","70,375,362,399.66","45,628,475,580.51","24,270,468,610.81","101,192,801,797.97","70,258,057,430.30","41,957,636,970.12","21,684,950,393.66"
经营活动产生的现金流量净额(元),-,"-2,051,878,647.15",-,"3,288,266,647.81",-,"4,834,686,101.27",-,"990,150,862.81",-
二、投资活动产生的现金流量
收回投资收到的现金(元),"249,618,348.18","5,044,832,231.50","1,796,332,081.98","1,189,204,777.54","867,391,551.63","4,197,036,698.87","2,627,072,464.04","2,260,731,946.98","2,173,707,081.26"
取得投资收益收到的现金(元),"6,582,954.80","41,088,083.38","34,284,249.11","25,669,557.39","7,467,051.98","55,672,423.30","50,610,094.88","42,045,747.43","9,457,950.63"
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"24,722,547.31","25,655,790.30","564,199.08","565,000.00","8,215,170.18",-,-,-
处置子公司及其他营业单位收到的现金净额(元),-,"592,679,902.19","172,679,902.19",-,-,"18,583,829.99","17,116,511.11","17,116,511.11",-
收到其他与投资活动有关的现金(元),"872,942,089.67","3,305,748,080.80","2,783,790,466.97","2,399,575,708.88","1,666,983,999.63","1,708,203,427.51","1,753,258,124.70","871,741,384.95","416,901,579.60"
投资活动现金流入小计(元),"1,129,143,392.65","9,009,070,845.18","4,812,742,490.55","3,615,014,242.89","2,542,407,603.24","5,987,711,549.85","4,448,057,194.73","3,191,635,590.47","2,600,066,611.49"
购建固定资产、无形资产和其他长期资产支付的现金(元),"10,070,912,751.74","36,885,720,861.99","32,067,675,302.84","24,859,302,560.32","14,439,176,397.26","37,177,557,245.34","23,139,794,183.60","12,403,749,228.49","5,659,758,593.43"
投资支付的现金(元),"415,470,235.07","5,888,189,625.01","2,134,772,593.38","1,283,909,987.27","744,625,289.68","4,544,553,936.16","3,074,190,998.10","2,237,493,433.03","2,042,096,212.38"
取得子公司及其他营业单位支付的现金净额(元),-,-,-,-,-,"608,370,967.54","147,993,011.36",-,-
支付其他与投资活动有关的现金(元),"1,025,165,250.64","1,401,719,755.18","1,770,449,922.21","828,972,168.46","573,835,888.15","3,435,145,004.78","2,836,998,710.80","1,306,764,560.62","328,729,734.86"
投资活动现金流出小计(元),"11,511,548,237.45","44,175,630,242.18","35,972,897,818.43","26,972,184,716.05","15,757,637,575.09","45,765,627,153.82","29,198,976,903.86","15,948,007,222.14","8,030,584,540.67"
投资活动产生的现金流量净额(元),"-10,382,404,844.80","-35,166,559,397.00","-31,160,155,327.88","-23,357,170,473.16","-13,215,229,971.85","-39,777,915,603.97","-24,750,919,709.13","-12,756,371,631.67","-5,430,517,929.18"
三、筹资活动产生的现金流量
吸收投资收到的现金(元),"1,200,000,000.00","3,450,000,000.00","1,850,000,000.00","1,400,000,000.00","600,000,000.00","8,951,056,598.77","8,713,899,995.00","8,313,899,995.00","2,352,000,000.00"
其中：子公司吸收少数股东投资收到的现金(元),"1,200,000,000.00","3,450,000,000.00","1,850,000,000.00","1,400,000,000.00","600,000,000.00","2,987,000,000.00","2,752,000,000.00","2,352,000,000.00","2,352,000,000.00"
取得借款收到的现金(元),"21,122,200,782.05","88,077,086,367.74","56,752,222,789.08","43,313,468,337.76","27,558,229,345.69","82,540,860,084.83","59,408,787,664.16","30,683,105,827.84","9,521,879,149.72"
收到其他与筹资活动有关的现金(元),"1,739,000,000.00","8,084,533,360.00","6,314,000,000.00","5,019,000,000.00","840,000,000.00","11,801,100,000.00","7,413,400,000.00","7,413,400,000.00","1,911,400,000.00"
筹资活动现金流入小计(元),"24,061,200,782.05","99,611,619,727.74","64,916,222,789.08","49,732,468,337.76","28,998,229,345.69","103,293,016,683.60","75,536,087,659.16","46,410,405,822.84","13,785,279,149.72"
