-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"15,112,156,493.01","12,878,260,218.51","11,814,194,598.95","14,583,698,340.83","16,755,521,823.58","14,852,793,232.69","23,573,337,618.16","15,454,716,816.27","8,390,271,059.51"
以公允价值计量且其变动计入当期损益的金融资产(元),-,-,-,-,"39,149,350.75","126,889,783.77","250,395,633.45","187,802,450.32","98,333,919.63"
其中：交易性金融资产(元),"181,086,264.62","86,034,165.23",-,-,"39,149,350.75",-,-,-,-
应收票据及应收账款(元),"1,067,059,986.44","2,048,931,233.41","1,985,425,725.98","2,148,117,525.98","1,430,548,662.62","2,160,427,413.58","1,887,106,595.43","2,324,781,131.44","2,848,301,148.97"
其中：应收票据(元),-,-,"533,069,381.96","606,074,351.30","819,132,441.89","245,777,682.61","622,180,684.52","1,408,297,041.68","1,794,637,374.71"
其中：应收账款(元),"1,067,059,986.44","2,048,931,233.41","1,452,356,344.02","1,542,043,174.68","611,416,220.73","1,914,649,730.97","1,264,925,910.91","916,484,089.76","1,053,663,774.26"
预付款项(元),"3,213,556,634.42","3,442,667,984.13","3,923,636,277.73","2,328,371,017.40","3,837,057,408.82","3,153,313,786.31","4,459,882,875.41","4,274,047,370.44","3,296,047,624.25"
应收利息(元),-,-,-,-,-,-,-
应收股利(元),"165,750,000.00","165,750,000.00",-,-,-,-,-,-,-
其他应收款(元),"2,487,147,378.38","1,035,019,569.97","1,634,749,800.88","1,588,528,328.09","2,336,314,446.26","1,370,888,821.76","1,774,579,573.43","2,103,676,541.30","1,881,318,710.04"
存货(元),"26,043,691,028.11","26,584,691,386.77","8,491,359,434.14","7,746,568,154.88","5,862,097,129.39","6,502,042,817.60","6,578,961,663.27","5,344,387,616.00","5,308,597,278.96"
其他流动资产(元),"8,870,843,616.49","9,138,645,175.79","6,514,650,149.76","7,048,067,790.99","5,059,029,769.81","3,950,644,816.24","2,698,226,908.48","1,298,507,023.67","1,521,168,704.66"
流动资产合计(元),"57,521,397,832.19","55,596,202,514.69","34,710,030,238.67","35,740,533,909.19","35,319,718,591.23","32,117,000,671.95","41,222,490,867.63","30,987,918,949.44","23,344,038,446.02"
非流动资产：
长期股权投资(元),"6,959,931,031.42","6,732,375,056.38","6,613,973,636.76","6,111,929,048.89","5,734,732,729.83","5,435,068,297.17","5,390,495,525.61","4,514,984,778.76","4,343,898,907.74"
投资性房地产(元),"83,222,753.85","83,437,310.05","84,214,174.52","84,548,853.88","85,089,362.18","85,626,178.87","8,231,337.56","8,299,199.06","8,367,060.56"
固定资产(元),"77,019,735,700.34","71,267,296,012.29","20,024,874,186.25","20,371,771,257.16","20,623,581,050.76","20,880,557,326.38","19,616,248,314.03","19,992,365,878.66","20,372,165,512.17"
在建工程(元),"45,503,119,975.01","43,184,893,490.65","89,363,389,782.40","75,013,295,477.30","67,069,553,805.90","58,908,519,908.87","41,863,760,922.57","25,261,527,726.53","19,527,196,916.68"
工程物资(元),-,-,-,-,-,-,-,"3,855,787,593.66","1,191,504,987.92"
无形资产(元),"3,998,649,120.71","4,023,730,131.84","4,031,973,122.01","3,791,214,451.84","3,814,840,808.17","3,364,035,137.83","3,130,681,296.14","3,106,606,456.75","2,913,141,992.61"
开发支出(元),-,-,"12,649,201.88","1,401,793.86","839,567.94",-,-,-,-
长期待摊费用(元),"3,140,876.66","3,585,926.20","3,806,533.97","4,121,319.36","4,357,170.84","4,118,582.17","2,521,089.77","2,887,401.04","3,255,655.40"
递延所得税资产(元),"306,792,209.63","316,137,545.24","72,432,954.63","74,163,975.02","72,199,861.48","93,592,869.88","51,090,707.95","94,322,917.37","96,892,984.37"
其他非流动资产(元),"1,379,057,791.30","1,379,057,791.30",-,"463,106,280.00","92,724,457.00","526,681,080.00",-,-,-
非流动资产合计(元),"135,253,649,458.92","126,990,513,263.95","120,207,313,592.42","105,915,552,457.31","97,497,918,814.10","89,298,199,381.17","70,063,029,193.63","56,836,781,951.83","48,456,424,017.45"
资产总计(元),"192,775,047,291.11","182,586,715,778.64","154,917,343,831.09","141,656,086,366.50","132,817,637,405.33","121,415,200,053.12","111,285,520,061.26","87,824,700,901.27","71,800,462,463.47"
流动负债：
短期借款(元),"41,339,947,661.81","30,041,644,090.75","23,622,584,001.05","22,745,006,997.73","22,399,010,166.78","25,029,795,865.66","26,669,522,054.19","29,415,386,558.38","18,938,692,492.30"
以公允价值计量且其变动计入当期损益的金融负债(元),-,-,-,-,"154,297,061.77","353,355,105.02","19,827,830.00","34,035,845.26","123,389,945.84"
其中：交易性金融负债(元),"96,623,873.69","24,491,132.37",-,-,"154,297,061.77",-,-,-,-
应付票据及应付账款(元),"30,776,858,272.01","40,345,953,201.40","25,369,935,892.97","18,757,630,674.22","19,264,529,560.31","22,519,692,043.13","17,013,553,048.24","13,835,015,566.93","11,552,501,177.67"
其中：应付票据(元),"4,570,537,044.12","4,779,319,137.51","4,010,220,932.83","3,762,397,321.71",-,"4,800,287,771.16",-,"3,962,883,543.26","4,483,610,263.21"
其中：应付账款(元),"26,206,321,227.89","35,566,634,063.89","21,359,714,960.14","14,995,233,352.51",-,"17,719,404,271.97",-,"9,872,132,023.67","7,068,890,914.46"
预收款项(元),-,"897,156,388.03","1,072,633,247.09","572,078,905.38","698,841,931.99","674,785,838.11","1,205,612,487.69","476,247,939.75","673,988,605.53"
合同负债(元),"2,184,304,386.72",-,-,-,-,-,-,-,-
