-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、营业总收入(元),"49,466,213.40","477,180,890.26","312,855,694.33","236,435,419.63","101,639,285.86","501,372,545.93","347,351,153.89","216,880,358.23","107,915,680.22"
营业收入(元),"49,466,213.40","477,180,890.26","312,855,694.33","236,435,419.63","101,639,285.86","501,372,545.93","347,351,153.89","216,880,358.23","107,915,680.22"
二、营业总成本(元),"56,811,306.61","467,557,467.43","300,924,158.80","223,216,226.34","98,211,991.64","499,221,853.00","342,529,066.83","208,795,777.06","109,040,027.95"
营业成本(元),"35,800,144.08","352,892,490.84","224,896,883.49","168,670,947.42","70,086,972.69","372,126,912.72","261,558,469.06","153,352,378.26","72,254,391.91"
研发费用(元),"854,699.13","13,919,734.14","10,559,334.61","6,437,721.25","2,521,801.61","13,703,940.32","10,593,106.87",-,-
营业税金及附加(元),"736,078.67","5,599,393.46","4,387,072.25","3,588,000.71","1,413,175.37","7,311,732.45","5,089,349.86","3,122,845.00","1,869,581.57"
销售费用(元),"8,440,399.95","46,044,984.82","33,258,639.56","22,961,276.22","12,752,139.28","50,614,459.11","34,915,987.30","22,857,884.41","11,065,045.38"
管理费用(元),"10,841,746.70","48,108,500.92","33,991,771.93","22,645,277.52","11,077,489.97","51,830,389.12","33,684,615.81","28,479,787.25","14,430,664.84"
财务费用(元),"138,238.08","992,363.25","-2,385,079.49","2,010,349.40","5,730,913.16","-7,361,208.33","-3,799,774.46","2,341,567.86","11,288,854.95"
其中：利息费用(元),"2,627,060.81","11,550,613.30","9,637,475.45","5,944,023.89","3,356,377.30","14,693,965.73","11,632,188.40",-,-
其中：利息收入(元),"213,131.68","8,031,121.17","6,550,092.98","4,568,378.77","2,403,808.23","12,075,479.26","3,830,269.64",-,-
三、其他经营收益
加：投资收益(元),-11.25,"708,363.98","911,370.74","510,721.49","363,152.28","5,628,616.86","1,248,278.03","829,197.07","403,774.85"
其中：对联营企业和合营企业的投资收益(元),-11.25,"-184,109.62","-176,227.02","-167,319.61","-56,847.72","190,171.03","145,211.73","146,130.77","403,774.85"
资产处置收益(元),-,"-456,391.46","348,567.09","273,911.39","-1,063.91","202,127.61","149,370.64",-,-
资产减值损失(元),-,-,"-3,784,463.55","-3,097,346.18","-5,370,500.44","10,995,627.61","487,312.39","-1,358,685.72","-1,868,510.70"
其他收益(元),"709,651.80","6,292,607.20","2,053,955.40","777,303.60","388,651.80","4,627,779.47","3,230,245.71","739,211.43","348,177.15"
四、营业利润(元),"-7,173,625.39","20,871,544.71","15,245,428.76","14,781,129.77","4,178,034.39","12,609,216.87","9,449,981.44","9,652,989.67","-372,395.73"
加：营业外收入(元),"60,434.68","330,768.43","172,135.08","151,928.10","98,773.83","3,002,559.18","2,917,131.19","2,476,629.40","2,175,743.45"
减：营业外支出(元),"1,001,570.36","2,739,758.86","964,829.79","908,968.51","31,722.10","284,616.75","119,181.68","40,176.68","3,726.98"
五、利润总额(元),"-8,114,761.07","18,462,554.28","14,452,734.05","14,024,089.36","4,245,086.12","15,327,159.30","12,247,930.95","12,089,442.39","1,799,620.74"
减：所得税费用(元),"-19,809.15","6,328,876.51","5,332,564.12","4,242,787.04","2,209,414.56","2,135,770.49","2,546,021.92","1,168,519.51","-318,225.88"
六、净利润(元),"-8,094,951.92","12,133,677.77","9,120,169.93","9,781,302.32","2,035,671.56","13,191,388.81","9,701,909.03","10,920,922.88","2,117,846.62"
(一)按经营持续性分类
持续经营净利润(元),"-8,094,951.92","12,133,677.77","9,120,169.93","9,781,302.32","2,035,671.56","13,191,388.81","9,701,909.03","10,920,922.88","2,117,846.62"
(二)按所有权归属分类
归属于母公司股东的净利润(元),"-7,381,713.75","16,889,774.02","12,207,909.85","12,060,317.08","2,643,574.50","16,865,311.45","12,076,536.77","11,795,267.77","2,575,325.71"
少数股东损益(元),"-713,238.17","-4,756,096.25","-3,087,739.92","-2,279,014.76","-607,902.94","-3,673,922.64","-2,374,627.74","-874,344.89","-457,479.09"
扣除非经常性损益后的净利润(元),"-7,150,229.87","9,438,931.67","7,918,089.67","9,186,803.64","774,913.36","45,580.65","6,793,429.53","9,089,423.97","422,024.29"
七、每股收益
一、基本每股收益(元),-0.02,0.04,0.03,0.03,0.01,0.04,0.03,0.03,0.01
二、稀释每股收益(元),-0.02,0.04,0.03,0.03,0.01,0.04,0.03,0.03,0.01
八、其他综合收益(元),"262,056.54","58,752.14","-409,281.17","83,189.02","-1,245,249.89","-524,981.27","-49,659.68","-1,613,278.55","-1,337,743.33"
归属于母公司股东的其他综合收益(元),"707,135.16","600,032.38","315,066.26","194,748.93","-1,494,025.49","576,063.52","1,026,489.84","-1,178,366.00","-1,964,427.17"
归属于少数股东的其他综合收益(元),"-445,078.62","-541,280.24","-724,347.43","-111,559.91","248,775.60","-1,101,044.79","-1,076,149.52","-434,912.55","626,683.84"
九、综合收益总额(元),"-7,832,895.38","12,192,429.91","8,710,888.76","9,864,491.34","790,421.67","12,666,407.54","9,652,249.35","9,307,644.33","780,103.29"
归属于母公司所有者的综合收益总额(元),"-6,674,578.59","17,489,806.40","12,522,976.11","12,255,066.01","1,149,549.01","17,441,374.97","13,103,026.61","10,616,901.77","610,898.54"
归属于少数股东的综合收益总额(元),"-1,158,316.79","-5,297,376.49","-3,812,087.35","-2,390,574.67","-359,127.34","-4,774,967.43","-3,450,777.26","-1,309,257.44","169,204.75"
