-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
一、经营活动产生的现金流量
销售商品、提供劳务收到的现金(元),"70,255,999.15","505,882,677.17","275,128,766.51","181,272,266.70","96,045,402.11","560,936,026.53","364,699,049.33","216,816,073.68","178,703,247.66"
收到的税费返还(元),"8,261,881.90","5,283,008.80","3,226,775.65","1,245,605.42","784,244.09","4,331,762.39","3,019,322.17","1,578,279.83","1,080,611.24"
收到其他与经营活动有关的现金(元),"1,803,547.43","20,993,224.21","16,106,337.65","11,174,078.13","8,097,227.19","84,810,900.22","93,275,205.82","99,053,661.04","5,699,313.24"
经营活动现金流入小计(元),"80,321,428.48","532,158,910.18","294,461,879.81","193,691,950.25","104,926,873.39","650,078,689.14","460,993,577.32","317,448,014.55","185,483,172.14"
购买商品、接受劳务支付的现金(元),"61,480,537.87","524,530,031.44","417,944,705.04","275,168,767.61","100,403,590.29","684,456,532.84","593,158,195.34","485,763,423.37","255,483,377.04"
支付给职工以及为职工支付的现金(元),"19,050,682.10","80,506,478.25","60,624,134.98","43,081,344.27","29,280,776.38","87,210,026.50","58,786,184.71","35,886,604.14","20,216,339.16"
支付的各项税费(元),"5,879,146.86","41,272,603.70","36,922,037.76","32,351,181.75","13,088,457.01","34,124,576.93","26,467,414.35","18,736,354.46","15,115,575.07"
支付其他与经营活动有关的现金(元),"6,101,759.70","42,605,479.68","30,717,068.74","19,284,616.44","11,433,943.43","44,701,475.79","31,730,585.29","24,910,595.31","11,435,713.26"
经营活动现金流出小计(元),"92,512,126.53","688,914,593.07","546,207,946.52","369,885,910.07","154,206,767.11","850,492,612.06","710,142,379.69","565,296,977.28","302,251,004.53"
经营活动产生的现金流量净额(元),-,"-156,755,682.89",-,"-176,193,959.82",-,"-200,413,922.92",-,"-247,848,962.73",-
二、投资活动产生的现金流量
收回投资收到的现金(元),-,-,-,-,-,"7,200,000.00",-,-,-
处置固定资产、无形资产和其他长期资产收回的现金净额(元),-,"819,316.54","739,912.75","532,404.00","3,995.00","1,624,042.00","1,520,561.00",-,-
处置子公司及其他营业单位收到的现金净额(元),-,-,-,-,-,"11,791,779.17",-,-,-
收到其他与投资活动有关的现金(元),-,"224,956,262.55","85,551,146.98","42,175,541.10",-,"33,990,726.93","31,589,066.30","31,589,066.30",-
投资活动现金流入小计(元),-,"225,775,579.09","86,291,059.73","42,707,945.10","3,995.00","54,606,548.10","33,109,627.30","31,589,066.30",-
购建固定资产、无形资产和其他长期资产支付的现金(元),"1,645,102.91","22,688,096.88","17,996,511.51","8,645,360.07","2,955,914.80","18,780,267.83","19,732,362.99","14,730,197.21","8,463,151.44"
支付其他与投资活动有关的现金(元),"3,055,546.56","86,439,632.00","86,239,632.00","43,528,152.00","3,528,152.00","73,600,036.80","71,200,000.00","71,200,000.00","30,000,000.00"
投资活动现金流出小计(元),"4,700,649.47","109,127,728.88","104,236,143.51","52,173,512.07","6,484,066.80","92,380,304.63","90,932,362.99","85,930,197.21","38,463,151.44"
投资活动产生的现金流量净额(元),"-4,700,649.47","116,647,850.21","-17,945,083.78","-9,465,566.97","-6,480,071.80","-37,773,756.53","-57,822,735.69","-54,341,130.91","-38,463,151.44"
三、筹资活动产生的现金流量
取得借款收到的现金(元),"80,000,000.00","263,981,308.90","234,313,527.88","135,704,844.06","110,153,992.93","118,361,611.64","56,297,955.71","27,624,430.65","11,064,313.60"
收到其他与筹资活动有关的现金(元),"47,987,950.00","1,497,484.20","24,312,915.62","21,212,915.62","21,212,915.62","224,319,237.89","76,387,409.53","60,655,386.75","60,660,761.48"
筹资活动现金流入小计(元),"127,987,950.00","265,478,793.10","258,626,443.50","156,917,759.68","131,366,908.55","342,680,849.53","132,685,365.24","88,279,817.40","71,725,075.08"
偿还债务支付的现金(元),"90,000,000.00","161,573,264.65","116,929,728.56","82,036,591.49","78,776,517.84","267,425,293.65","158,612,157.59","54,080,313.39","37,020,040.91"
分配股利、利润或偿付利息支付的现金(元),"2,676,779.59","15,326,141.95","13,295,728.99","9,710,180.01","3,137,826.52","14,579,118.14","11,683,600.36","7,911,628.05","4,012,725.86"
支付其他与筹资活动有关的现金(元),"20,000,000.00","50,000,768.84","50,000,768.84","50,000,768.84","25,880,962.00","35,712,915.62","14,200,000.00",-,-
筹资活动现金流出小计(元),"112,676,779.59","226,900,175.44","180,226,226.39","141,747,540.34","107,795,306.36","317,717,327.41","184,495,757.95","61,991,941.44","41,032,766.77"
筹资活动产生的现金流量净额(元),"15,311,170.41","38,578,617.66","78,400,217.11","15,170,219.34","23,571,602.19","24,963,522.12","-51,810,392.71","26,287,875.96","30,692,308.31"
四、汇率变动对现金及现金等价物的影响
五、现金及现金等价物净增加额
加：期初现金及现金等价物余额(元),"328,140,629.89","330,670,249.69","330,670,249.69","330,670,249.69","330,670,249.69","543,308,257.13","543,308,257.13","543,308,257.13","543,308,257.13"
期末现金及现金等价物余额(元),"327,150,621.54","328,140,629.89","138,532,645.05","159,382,246.94","296,540,388.34","330,670,249.69","185,755,430.60","266,704,177.27","415,405,108.58"
补充资料：
净利润(元),-,"12,133,677.77",-,"9,781,302.32",-,"13,191,388.81",-,"10,920,922.88",-
资产减值准备(元),-,"-4,703,542.16",-,"-3,097,346.18",-,"8,047,333.95",-,"-1,358,685.72",-
固定资产和投资性房地产折旧(元),-,"60,324,802.75",-,"30,376,846.11",-,"63,332,294.32",-,"31,378,157.25",-
