-,2020年一季报,2019年年报,2019年三季报,2019年中报,2019年一季报,2018年年报,2018年三季报,2018年中报,2018年一季报
上市前/上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后,上市后
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
流动资产：
货币资金(元),"327,150,621.54","328,140,629.89","138,532,645.05","159,382,246.94","296,540,388.34","331,883,165.31","226,469,430.60","308,950,200.05","457,645,756.63"
应收票据及应收账款(元),"97,483,303.19","95,835,090.57","126,911,875.21","132,285,071.98","107,447,995.21","117,135,356.55","136,324,688.95","132,313,084.49","109,107,799.03"
其中：应收票据(元),"6,563,643.00","3,354,076.00","821,600.00","2,119,465.00","10,825,373.00","2,210,000.00",-,-,-
其中：应收账款(元),"90,919,660.19","92,481,014.57","126,090,275.21","130,165,606.98","96,622,622.21","114,925,356.55","136,324,688.95","132,313,084.49","109,107,799.03"
预付款项(元),"104,684,638.18","89,175,998.32","100,576,969.78","130,424,391.62","100,483,855.22","95,075,108.76","103,190,473.62","102,732,767.14","89,528,242.95"
应收利息(元),-,-,-,-,-,"156,750.00",-
其他应收款(元),"669,591.93","584,878.13","104,683,135.42","107,764,851.66","111,850,112.23","129,955,757.19","2,374,285.73","2,761,591.16","2,770,946.45"
存货(元),"667,016,863.27","671,230,730.83","699,567,893.66","601,524,003.22","566,576,657.40","566,773,071.58","802,027,575.37","785,182,653.55","586,402,649.26"
持有待售资产(元),-,-,"8,554.60","8,554.60","8,554.60","8,554.60","8,554.60",-,"43,090.64"
其他流动资产(元),"66,037,325.07","69,497,030.62","75,952,381.06","65,613,562.87","54,347,518.17","48,742,790.04","51,003,597.32","49,240,137.10","38,979,036.18"
流动资产合计(元),"1,263,042,343.18","1,254,464,358.36","1,251,010,449.12","1,200,481,861.52","1,237,255,081.17","1,289,573,804.03","1,321,398,606.19","1,381,337,183.49","1,284,477,521.14"
非流动资产：
长期应收款(元),"3,532,750.75","3,651,056.15","10,286,175.65","11,526,173.60","8,103,713.10","9,639,863.40","13,174,867.36","13,391,336.01","14,960,176.76"
长期股权投资(元),"2,283,665.40","2,283,676.65","2,291,559.25","2,300,466.66","2,410,938.55","2,467,786.27","9,622,826.97","9,623,746.01","9,881,390.09"
投资性房地产(元),"472,442,540.43","481,897,199.76","480,356,774.57","487,222,403.60","493,947,882.05","502,847,315.15","516,640,965.27","531,500,838.04","544,805,623.96"
固定资产(元),"392,365,425.39","400,050,556.52","402,602,760.95","409,427,243.17","417,381,483.27","424,766,090.90","432,225,037.76","440,451,663.28","428,817,036.51"
在建工程(元),"208,946,985.43","181,924,762.52","135,530,999.18","120,113,949.11","117,336,708.08","114,767,129.50","88,177,302.37","81,608,185.22","64,492,222.80"
无形资产(元),"95,531,545.85","93,580,082.91","95,710,664.43","96,008,635.94","97,118,452.91","101,396,427.82","97,007,190.12","97,519,404.87","78,456,494.09"
商誉(元),"36,936,679.09","36,936,679.09","39,404,750.61","39,404,750.61","39,404,750.61","39,404,750.61","42,353,044.27","42,353,044.27","42,353,044.27"
长期待摊费用(元),"1,386,909.87","1,437,429.06","1,599,444.65","1,780,921.18","1,994,517.74","2,473,762.65","2,684,024.26","2,046,164.20","1,966,743.39"
递延所得税资产(元),"5,174,589.09","5,195,119.17","5,609,503.11","5,773,357.05","4,597,308.83","5,456,384.48","4,376,268.07","4,011,210.20","3,981,408.32"
其他非流动资产(元),"75,454,203.79","75,905,615.99","101,849,282.99","86,476,823.55","85,095,761.92","69,995,916.92","82,635,561.72","82,265,169.92","188,230,931.92"
非流动资产合计(元),"1,294,055,295.09","1,282,862,177.82","1,275,241,915.39","1,260,034,724.47","1,267,391,517.06","1,273,215,427.70","1,288,897,088.17","1,304,770,762.02","1,377,945,072.11"
资产总计(元),"2,557,097,638.27","2,537,326,536.18","2,526,252,364.51","2,460,516,585.99","2,504,646,598.23","2,562,789,231.73","2,610,295,694.36","2,686,107,945.51","2,662,422,593.25"
流动负债：
短期借款(元),"28,757,484.82","101,706,734.33","98,761,920.50","34,890,791.85","8,812,238.64","67,838,465.81","104,809,785.44","179,400,000.00","182,136,629.99"
应付票据及应付账款(元),"52,630,138.22","54,938,712.79","44,905,057.36","43,429,087.36","57,185,151.77","77,139,872.59","79,870,349.46","84,645,659.05","94,398,209.22"
其中：应付账款(元),"52,630,138.22","54,938,712.79","44,905,057.36","43,429,087.36",-,"77,139,872.59",-,"84,645,659.05","94,398,209.22"
预收款项(元),"54,231,017.92","39,782,202.36","36,753,566.13","41,799,889.79","46,440,045.48","36,254,353.82","46,617,627.20","35,386,744.41","44,649,362.81"
应付职工薪酬(元),"4,029,368.05","14,033,329.64","11,817,105.54","10,632,903.84","7,003,412.69","18,431,250.51","14,849,966.60","12,457,975.59","6,299,109.16"
应交税费(元),"1,796,319.27","4,500,690.11","2,913,788.21","4,310,327.99","5,009,839.00","10,277,556.41","4,783,248.23","4,781,381.82","4,081,280.34"
应付利息(元),"72,020.17","277,348.30",-,-,-,"204,852.38","81,007.79"
其他应付款(元),"260,492,233.65","228,713,327.15","222,688,875.62","215,302,966.46","247,891,829.99","285,000,871.65","284,570,892.77","294,327,490.19","265,446,070.48"
一年内到期的非流动负债(元),"43,000,000.00","41,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","23,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
流动负债合计(元),"445,008,582.10","484,952,344.68","440,907,474.21","373,565,853.16","395,342,517.57","517,942,370.79","555,501,869.70","631,204,103.44","617,091,669.79"
非流动负债：
